Standard-based Integration of Heterogeneous Large-scale DNA Microarray Data for Improving Reusability.
('Standard-based', 'Standard-based', 'JJ', 'B-NP', 'O')
('considered', 'consider', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('part', 'part', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('study,', 'study,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('describes', 'describe', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('overall', 'overall', 'JJ', 'I-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('aim', 'aim', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('design.', 'design.', 'NN', 'B-NP', 'O')
Each of these entities is assigned an accession number that may be used to cite and retrieve the records.
('Each', 'Each', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('entities', 'entity', 'NNS', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('assigned', 'assign', 'VBN', 'I-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('accession', 'accession', 'NN', 'I-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('cite', 'cite', 'VB', 'I-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('retrieve', 'retrieve', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('records.', 'records.', 'NN', 'I-NP', 'O')
Each entity type has ‘Descriptive information’ for describing each entity’s correspondent information.
('Each', 'Each', 'DT', 'B-NP', 'O')
('entity', 'entity', 'NN', 'I-NP', 'O')
('type', 'type', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('‘Descriptive', '‘Descriptive', 'JJ', 'B-NP', 'B-protein')
('information’', 'information’', 'NN', 'I-NP', 'I-protein')
('for', 'for', 'IN', 'B-PP', 'O')
('describing', 'describe', 'VBG', 'B-VP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('entity’s', 'entity’', 'NNS', 'I-NP', 'O')
('correspondent', 'correspondent', 'VBP', 'B-VP', 'O')
('information.', 'information.', 'NN', 'B-NP', 'O')
Platform and Sample have ‘Data table’ which consists of ‘Header’ and ‘Matrix’.
('Platform', 'Platform', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Sample', 'Sample', 'NNP', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('‘Data', '‘Data', 'NNP', 'B-NP', 'O')
('table’', 'table’', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('consists', 'consist', 'VBZ', 'B-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('‘Header’', '‘Header’', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('‘Matrix’.', '‘Matrix’.', 'NNP', 'I-NP', 'O')
Header identifies the attributes of each column of Matrix.
('Header', 'Header', 'NNP', 'B-NP', 'O')
('identifies', 'identify', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('attributes', 'attribute', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('column', 'column', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Matrix.', 'Matrix.', 'NNP', 'B-NP', 'O')
Matrix includes each entity’s correspondent data contents.
('Matrix', 'Matrix', 'NNP', 'B-NP', 'O')
('includes', 'include', 'VBZ', 'B-VP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('entity’s', 'entity’', 'NNS', 'I-NP', 'O')
('correspondent', 'correspondent', 'VBP', 'B-VP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('contents.', 'contents.', 'NN', 'I-NP', 'O')
We accessed and downloaded all GEO data on January 22, 2007.
('We', 'We', 'PRP', 'B-NP', 'O')
('accessed', 'access', 'VBD', 'B-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('downloaded', 'downloade', 'VBD', 'I-VP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('GEO', 'GEO', 'NNP', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('January', 'January', 'NNP', 'B-NP', 'O')
('22,', '22,', 'CD', 'I-NP', 'O')
('2007.', '2007.', 'CD', 'I-NP', 'O')
Python language and MySQL DataBase Management System were used in Linux system for localizing GEO database.
('Python', 'Python', 'NN', 'B-NP', 'O')
('language', 'language', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('MySQL', 'MySQL', 'NN', 'B-NP', 'O')
('DataBase', 'DataBase', 'NN', 'I-NP', 'O')
('Management', 'Management', 'NN', 'I-NP', 'O')
('System', 'System', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Linux', 'Linux', 'NN', 'B-NP', 'O')
('system', 'system', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('localizing', 'localize', 'VBG', 'B-VP', 'O')
('GEO', 'GEO', 'NN', 'B-NP', 'O')
('database.', 'database.', 'NN', 'I-NP', 'O')
Since data in GEO’s File Transfer Protocol were updated late at that time, we used HyperText Markup Language (HTML) documents from which users can see web page.
('Since', 'Since', 'IN', 'B-SBAR', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('GEO’s', 'GEO’s', 'NNP', 'B-NP', 'O')
('File', 'File', 'NNP', 'I-NP', 'O')
('Transfer', 'Transfer', 'NNP', 'I-NP', 'O')
('Protocol', 'Protocol', 'NNP', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('updated', 'update', 'VBN', 'I-VP', 'O')
('late', 'late', 'RB', 'B-ADVP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('that', 'that', 'DT', 'B-NP', 'O')
('time,', 'time,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('used', 'use', 'VBD', 'B-VP', 'O')
('HyperText', 'HyperText', 'NNP', 'B-NP', 'O')
('Markup', 'Markup', 'NNP', 'I-NP', 'O')
('Language', 'Language', 'NNP', 'I-NP', 'O')
('(HTML)', '(HTML)', 'NNP', 'I-NP', 'O')
('documents', 'document', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('users', 'user', 'NNS', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('see', 'see', 'VB', 'I-VP', 'O')
('web', 'web', 'NN', 'B-NP', 'O')
('page.', 'page.', 'NN', 'I-NP', 'O')
Accession Display  accession to the data through GEO accession number  was used to automatically download all GEO data.
('Accession', 'Accession', 'NNP', 'B-NP', 'O')
('Display', 'Display', 'NNP', 'I-NP', 'O')
('accession', 'accession', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('through', 'through', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NN', 'B-NP', 'O')
('accession', 'accession', 'NN', 'I-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('automatically', 'automatically', 'RB', 'I-VP', 'O')
('download', 'download', 'VB', 'I-VP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('GEO', 'GEO', 'NN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
Using specific HTML tag structure, we localized all GEO data.
('Using', 'Use', 'VBG', 'B-VP', 'O')
('specific', 'specific', 'JJ', 'B-NP', 'O')
('HTML', 'HTML', 'NN', 'I-NP', 'O')
('tag', 'tag', 'NN', 'I-NP', 'O')
('structure,', 'structure,', 'VBD', 'B-VP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('localized', 'localize', 'VBD', 'B-VP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('GEO', 'GEO', 'NN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
To integrate increasingly large volume of GEO data, formalizing loosely-defined format of GEO is an indispensable process.
('To', 'To', 'TO', 'B-VP', 'O')
('integrate', 'integrate', 'VB', 'I-VP', 'O')
('increasingly', 'increasingly', 'RB', 'B-NP', 'O')
('large', 'large', 'JJ', 'I-NP', 'O')
('volume', 'volume', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NN', 'B-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('formalizing', 'formalize', 'VBG', 'B-VP', 'O')
('loosely-defined', 'loosely-defined', 'JJ', 'B-NP', 'O')
('format', 'format', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NN', 'B-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('indispensable', 'indispensable', 'JJ', 'I-NP', 'O')
('process.', 'process.', 'NN', 'I-NP', 'O')
First, we determined representative fields and constructed mapping tables for Data table of three technology types - ‘spotted DNA/cDNA’, ‘spotted oligonucleotide’, and ‘in situ oligonucleotide’.
('First,', 'First,', 'IN', 'B-SBAR', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('determined', 'determine', 'VBD', 'B-VP', 'O')
('representative', 'representative', 'JJ', 'B-NP', 'O')
('fields', 'field', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('constructed', 'construct', 'VBN', 'B-NP', 'O')
('mapping', 'mapping', 'NN', 'I-NP', 'O')
('tables', 'table', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Data', 'Data', 'NN', 'B-NP', 'O')
('table', 'table', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('three', 'three', 'CD', 'B-NP', 'O')
('technology', 'technology', 'NN', 'I-NP', 'O')
('types', 'type', 'NNS', 'I-NP', 'O')
('-', '-', 'HYPH', 'O', 'O')
('‘spotted', '‘spotte', 'VBN', 'B-NP', 'O')
('DNA/cDNA’,', 'DNA/cDNA’,', 'NN', 'I-NP', 'O')
('‘spotted', '‘spotte', 'VBD', 'B-VP', 'O')
('oligonucleotide’,', 'oligonucleotide’,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('‘in', '‘in', 'FW', 'B-NP', 'O')
('situ', 'situ', 'FW', 'I-NP', 'O')
('oligonucleotide’.', 'oligonucleotide’.', 'FW', 'I-NP', 'O')
The criteria of determining representative fields for data field unification are shown in Table 1.
('The', 'The', 'DT', 'B-NP', 'O')
('criteria', 'criterion', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('determining', 'determine', 'VBG', 'B-VP', 'O')
('representative', 'representative', 'JJ', 'B-NP', 'O')
('fields', 'field', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('field', 'field', 'NN', 'I-NP', 'O')
('unification', 'unification', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('shown', 'show', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Table', 'Table', 'JJ', 'B-NP', 'O')
('1.', '1.', 'CD', 'I-NP', 'O')
To construct each mapping table, we adapted a simple text-mining method and performed through manual curation with checking a description and values of each field.
('To', 'To', 'TO', 'B-VP', 'O')
('construct', 'construct', 'VB', 'I-VP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('mapping', 'map', 'VBG', 'I-NP', 'O')
('table,', 'table,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('adapted', 'adapt', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('simple', 'simple', 'JJ', 'I-NP', 'O')
('text-mining', 'text-mining', 'NN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('performed', 'perform', 'VBN', 'B-VP', 'O')
('through', 'through', 'IN', 'B-PP', 'O')
('manual', 'manual', 'JJ', 'B-NP', 'O')
('curation', 'curation', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('checking', 'check', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('description', 'description', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('field.', 'field.', 'NN', 'I-NP', 'O')
Through the mapping tables, we mapped fields of all GEO Data table into each representative field.
('Through', 'Through', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('mapping', 'mapping', 'NN', 'I-NP', 'O')
('tables,', 'tables,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('mapped', 'map', 'VBD', 'B-VP', 'O')
('fields', 'field', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('GEO', 'GEO', 'NNP', 'I-NP', 'O')
('Data', 'Data', 'NNP', 'I-NP', 'O')
('table', 'table', 'NN', 'I-NP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('representative', 'representative', 'NN', 'I-NP', 'O')
('field.', 'field.', 'NN', 'I-NP', 'O')
Five database tables are used to store the GEO Data table for Platform, dual channel Sample, and three technology types in single channel Sample.
('Five', 'Five', 'CD', 'B-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('tables', 'table', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('store', 'store', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('GEO', 'GEO', 'NNP', 'I-NP', 'O')
('Data', 'Data', 'NNP', 'I-NP', 'O')
('table', 'table', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Platform,', 'Platform,', 'NN', 'B-NP', 'O')
('dual', 'dual', 'JJ', 'I-NP', 'O')
('channel', 'channel', 'NN', 'I-NP', 'O')
('Sample,', 'Sample,', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('three', 'three', 'CD', 'B-NP', 'O')
('technology', 'technology', 'NN', 'I-NP', 'O')
('types', 'type', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('single', 'single', 'JJ', 'B-NP', 'O')
('channel', 'channel', 'NN', 'I-NP', 'O')
('Sample.', 'Sample.', 'NNP', 'B-NP', 'O')
Ambiguous cases on mapping them are treated by EAV (EntityAttribute Value) table (Johnson et al., 1997) to prevent loss of data caused by the mapping process.
('Ambiguous', 'Ambiguous', 'JJ', 'B-NP', 'O')
('cases', 'case', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('mapping', 'map', 'VBG', 'B-VP', 'O')
('them', 'them', 'PRP', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('treated', 'treat', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('EAV', 'EAV', 'NNP', 'B-NP', 'O')
('(EntityAttribute', '(EntityAttribute', 'NNP', 'I-NP', 'O')
('Value)', 'Value)', 'NNP', 'I-NP', 'O')
('table', 'table', 'NN', 'I-NP', 'O')
('(Johnson', '(Johnson', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('1997)', '1997)', 'CD', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('prevent', 'prevent', 'VB', 'I-VP', 'O')
('loss', 'loss', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('caused', 'cause', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('mapping', 'mapping', 'NN', 'I-NP', 'O')
('process.', 'process.', 'NN', 'I-NP', 'O')
After inserting data into each result table is completed, the four tables of Sample are integrated through the next stepThe GEO database architecture is designed for the efficient capture and storage of heterogeneous highthroughput data sets.
('After', 'After', 'IN', 'B-PP', 'O')
('inserting', 'insert', 'VBG', 'B-VP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('result', 'result', 'NN', 'I-NP', 'O')
('table', 'table', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('completed,', 'completed,', 'VBG', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('four', 'four', 'CD', 'I-NP', 'O')
('tables', 'table', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Sample', 'Sample', 'NNP', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('integrated', 'integrate', 'VBN', 'I-VP', 'O')
('through', 'through', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('next', 'next', 'JJ', 'I-NP', 'O')
('stepThe', 'stepThe', 'NN', 'I-NP', 'O')
('GEO', 'GEO', 'NN', 'I-NP', 'O')
('database', 'database', 'NN', 'I-NP', 'O')
('architecture', 'architecture', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('designed', 'design', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('efficient', 'efficient', 'JJ', 'I-NP', 'O')
('capture', 'capture', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('storage', 'storage', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('heterogeneous', 'heterogeneous', 'JJ', 'B-NP', 'O')
('highthroughput', 'highthroughput', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('sets.', 'sets.', 'NN', 'I-NP', 'O')
The structure is sufficiently flexible to accommodate evolving state of the art technologies (Barrett and Edgar, 2006).
('The', 'The', 'DT', 'B-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('sufficiently', 'sufficiently', 'RB', 'B-ADJP', 'O')
('flexible', 'flexible', 'JJ', 'I-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('accommodate', 'accommodate', 'VB', 'I-VP', 'O')
('evolving', 'evolve', 'VBG', 'I-VP', 'O')
('state', 'state', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('art', 'art', 'NN', 'I-NP', 'O')
('technologies', 'technology', 'NNS', 'I-NP', 'O')
('(Barrett', '(Barrett', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Edgar,', 'Edgar,', 'NNP', 'I-NP', 'O')
('2006).', '2006).', 'CD', 'I-NP', 'O')
Consequently, the data have many different styles and comprise varying contents.
('Consequently,', 'Consequently,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('different', 'different', 'JJ', 'I-NP', 'O')
('styles', 'style', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('comprise', 'comprise', 'VB', 'B-VP', 'O')
('varying', 'vary', 'VBG', 'B-NP', 'O')
('contents.', 'contents.', 'NN', 'I-NP', 'O')
Due to the flexibility, GEO stores the data which include the words having the same concept but different spelling or some misspelled words without any control process.
('Due', 'Due', 'JJ', 'B-PP', 'O')
('to', 'to', 'TO', 'I-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('flexibility,', 'flexibility,', 'NN', 'I-NP', 'O')
('GEO', 'GEO', 'NNP', 'B-NP', 'O')
('stores', 'store', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('include', 'include', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('words', 'word', 'NNS', 'I-NP', 'O')
('having', 'have', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('concept', 'concept', 'NN', 'I-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('different', 'different', 'JJ', 'B-NP', 'O')
('spelling', 'spelling', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('misspelled', 'misspelled', 'JJ', 'I-NP', 'O')
('words', 'word', 'NNS', 'I-NP', 'O')
('without', 'without', 'IN', 'B-PP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('control', 'control', 'NN', 'I-NP', 'O')
('process.', 'process.', 'NN', 'I-NP', 'O')
This characteristic increases heterogeneity between data in GEO and makes future integration of this resource with other biological and clinical data difficult.
('This', 'This', 'DT', 'B-NP', 'O')
('characteristic', 'characteristic', 'NN', 'I-NP', 'O')
('increases', 'increase', 'VBZ', 'B-VP', 'O')
('heterogeneity', 'heterogeneity', 'NN', 'B-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('makes', 'make', 'VBZ', 'B-VP', 'O')
('future', 'future', 'JJ', 'B-NP', 'O')
('integration', 'integration', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('resource', 'resource', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('clinical', 'clinical', 'JJ', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('difficult.', 'difficult.', 'VBP', 'B-VP', 'O')
Data standard is an essential requirement for representation of information to ensure proper semantic integration of heterogeneous data, and also for communication standards to ensure interoperability between disparate data sources (Louie et al., 2007; MartinSanchez et al., 2004).
('Data', 'Data', 'NN', 'B-NP', 'O')
('standard', 'standard', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('essential', 'essential', 'JJ', 'I-NP', 'O')
('requirement', 'requirement', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('representation', 'representation', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('information', 'information', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('ensure', 'ensure', 'VB', 'I-VP', 'O')
('proper', 'proper', 'JJ', 'B-NP', 'O')
('semantic', 'semantic', 'JJ', 'I-NP', 'O')
('integration', 'integration', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('heterogeneous', 'heterogeneous', 'JJ', 'B-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('communication', 'communication', 'NN', 'B-NP', 'O')
('standards', 'standard', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('ensure', 'ensure', 'VB', 'I-VP', 'O')
('interoperability', 'interoperability', 'NN', 'B-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('disparate', 'disparate', 'JJ', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('sources', 'source', 'NNS', 'I-NP', 'O')
('(Louie', '(Louie', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2007;', '2007;', ':', 'O', 'O')
('MartinSanchez', 'MartinSanchez', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2004).', '2004).', 'CD', 'B-NP', 'O')
In microarray data, the introduction of the MIAME standard has been a great success (Rayner et al., 2006).
('In', 'In', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('introduction', 'introduction', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('MIAME', 'MIAME', 'NNP', 'I-NP', 'O')
('standard', 'standard', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('great', 'great', 'JJ', 'I-NP', 'O')
('success', 'success', 'NN', 'I-NP', 'O')
('(Rayner', '(Rayner', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2006).', '2006).', 'CD', 'B-NP', 'O')
However, the data format of GEO does not follow the standard.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('format', 'format', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('GEO', 'GEO', 'NN', 'B-NP', 'B-protein')
('does', 'do', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('follow', 'follow', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('standard.', 'standard.', 'NN', 'I-NP', 'O')
Therefore, it hinders semantic integration and interoperability between heterogeneous microarray data.
('Therefore,', 'Therefore,', 'IN', 'B-SBAR', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('hinders', 'hinder', 'VBZ', 'B-VP', 'O')
('semantic', 'semantic', 'JJ', 'B-NP', 'O')
('integration', 'integration', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
