Prediction Model for the Cellular Immortalization and Transformation Potentials of Cell SubstratesThe establishment of DNA microarray technology has enabled high-throughput analysis and molecular profiling of various types of cancers.
('Prediction', 'Prediction', 'NN', 'B-NP', 'O')
('ontology', 'ontology', 'NN', 'I-NP', 'B-DNA')
('(GO)', '(GO)', 'NNP', 'I-NP', 'I-DNA')
('(The', '(The', 'NNP', 'I-NP', 'I-DNA')
('Gene', 'Gene', 'NNP', 'I-NP', 'I-DNA')
('Ontology', 'Ontology', 'NNP', 'I-NP', 'O')
('Consortium,', 'Consortium,', 'NNP', 'I-NP', 'O')
('2000)', '2000)', 'CD', 'I-NP', 'O')
('groups', 'group', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('selected', 'select', 'VBN', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('identified.', 'identified.', 'VBN', 'I-VP', 'O')
This GO analysis was performed to provide information regarding whether the list of significant genes selected by the analysis was different to a randomly generated list selected from all genes in a given GO category.
('This', 'This', 'DT', 'B-NP', 'O')
('GO', 'GO', 'NN', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('performed', 'perform', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('provide', 'provide', 'VB', 'I-VP', 'O')
('information', 'information', 'NN', 'B-NP', 'O')
('regarding', 'regarding', 'IN', 'B-PP', 'O')
('whether', 'whether', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('list', 'list', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('significant', 'significant', 'JJ', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('selected', 'select', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('different', 'different', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('randomly', 'randomly', 'RB', 'I-NP', 'O')
('generated', 'generate', 'VBN', 'I-NP', 'O')
('list', 'list', 'NN', 'I-NP', 'O')
('selected', 'select', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('given', 'give', 'VBN', 'I-NP', 'O')
('GO', 'GO', 'NN', 'I-NP', 'O')
('category.', 'category.', 'NN', 'I-NP', 'O')
This type of analysis is different from a simple annotation of a gene list using GO categories.
('This', 'This', 'DT', 'B-NP', 'O')
('type', 'type', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('analysis', 'analysis', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('different', 'different', 'JJ', 'B-ADJP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('simple', 'simple', 'JJ', 'I-NP', 'O')
('annotation', 'annotation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('list', 'list', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('GO', 'GO', 'NN', 'B-NP', 'O')
('categories.', 'categories.', 'NNS', 'I-NP', 'O')
The data was expressed as the observed vs. the expected ratio where the observed was defined as the number of genes in the list of significant genes which fell into a GO category.
('The', 'The', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('expressed', 'express', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('observed', 'observe', 'VBN', 'I-NP', 'O')
('vs.', 'vs.', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('expected', 'expect', 'VBN', 'I-NP', 'O')
('ratio', 'ratio', 'NN', 'I-NP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('observed', 'observe', 'VBN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'B-DNA')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('list', 'list', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('significant', 'significant', 'JJ', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('fell', 'fall', 'VBD', 'B-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('GO', 'GO', 'NN', 'I-NP', 'O')
('category.', 'category.', 'NN', 'I-NP', 'O')
The expected was defined as the average number of genes    which    would    be    expected    to    fall into that GO category in a subset of genes randomly selected from all genes in the analysis.
('The', 'The', 'DT', 'B-NP', 'O')
('expected', 'expect', 'VBN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('average', 'average', 'JJ', 'I-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('would', 'would', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('expected', 'expect', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('fall', 'fall', 'VB', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('that', 'that', 'DT', 'B-NP', 'O')
('GO', 'GO', 'NN', 'I-NP', 'O')
('category', 'category', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('subset', 'subset', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('randomly', 'randomly', 'RB', 'B-VP', 'O')
('selected', 'select', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('analysis.', 'analysis.', 'NN', 'I-NP', 'O')
A GO category consisted of not only the genes which were described by that GO term, but also any gene which was described by any members of that GO term.
('A', 'A', 'DT', 'B-NP', 'O')
('GO', 'GO', 'NN', 'I-NP', 'O')
('category', 'category', 'NN', 'I-NP', 'O')
('consisted', 'consist', 'VBD', 'B-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('not', 'not', 'RB', 'B-CONJP', 'O')
('only', 'only', 'RB', 'I-CONJP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('described', 'describe', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('that', 'that', 'DT', 'B-NP', 'O')
('GO', 'GO', 'NN', 'I-NP', 'B-protein')
('term,', 'term,', 'NN', 'I-NP', 'I-protein')
('but', 'but', 'CC', 'B-CONJP', 'O')
('also', 'also', 'RB', 'I-CONJP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('described', 'describe', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('members', 'member', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('that', 'that', 'DT', 'B-NP', 'O')
('GO', 'GO', 'NN', 'I-NP', 'O')
('term.', 'term.', 'NN', 'I-NP', 'O')
We also developed models to predict the class for samples, where the gene ontology is unknown.
('We', 'We', 'PRP', 'B-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('developed', 'develop', 'VBD', 'B-VP', 'O')
('models', 'model', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('predict', 'predict', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('class', 'class', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('samples,', 'samples,', 'NN', 'B-NP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('ontology', 'ontology', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('unknown.', 'unknown.', 'JJ', 'B-ADJP', 'O')
Although the 95% confidence with FDR<0.01 was a strict constraint, the selected genes were too numerous to construct    a    prediction    model.
('Although', 'Although', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('95%', '95%', 'CD', 'I-NP', 'O')
('confidence', 'confidence', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('FDR<0.01', 'FDR<0.01', 'NN', 'B-NP', 'B-protein')
('was', 'be', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('strict', 'strict', 'JJ', 'I-NP', 'O')
('constraint,', 'constraint,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('selected', 'select', 'VBN', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('too', 'too', 'RB', 'B-ADJP', 'O')
('numerous', 'numerous', 'JJ', 'I-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('construct', 'construct', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('prediction', 'prediction', 'NN', 'I-NP', 'O')
('model.', 'model.', 'NN', 'I-NP', 'O')
We    performed    another feature selection step to obtain compact gene sets for an optimal     prediction     model.
('We', 'We', 'PRP', 'B-NP', 'O')
('performed', 'perform', 'VBD', 'B-VP', 'O')
('another', 'another', 'DT', 'B-NP', 'O')
('feature', 'feature', 'JJ', 'I-NP', 'O')
('selection', 'selection', 'NN', 'I-NP', 'O')
('step', 'step', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('obtain', 'obtain', 'VB', 'I-VP', 'O')
('compact', 'compact', 'JJ', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('sets', 'set', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('optimal', 'optimal', 'JJ', 'I-NP', 'O')
('prediction', 'prediction', 'NN', 'I-NP', 'O')
('model.', 'model.', 'NN', 'I-NP', 'O')
Particularly,     we used a method     of gene     selection utilizing     support vector methods    (SVM)    (Vapnik,    1998)    based    on    recursive feature    elimination    (RFE)    (Guyon    et    al.,    2002).
('Particularly,', 'Particularly,', 'NN', 'B-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('used', 'use', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('selection', 'selection', 'NN', 'I-NP', 'O')
('utilizing', 'utilize', 'VBG', 'B-VP', 'O')
('support', 'support', 'NN', 'B-NP', 'O')
('vector', 'vector', 'NN', 'I-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('(SVM)', '(SVM)', 'NNP', 'I-NP', 'O')
('(Vapnik,', '(Vapnik,', 'NNP', 'I-NP', 'O')
('1998)', '1998)', 'CD', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-PP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('recursive', 'recursive', 'JJ', 'B-NP', 'O')
('feature', 'feature', 'NN', 'I-NP', 'O')
('elimination', 'elimination', 'NN', 'I-NP', 'O')
('(RFE)', '(RFE)', 'NNP', 'I-NP', 'O')
('(Guyon', '(Guyon', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2002).', '2002).', 'CD', 'B-NP', 'O')
Gene selection    with    SVM    based    on    RFE    eliminates    gene redundancy    automatically    and    yields    better    and    more compact gene subsets.
('Gene', 'Gene', 'NN', 'B-NP', 'O')
('selection', 'selection', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('SVM', 'SVM', 'NN', 'B-NP', 'O')
('based', 'base', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('RFE', 'RFE', 'NN', 'B-NP', 'B-protein')
('eliminates', 'eliminate', 'VBZ', 'B-VP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('redundancy', 'redundancy', 'NN', 'I-NP', 'O')
('automatically', 'automatically', 'RB', 'B-ADVP', 'O')
('and', 'and', 'CC', 'O', 'O')
('yields', 'yield', 'VBZ', 'B-VP', 'O')
('better', 'well', 'RBR', 'B-ADVP', 'O')
('and', 'and', 'CC', 'B-ADVP', 'O')
('more', 'more', 'RBR', 'B-NP', 'O')
('compact', 'compact', 'JJ', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('subsets.', 'subsets.', 'NN', 'I-NP', 'O')
We also developed a prediction model using the Sequential Minimal Optimization (SMO) algorithm with a logistic regression model and RBF kernel    (Platt,    1998)    incorporating    the    genes    that    were selected    by    SVM    based    on    RFE.
('We', 'We', 'PRP', 'B-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('developed', 'develop', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('prediction', 'prediction', 'NN', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Sequential', 'Sequential', 'JJ', 'I-NP', 'O')
('Minimal', 'Minimal', 'JJ', 'I-NP', 'O')
('Optimization', 'Optimization', 'NN', 'I-NP', 'O')
('(SMO)', '(SMO)', 'NN', 'I-NP', 'O')
('algorithm', 'algorithm', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('logistic', 'logistic', 'JJ', 'I-NP', 'O')
('regression', 'regression', 'NN', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('RBF', 'RBF', 'NN', 'B-NP', 'B-protein')
('kernel', 'kernel', 'NN', 'I-NP', 'O')
('(Platt,', '(Platt,', 'NNP', 'B-NP', 'O')
('1998)', '1998)', 'CD', 'I-NP', 'O')
('incorporating', 'incorporate', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('selected', 'select', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('SVM', 'SVM', 'NN', 'B-NP', 'B-protein')
('based', 'base', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('RFE.', 'RFE.', 'NN', 'B-NP', 'B-protein')
We    estimated    the prediction error of each model using leave-one-out cross -validation (LOOCV), which is a special case of n-fold cross-validation, where n is the number of samples in the dataset (Tan et al., 2005).
('We', 'We', 'PRP', 'B-NP', 'O')
('estimated', 'estimate', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('prediction', 'prediction', 'NN', 'I-NP', 'O')
('error', 'error', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('leave-one-out', 'leave-one-out', 'JJ', 'B-NP', 'O')
('cross', 'cross', 'NN', 'I-NP', 'O')
('-validation', '-validation', 'NN', 'I-NP', 'O')
('(LOOCV),', '(LOOCV),', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('special', 'special', 'JJ', 'I-NP', 'O')
('case', 'case', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('n-fold', 'n-fold', 'JJ', 'B-NP', 'B-protein')
('cross-validation,', 'cross-validation,', 'NN', 'I-NP', 'I-protein')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('n', 'n', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('samples', 'sample', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('dataset', 'dataset', 'NN', 'I-NP', 'O')
('(Tan', '(Tan', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2005).', '2005).', 'CD', 'B-NP', 'O')
LOOCV has the advantage of utilizing    as    much    data    as    possible    for    training.
('LOOCV', 'LOOCV', 'NN', 'B-NP', 'B-protein')
('has', 'have', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('advantage', 'advantage', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('utilizing', 'utilize', 'VBG', 'B-VP', 'O')
('as', 'as', 'RB', 'B-NP', 'O')
('much', 'much', 'JJ', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('possible', 'possible', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('training.', 'training.', 'NN', 'B-NP', 'O')
In addition, the test sets were mutually exclusive, and they effectively covered the entire dataset.
('In', 'In', 'IN', 'B-PP', 'O')
('addition,', 'addition,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('sets', 'set', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('mutually', 'mutually', 'RB', 'B-NP', 'O')
('exclusive,', 'exclusive,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('effectively', 'effectively', 'RB', 'B-VP', 'O')
('covered', 'cover', 'VBD', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('entire', 'entire', 'JJ', 'I-NP', 'O')
('dataset.', 'dataset.', 'NN', 'I-NP', 'O')
LOOCV provided a method which maximized the data obtained from a small dataset and while generating as accurate anestimate as possible (Tan et al., 2005).
('LOOCV', 'LOOCV', 'NN', 'B-NP', 'O')
('provided', 'provide', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('maximized', 'maximize', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('obtained', 'obtain', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('small', 'small', 'JJ', 'I-NP', 'O')
('dataset', 'dataset', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('while', 'while', 'IN', 'B-SBAR', 'O')
('generating', 'generate', 'VBG', 'B-VP', 'O')
('as', 'as', 'RB', 'B-NP', 'O')
('accurate', 'accurate', 'JJ', 'I-NP', 'O')
('an', 'an', 'DT', 'I-NP', 'O')
('estimate', 'estimate', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('possible', 'possible', 'JJ', 'B-NP', 'O')
('(Tan', '(Tan', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2005).', '2005).', 'CD', 'B-NP', 'O')
NIH3T3 mouse fibroblast cells can be maintained in monolayer cells, but it cannot be grown in soft agar.
('NIH3T3', 'NIH3T3', 'NN', 'B-NP', 'B-cell_line')
('mouse', 'mouse', 'NN', 'I-NP', 'I-cell_line')
('fibroblast', 'fibroblast', 'NN', 'I-NP', 'I-cell_line')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_line')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('maintained', 'maintain', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('monolayer', 'monolayer', 'NN', 'B-NP', 'O')
('cells,', 'cells,', 'NNS', 'I-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('cannot', 'cannot', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('grown', 'grow', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('soft', 'soft', 'JJ', 'B-NP', 'O')
('agar.', 'agar.', 'NN', 'I-NP', 'O')
Toestablish    models    for    immortalization    and    transformation, we introduced c~myc and H-ras V12 expression plasmid to NIH3T3 cells and selected stable cell colonies as reported previously (Wiehle et al., 1990).
('To', 'To', 'TO', 'B-VP', 'O')
('establish', 'establish', 'VB', 'I-VP', 'O')
('models', 'model', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('immortalization', 'immortalization', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('transformation,', 'transformation,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('introduced', 'introduce', 'VBD', 'B-VP', 'O')
('c~myc', 'c~myc', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('H-ras', 'H-ras', 'NN', 'B-NP', 'B-DNA')
('V12', 'V12', 'NN', 'I-NP', 'I-DNA')
('expression', 'expression', 'NN', 'I-NP', 'I-DNA')
('plasmid', 'plasmid', 'NN', 'I-NP', 'I-DNA')
('to', 'to', 'TO', 'B-PP', 'O')
('NIH3T3', 'NIH3T3', 'NN', 'B-NP', 'B-cell_line')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_line')
('and', 'and', 'CC', 'O', 'O')
('selected', 'select', 'VBN', 'B-VP', 'O')
('stable', 'stable', 'JJ', 'B-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('colonies', 'colony', 'NNS', 'I-NP', 'O')
('as', 'as', 'IN', 'B-SBAR', 'O')
('reported', 'report', 'VBN', 'B-VP', 'O')
('previously', 'previously', 'RB', 'B-ADVP', 'O')
('(Wiehle', '(Wiehle', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('1990).', '1990).', 'CD', 'B-NP', 'O')
The tumorigenic potential of      NIH3T3,      NIH3T3(c-myc),      NIH3T3(H-ras V12 )     and NIH3T3(c-myc+H-ras V12 )    cells were checked using the colony formation in soft agar and tumor formation in vivo in Balb/c-nu mice (Table 1).
('The', 'The', 'DT', 'B-NP', 'O')
('tumorigenic', 'tumorigenic', 'JJ', 'I-NP', 'O')
('potential', 'potential', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('NIH3T3,', 'NIH3T3,', 'NN', 'B-NP', 'B-protein')
('NIH3T3(c-myc),', 'NIH3T3(c-myc),', 'NN', 'I-NP', 'I-protein')
('NIH3T3(H-ras', 'NIH3T3(H-ras', 'NN', 'I-NP', 'I-protein')
('V12', 'V12', 'NN', 'I-NP', 'I-protein')
(')', ')', ')', 'O', 'O')
('and', 'and', 'CC', 'O', 'O')
('NIH3T3(c-myc+H-ras', 'NIH3T3(c-myc+H-ras', 'NN', 'B-NP', 'O')
('V12', 'V12', 'NN', 'I-NP', 'O')
(')', ')', ')', 'O', 'O')
('cells', 'cell', 'NNS', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('checked', 'check', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('colony', 'colony', 'NN', 'I-NP', 'O')
('formation', 'formation', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('soft', 'soft', 'JJ', 'B-NP', 'O')
('agar', 'agar', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('tumor', 'tumor', 'NN', 'I-NP', 'O')
('formation', 'formation', 'NN', 'I-NP', 'O')
('in', 'in', 'FW', 'B-ADVP', 'O')
('vivo', 'vivo', 'FW', 'I-ADVP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Balb/c-nu', 'Balb/c-nu', 'JJ', 'B-NP', 'O')
('mice', 'mouse', 'NNS', 'I-NP', 'O')
('(Table', '(Table', 'JJ', 'B-ADJP', 'O')
('1).', '1).', 'CD', 'B-NP', 'O')
We compared the tumorigenicity using Vero and HeLa cells as negative and positiveTable 1.
('We', 'We', 'PRP', 'B-NP', 'O')
('compared', 'compare', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('tumorigenicity', 'tumorigenicity', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('Vero', 'Vero', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('HeLa', 'HeLa', 'NN', 'I-NP', 'B-cell_line')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_line')
('as', 'as', 'IN', 'B-PP', 'O')
('negative', 'negative', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('positive', 'positive', 'JJ', 'I-NP', 'O')
('Table', 'Table', 'JJ', 'I-NP', 'O')
('1.', '1.', 'CD', 'I-NP', 'O')
In vitro and in vivo tumorigenicity assay for NIH3T3, NIH3T3(c-myc), NIH3T3(H-rasV12) and NIH3T3(c-myc+H- rasV12) cells.
('In', 'In', 'FW', 'B-ADVP', 'O')
('vitro', 'vitro', 'FW', 'I-ADVP', 'O')
