Estimating the Genetic Epidemiology Parameters of Selected Cancers in Korea Population - The Korean Twin Study -The Korean Twin Register (n=154,783 pairs) wasreported in 2002 as the first nationwide twin study in Korea and the largest study in Asia.
('Estimating', 'Estimate', 'VBG', 'B-VP', 'O')
('To', 'To', 'TO', 'B-VP', 'O')
('estimate', 'estimate', 'VB', 'I-VP', 'O')
('population', 'population', 'NN', 'B-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('prevalence,', 'prevalence,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('independent', 'independent', 'JJ', 'I-NP', 'O')
('parameter', 'parameter', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('calculating', 'calculate', 'VBG', 'B-VP', 'O')
('familial', 'familial', 'JJ', 'B-NP', 'O')
('recurrence', 'recurrence', 'NN', 'I-NP', 'O')
('risk,', 'risk,', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('normative', 'normative', 'JJ', 'I-NP', 'O')
('cohort', 'cohort', 'NN', 'I-NP', 'O')
('representing', 'represent', 'VBG', 'B-VP', 'O')
('Korean', 'Korean', 'JJ', 'B-NP', 'O')
('population', 'population', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('used.', 'used.', 'VBN', 'I-VP', 'O')
The normative cohort was reconstructed fromKorean National Health Service database, by stratified and random sampling one fortieth of all Koreans.
('The', 'The', 'DT', 'B-NP', 'O')
('normative', 'normative', 'JJ', 'I-NP', 'O')
('cohort', 'cohort', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('reconstructed', 'reconstruct', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('Korean', 'Korean', 'NNP', 'B-NP', 'O')
('National', 'National', 'NNP', 'I-NP', 'O')
('Health', 'Health', 'NNP', 'I-NP', 'O')
('Service', 'Service', 'NNP', 'I-NP', 'O')
('database,', 'database,', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('stratified', 'stratified', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('random', 'random', 'JJ', 'I-NP', 'O')
('sampling', 'sample', 'VBG', 'I-NP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('fortieth', 'fortieth', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('Koreans.', 'Koreans.', 'NN', 'I-NP', 'O')
Strata for sampling included 1) age group by 5 years 2) sex 3) province level geographical area 4) type of health insurance.
('Strata', 'Stratum', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('sampling', 'sampling', 'NN', 'B-NP', 'O')
('included', 'include', 'VBD', 'B-VP', 'O')
('1)', '1)', 'LS', 'B-NP', 'O')
('age', 'age', 'NN', 'I-NP', 'O')
('group', 'group', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('5', '5', 'CD', 'B-NP', 'O')
('years', 'year', 'NNS', 'I-NP', 'O')
('2)', '2)', 'CD', 'B-NP', 'O')
('sex', 'sex', 'NN', 'I-NP', 'O')
('3)', '3)', 'NN', 'I-NP', 'O')
('province', 'province', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('geographical', 'geographical', 'JJ', 'I-NP', 'O')
('area', 'area', 'NN', 'I-NP', 'O')
('4)', '4)', 'CD', 'I-NP', 'O')
('type', 'type', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('health', 'health', 'NN', 'B-NP', 'O')
('insurance.', 'insurance.', 'NN', 'I-NP', 'O')
The cohort was over-sampled for elderly persons to stabilize estimated epidemiologic parameters such as prevalence and incidence rate.
('The', 'The', 'DT', 'B-NP', 'O')
('cohort', 'cohort', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('over-sampled', 'over-sampled', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('elderly', 'elderly', 'JJ', 'B-NP', 'O')
('persons', 'person', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('stabilize', 'stabilize', 'VB', 'I-VP', 'O')
('estimated', 'estimate', 'VBN', 'B-NP', 'O')
('epidemiologic', 'epidemiologic', 'JJ', 'I-NP', 'O')
('parameters', 'parameter', 'NNS', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('prevalence', 'prevalence', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('incidence', 'incidence', 'NN', 'I-NP', 'O')
('rate.', 'rate.', 'NN', 'I-NP', 'O')
The normative cohort was reconstructed to estimate a global burden of disease and death, and various descriptive epidemiologic parameters had been calculated from the cohort.
('The', 'The', 'DT', 'B-NP', 'O')
('normative', 'normative', 'JJ', 'I-NP', 'O')
('cohort', 'cohort', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('reconstructed', 'reconstruct', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('estimate', 'estimate', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('global', 'global', 'JJ', 'I-NP', 'O')
('burden', 'burden', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('disease', 'disease', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('death,', 'death,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('various', 'various', 'JJ', 'B-NP', 'O')
('descriptive', 'descriptive', 'JJ', 'I-NP', 'O')
('epidemiologic', 'epidemiologic', 'JJ', 'I-NP', 'O')
('parameters', 'parameter', 'NNS', 'I-NP', 'O')
('had', 'have', 'VBD', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('calculated', 'calculate', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('cohort.', 'cohort.', 'NN', 'I-NP', 'O')
The cohort consists of 1,205,470 persons.
('The', 'The', 'DT', 'B-NP', 'O')
('cohort', 'cohort', 'NN', 'I-NP', 'O')
('consists', 'consist', 'VBZ', 'B-VP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('1,205,470', '1,205,470', 'CD', 'B-NP', 'O')
('persons.', 'persons.', 'NNS', 'I-NP', 'O')
All medical utilization of the cohort members between the year of 1995 and 2002 were linked.
('All', 'All', 'DT', 'B-NP', 'O')
('medical', 'medical', 'JJ', 'I-NP', 'O')
('utilization', 'utilization', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('cohort', 'cohort', 'JJ', 'I-NP', 'O')
('members', 'member', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('year', 'year', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('1995', '1995', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('2002', '2002', 'CD', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('linked.', 'linked.', 'VBN', 'I-VP', 'O')
After the data linkage, any information that can identify individuals was deleted.
('After', 'After', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('linkage,', 'linkage,', 'VBP', 'B-VP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('identify', 'identify', 'VB', 'I-VP', 'O')
('individuals', 'individual', 'NNS', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('deleted.', 'deleted.', 'VBN', 'I-VP', 'O')
All cancers occurring after 1991 were included in this analysis.
('All', 'All', 'DT', 'B-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('occurring', 'occur', 'VBG', 'B-VP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('1991', '1991', 'CD', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('included', 'include', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('analysis.', 'analysis.', 'NN', 'I-NP', 'O')
The following codes in the International Statistical Classification of Diseases, 9th and 10th Revision (ICD-9 and ICD-10) were used to identify cancers: stomach cancer (151 as ICD-9 and C16 as ICD-10), breast cancer (174 as ICD-9, C50 as ICD-10), and colorectal cancer (C18-C21 as ICD-10,153-154 as ICD-9).
('The', 'The', 'DT', 'B-NP', 'O')
('following', 'follow', 'VBG', 'I-NP', 'O')
('codes', 'code', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('International', 'International', 'JJ', 'I-NP', 'O')
('Statistical', 'Statistical', 'JJ', 'I-NP', 'O')
('Classification', 'Classification', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Diseases,', 'Diseases,', 'NNP', 'B-NP', 'O')
('9th', '9th', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('10th', '10th', 'JJ', 'B-NP', 'O')
('Revision', 'Revision', 'NN', 'I-NP', 'O')
('(ICD-9', '(ICD-9', 'NN', 'I-NP', 'B-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('ICD-10)', 'ICD-10)', 'NN', 'I-NP', 'B-protein')
('were', 'be', 'VBD', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('identify', 'identify', 'VB', 'I-VP', 'O')
('cancers:', 'cancers:', 'MD', 'O', 'O')
('stomach', 'stomach', 'NN', 'B-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('(151', '(151', 'CD', 'I-NP', 'O')
('as', 'as', 'IN', 'B-SBAR', 'O')
('ICD-9', 'ICD-9', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('C16', 'C16', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('ICD-10),', 'ICD-10),', 'NN', 'B-NP', 'B-protein')
('breast', 'breast', 'NN', 'I-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('(174', '(174', 'CD', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('ICD-9,', 'ICD-9,', 'NN', 'B-NP', 'B-protein')
('C50', 'C50', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('ICD-10),', 'ICD-10),', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'O', 'O')
('colorectal', 'colorectal', 'JJ', 'B-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('(C18-C21', '(C18-C21', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('ICD-10,153-154', 'ICD-10,153-154', 'NN', 'B-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('ICD-9).', 'ICD-9).', 'NN', 'B-NP', 'B-protein')
Operational definitions for cancer cases were made to reduce spurious diagnosis.
('Operational', 'Operational', 'JJ', 'B-NP', 'O')
('definitions', 'definition', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('cancer', 'cancer', 'NN', 'B-NP', 'O')
('cases', 'case', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('made', 'make', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('reduce', 'reduce', 'VB', 'I-VP', 'O')
('spurious', 'spurious', 'JJ', 'B-NP', 'O')
('diagnosis.', 'diagnosis.', 'NN', 'I-NP', 'O')
The disease code in the medical utilization data are often made just to rule out the diagnosis rather than to treat the confirmed diseases.
('The', 'The', 'DT', 'B-NP', 'O')
('disease', 'disease', 'NN', 'I-NP', 'O')
('code', 'code', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('medical', 'medical', 'JJ', 'I-NP', 'O')
('utilization', 'utilization', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('often', 'often', 'RB', 'I-VP', 'O')
('made', 'make', 'VBN', 'I-VP', 'O')
('just', 'just', 'RB', 'B-ADVP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('rule', 'rule', 'VB', 'I-VP', 'O')
('out', 'out', 'RP', 'B-PRT', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('diagnosis', 'diagnosis', 'NN', 'I-NP', 'O')
('rather', 'rather', 'RB', 'B-CONJP', 'O')
('than', 'than', 'IN', 'I-CONJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('treat', 'treat', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('confirmed', 'confirm', 'VBN', 'I-NP', 'O')
('diseases.', 'diseases.', 'NNS', 'I-NP', 'O')
While cases in cancer registry data were all confirmed cases often with pathologic diagnosis, the cases in medical utilization data, as they are, can inflate the epidemiologic parameters.
('While', 'While', 'IN', 'B-SBAR', 'O')
('cases', 'case', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('cancer', 'cancer', 'NN', 'B-NP', 'O')
('registry', 'registry', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('confirmed', 'confirm', 'VBN', 'I-NP', 'O')
('cases', 'case', 'NNS', 'I-NP', 'O')
('often', 'often', 'RB', 'B-ADVP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('pathologic', 'pathologic', 'JJ', 'B-NP', 'O')
('diagnosis,', 'diagnosis,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('cases', 'case', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('medical', 'medical', 'JJ', 'B-NP', 'O')
('utilization', 'utilization', 'NN', 'I-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-SBAR', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('are,', 'are,', 'VBP', 'B-VP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('inflate', 'inflate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('epidemiologic', 'epidemiologic', 'JJ', 'I-NP', 'O')
('parameters.', 'parameters.', 'NN', 'I-NP', 'O')
The operational definition of cancer cases used in the study was 1) any case in the cancer registry data, 2) any case only found in both medical utilization and death certificate data 3) cases only found in the medical utilization data, which were reported more than twice as the same primary diagnosis, and admitted more than once with the same primary diagnosis.
('The', 'The', 'DT', 'B-NP', 'O')
('operational', 'operational', 'JJ', 'I-NP', 'O')
('definition', 'definition', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cancer', 'cancer', 'NN', 'B-NP', 'O')
('cases', 'case', 'NNS', 'I-NP', 'O')
('used', 'use', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('1)', '1)', 'LS', 'B-ADJP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('case', 'case', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('registry', 'registry', 'NN', 'I-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('2)', '2)', 'CD', 'I-NP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('case', 'case', 'NN', 'I-NP', 'O')
('only', 'only', 'RB', 'B-VP', 'O')
('found', 'find', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('both', 'both', 'CC', 'B-NP', 'O')
('medical', 'medical', 'JJ', 'I-NP', 'O')
('utilization', 'utilization', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('death', 'death', 'NN', 'I-NP', 'O')
('certificate', 'certificate', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('3)', '3)', 'CD', 'B-NP', 'O')
('cases', 'case', 'NNS', 'I-NP', 'O')
('only', 'only', 'RB', 'B-VP', 'O')
('found', 'find', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('medical', 'medical', 'JJ', 'I-NP', 'O')
('utilization', 'utilization', 'NN', 'I-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('reported', 'report', 'VBN', 'I-VP', 'O')
('more', 'more', 'RBR', 'B-NP', 'O')
('than', 'than', 'IN', 'I-NP', 'O')
('twice', 'twice', 'RB', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('diagnosis,', 'diagnosis,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('admitted', 'admit', 'VBD', 'B-VP', 'O')
('more', 'more', 'JJR', 'B-ADVP', 'O')
('than', 'than', 'IN', 'I-ADVP', 'O')
('once', 'once', 'RB', 'I-ADVP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('diagnosis.', 'diagnosis.', 'NN', 'I-NP', 'O')
4) any cases only found in medical utilization data, which were found more than three times with the same primary diagnosis, and at least one of the diagnosis was reported from general hospitals.
('4)', '4)', 'LS', 'B-LST', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('cases', 'case', 'NNS', 'I-NP', 'O')
('only', 'only', 'RB', 'B-VP', 'O')
('found', 'find', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('medical', 'medical', 'JJ', 'B-NP', 'O')
('utilization', 'utilization', 'NN', 'I-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('found', 'find', 'VBN', 'I-VP', 'O')
('more', 'more', 'JJR', 'B-NP', 'O')
('than', 'than', 'IN', 'I-NP', 'O')
('three', 'three', 'CD', 'I-NP', 'O')
('times', 'time', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('diagnosis,', 'diagnosis,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('at', 'at', 'IN', 'B-NP', 'O')
('least', 'least', 'JJS', 'I-NP', 'O')
('one', 'one', 'CD', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('diagnosis', 'diagnosis', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('reported', 'report', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('general', 'general', 'JJ', 'B-NP', 'O')
('hospitals.', 'hospitals.', 'NNS', 'I-NP', 'O')
The accuracy of diagnosis for all three cancers was considered to the same, and the operational definitions were applied to all three cancers.
('The', 'The', 'DT', 'B-NP', 'O')
('accuracy', 'accuracy', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('diagnosis', 'diagnosis', 'NN', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('three', 'three', 'CD', 'I-NP', 'O')
('cancers', 'cancer', 'NNS', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('considered', 'consider', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same,', 'same,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('operational', 'operational', 'JJ', 'I-NP', 'O')
('definitions', 'definition', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('applied', 'apply', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('three', 'three', 'CD', 'I-NP', 'O')
('cancers.', 'cancers.', 'NNS', 'I-NP', 'O')
The effective follow-up period used in the study differed by the data sources; cancer registry data was available between the year of 1992 and 2001, medical utilization data 1991 -2003, and death certificate data 1991-2002.
('The', 'The', 'DT', 'B-NP', 'O')
('effective', 'effective', 'JJ', 'I-NP', 'O')
('follow-up', 'follow-up', 'JJ', 'I-NP', 'O')
('period', 'period', 'NN', 'I-NP', 'O')
('used', 'use', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('differed', 'differ', 'VBD', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('sources;', 'sources;', 'NN', 'I-NP', 'O')
('cancer', 'cancer', 'NN', 'I-NP', 'O')
('registry', 'registry', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('available', 'available', 'JJ', 'B-ADJP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('year', 'year', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('1992', '1992', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('2001,', '2001,', 'CD', 'I-NP', 'O')
('medical', 'medical', 'JJ', 'I-NP', 'O')
('utilization', 'utilization', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('1991', '1991', 'CD', 'B-NP', 'O')
('-2003,', '-2003,', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('death', 'death', 'NN', 'I-NP', 'O')
('certificate', 'certificate', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('1991-2002.', '1991-2002.', 'CD', 'B-NP', 'O')
Familial recurrence risk, or relative risk is defined diseaseconcordance rate between specific family pair, over the prevalence in general population, i.e., the excess risk of disease occurrence, conditional to the presence of diseased (same disease) family pair.
('Familial', 'Familial', 'JJ', 'B-NP', 'O')
('recurrence', 'recurrence', 'NN', 'I-NP', 'O')
('risk,', 'risk,', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('relative', 'relative', 'JJ', 'B-NP', 'O')
('risk', 'risk', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('disease', 'disease', 'NN', 'B-NP', 'O')
('concordance', 'concordance', 'NN', 'I-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('specific', 'specific', 'JJ', 'B-NP', 'O')
('family', 'family', 'NN', 'I-NP', 'O')
('pair,', 'pair,', 'NN', 'I-NP', 'O')
('over', 'over', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('prevalence', 'prevalence', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('general', 'general', 'JJ', 'B-NP', 'O')
('population,', 'population,', 'NN', 'I-NP', 'O')
('i.e.,', 'i.e.,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('excess', 'excess', 'JJ', 'I-NP', 'O')
('risk', 'risk', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('disease', 'disease', 'NN', 'B-NP', 'O')
('occurrence,', 'occurrence,', 'NN', 'I-NP', 'O')
('conditional', 'conditional', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('presence', 'presence', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('diseased', 'diseased', 'JJ', 'B-NP', 'O')
('(same', '(same', 'NN', 'I-NP', 'O')
('disease)', 'disease)', 'NN', 'I-NP', 'O')
('family', 'family', 'NN', 'I-NP', 'O')
('pair.', 'pair.', 'NN', 'I-NP', 'O')
There are two methods to calculate the concordance rate in the family pair; pairwise concordance rate and casewise concordance rate.
('There', 'There', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('calculate', 'calculate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('concordance', 'concordance', 'NN', 'I-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('family', 'family', 'NN', 'I-NP', 'O')
('pair;', 'pair;', 'NN', 'I-NP', 'O')
('pairwise', 'pairwise', 'NN', 'I-NP', 'O')
('concordance', 'concordance', 'NN', 'I-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('casewise', 'casewise', 'JJ', 'B-NP', 'O')
('concordance', 'concordance', 'NN', 'I-NP', 'O')
('rate.', 'rate.', 'NN', 'I-NP', 'O')
When the cases were ascertained from a particular phenotype, pairwise concordance rate is the choice, while casewise concordance rate is preferred when there is no problem of ascertainment.
('When', 'When', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('cases', 'case', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('ascertained', 'ascertain', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('particular', 'particular', 'JJ', 'I-NP', 'O')
('phenotype,', 'phenotype,', 'NN', 'I-NP', 'O')
('pairwise', 'pairwise', 'NN', 'I-NP', 'O')
('concordance', 'concordance', 'NN', 'I-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('choice,', 'choice,', 'NN', 'I-NP', 'O')
