Supervised Model for Identifying Differentially Expressed Genes in DNA Microarray Gene Expression Dataset Using Biological Pathway InformationMicroarray technology makes it possible to measure the expressions of tens of thousands of genes simultaneously under various experimental conditions.
('Supervised', 'Supervised', 'NNP', 'B-NP', 'O')
(Chatrand et al., 1998) If two graphs G1 and G2 are constructed on the same set of nodes, then the geodesic distance of two graphs can be easily extended by the average of differences of all geodesic distances of all pairs of nodes in each graph, i.e.
('(Chatrand', '(Chatrand', 'NNP', 'B-NP', 'O')
('et', 'et', 'VBD', 'B-VP', 'O')
('al.,', 'al.,', 'IN', 'B-ADVP', 'O')
('1998)', '1998)', 'CD', 'B-NP', 'O')
('If', 'If', 'IN', 'I-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('graphs', 'graph', 'NNS', 'I-NP', 'O')
('G1', 'G1', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('G2', 'G2', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('constructed', 'construct', 'VBN', 'I-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('nodes,', 'nodes,', 'NN', 'B-NP', 'O')
('then', 'then', 'RB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('geodesic', 'geodesic', 'JJ', 'I-NP', 'O')
('distance', 'distance', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('graphs', 'graph', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('easily', 'easily', 'RB', 'I-VP', 'O')
('extended', 'extend', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('average', 'average', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('differences', 'difference', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('geodesic', 'geodesic', 'JJ', 'I-NP', 'O')
('distances', 'distance', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('pairs', 'pair', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('nodes', 'node', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('graph,', 'graph,', 'FW', 'I-NP', 'O')
('i.e.', 'i.e.', 'FW', 'I-NP', 'O')
where the summation is taken over all pairs (g, h) of nodes and n is the number of common set of nodes.
('where', 'where', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('summation', 'summation', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('taken', 'take', 'VBN', 'I-VP', 'O')
('over', 'over', 'RP', 'B-PRT', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('pairs', 'pair', 'NNS', 'I-NP', 'O')
('(g,', '(g,', 'VBD', 'B-VP', 'O')
('h)', 'h)', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('nodes', 'node', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('n', 'n', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('common', 'common', 'JJ', 'B-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('nodes.', 'nodes.', 'NN', 'B-NP', 'O')
We here note that it is symmetric and satisfies triangle inequality (Chatrand eta/., 1998).
('We', 'We', 'PRP', 'B-NP', 'O')
('here', 'here', 'RB', 'B-ADVP', 'O')
('note', 'note', 'VBP', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('symmetric', 'symmetric', 'JJ', 'B-ADJP', 'O')
('and', 'and', 'CC', 'O', 'O')
('satisfies', 'satisfy', 'NNS', 'B-NP', 'O')
('triangle', 'triangle', 'NN', 'I-NP', 'O')
('inequality', 'inequality', 'NN', 'I-NP', 'O')
('(Chatrand', '(Chatrand', 'NN', 'I-NP', 'O')
('eta/.,', 'eta/.,', 'NN', 'I-NP', 'O')
('1998).', '1998).', 'CD', 'I-NP', 'O')
Let Gp be the pathway graph obtained from KEGGpathway database.
('Let', 'Let', 'VB', 'B-VP', 'O')
('Gp', 'Gp', 'NN', 'B-NP', 'B-protein')
('be', 'be', 'VB', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('graph', 'graph', 'NN', 'I-NP', 'O')
('obtained', 'obtain', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('KEGG', 'KEGG', 'NN', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('database.', 'database.', 'NN', 'I-NP', 'O')
And let G m be a graph constructedfrom the Rosetta compendium dataset by linking co-differentially expressed genes.
('And', 'And', 'CC', 'O', 'O')
('let', 'let', 'VB', 'B-VP', 'O')
('G', 'G', 'NN', 'B-NP', 'B-protein')
('m', 'm', 'NN', 'I-NP', 'I-protein')
('be', 'be', 'VB', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('graph', 'graph', 'NN', 'I-NP', 'O')
('constructed', 'construct', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Rosetta', 'Rosetta', 'NNP', 'I-NP', 'O')
('compendium', 'compendium', 'NN', 'I-NP', 'O')
('dataset', 'dataset', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('linking', 'link', 'VBG', 'B-VP', 'O')
('co-differentially', 'co-differentially', 'RB', 'B-NP', 'O')
('expressed', 'express', 'VBN', 'I-NP', 'O')
('genes.', 'genes.', 'NNS', 'I-NP', 'O')
The threshold 9 is used to determine DEGs in each condition, i.e., a genepair (g,/?)
('The', 'The', 'DT', 'B-NP', 'O')
('threshold', 'threshold', 'NN', 'I-NP', 'O')
('9', '9', 'CD', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('DEGs', 'DEG', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('condition,', 'condition,', 'NN', 'I-NP', 'O')
('i.e.,', 'i.e.,', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('pair', 'pair', 'NN', 'I-NP', 'O')
('(g,/?)', '(g,/?)', 'NN', 'I-NP', 'O')
is linked in the graph G m if the absolute value ofnormalized log-ratios of expressions in gand hare bothgreater than 9.
('is', 'be', 'VBZ', 'B-VP', 'O')
('linked', 'link', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('graph', 'graph', 'NN', 'I-NP', 'O')
('G', 'G', 'NN', 'I-NP', 'O')
('m', 'm', 'NN', 'I-NP', 'O')
('if', 'if', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('absolute', 'absolute', 'JJ', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('normalized', 'normalized', 'JJ', 'B-NP', 'O')
('log-ratios', 'log-ratio', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('expressions', 'expression', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('gand', 'gand', 'NN', 'B-NP', 'O')
('hare', 'hare', 'VBP', 'B-VP', 'O')
('both', 'both', 'CC', 'O', 'O')
('greater', 'great', 'JJR', 'B-ADJP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('9.', '9.', 'CD', 'B-NP', 'O')
Then the compatibility Comp(Gp, G M ) isobtained byHere n is the number of genes in Gp, and G^ Gp is therelative subgraph of G M to Gp.
('Then', 'Then', 'RB', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('compatibility', 'compatibility', 'NN', 'I-NP', 'O')
('Comp(Gp,', 'Comp(Gp,', 'NNP', 'I-NP', 'O')
('G', 'G', 'NNP', 'I-NP', 'O')
('M', 'M', 'NNP', 'I-NP', 'O')
(')', ')', ')', 'O', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('obtained', 'obtain', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('Here', 'Here', 'RB', 'B-NP', 'O')
('n', 'n', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Gp,', 'Gp,', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'O', 'O')
('G^', 'G^', 'NN', 'B-NP', 'B-protein')
('Gp', 'Gp', 'NN', 'I-NP', 'I-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('relative', 'relative', 'JJ', 'I-NP', 'O')
('subgraph', 'subgraph', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('G', 'G', 'NN', 'B-NP', 'O')
('M', 'M', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('Gp.', 'Gp.', 'NNP', 'B-NP', 'O')
Since the pathway graph G P contains only subset of genes that are described in graph G m , it is natural to compare Gp and subgraph of G m - It is clear that the compatibility lies between 0 and 1 and it becomes 1 only when the graph G M includesexactly same structure of Gp.
('Since', 'Since', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('graph', 'graph', 'NN', 'I-NP', 'O')
('G', 'G', 'NN', 'I-NP', 'O')
('P', 'P', 'NN', 'I-NP', 'O')
('contains', 'contain', 'VBZ', 'B-VP', 'O')
('only', 'only', 'RB', 'B-NP', 'O')
('subset', 'subset', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('described', 'describe', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('graph', 'graph', 'NN', 'B-NP', 'O')
('G', 'G', 'NN', 'I-NP', 'O')
('m', 'm', 'NN', 'I-NP', 'O')
(',', ',', ',', 'O', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('natural', 'natural', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('compare', 'compare', 'VB', 'I-VP', 'O')
('Gp', 'Gp', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('subgraph', 'subgraph', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('G', 'G', 'NN', 'B-NP', 'B-protein')
('m', 'm', 'NN', 'I-NP', 'I-protein')
('-', '-', 'HYPH', 'O', 'O')
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('clear', 'clear', 'JJ', 'B-ADJP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('compatibility', 'compatibility', 'NN', 'I-NP', 'O')
('lies', 'lie', 'VBZ', 'B-VP', 'O')
('between', 'between', 'IN', 'B-NP', 'O')
('0', '0', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('1', '1', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('becomes', 'become', 'VBZ', 'B-VP', 'O')
('1', '1', 'CD', 'B-NP', 'O')
('only', 'only', 'RB', 'I-NP', 'O')
('when', 'when', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('graph', 'graph', 'NN', 'I-NP', 'O')
('G', 'G', 'NN', 'I-NP', 'O')
('M', 'M', 'NN', 'I-NP', 'O')
('includes', 'include', 'VBZ', 'B-VP', 'O')
('exactly', 'exactly', 'RB', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Gp.', 'Gp.', 'NN', 'B-NP', 'B-protein')
The effect of the optimization on compatibility is illustrated in Fig.
('The', 'The', 'DT', 'B-NP', 'O')
('effect', 'effect', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('optimization', 'optimization', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('compatibility', 'compatibility', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('illustrated', 'illustrate', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
1.
('1.', '1.', 'LS', 'B-LST', 'O')
In the figure, (B), (C) and (D) are possible graphs from microarray dataset by taking different threshold determining DEGs.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('figure,', 'figure,', 'NN', 'I-NP', 'O')
('(B),', '(B),', 'NNP', 'I-NP', 'O')
('(C)', '(C)', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('(D)', '(D)', 'NNP', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('possible', 'possible', 'JJ', 'B-NP', 'O')
('graphs', 'graph', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('dataset', 'dataset', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('taking', 'take', 'VBG', 'B-VP', 'O')
('different', 'different', 'JJ', 'B-NP', 'O')
('threshold', 'threshold', 'NN', 'I-NP', 'O')
('determining', 'determine', 'VBG', 'B-VP', 'O')
('DEGs.', 'DEGs.', 'NN', 'B-NP', 'O')
And (A) is the pathway graph which will be used as a reference to select one graph from (B), (C) and (D).
('And', 'And', 'CC', 'O', 'O')
('(A)', '(A)', 'NNP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('graph', 'graph', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('reference', 'reference', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('select', 'select', 'VB', 'I-VP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('graph', 'graph', 'NN', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('(B),', '(B),', 'NNP', 'B-NP', 'O')
('(C)', '(C)', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('(D).', '(D).', 'NNP', 'B-NP', 'O')
By calculating compatibilities, which represents the global similarity of graph structures, we can take the threshold used in constructing graph (B) as the optimal one.
('By', 'By', 'IN', 'B-PP', 'O')
('calculating', 'calculate', 'VBG', 'B-VP', 'O')
('compatibilities,', 'compatibilities,', 'NN', 'B-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('represents', 'represent', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('global', 'global', 'JJ', 'I-NP', 'O')
('similarity', 'similarity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('graph', 'graph', 'NN', 'B-NP', 'O')
('structures,', 'structures,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('take', 'take', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('threshold', 'threshold', 'NN', 'I-NP', 'O')
('used', 'use', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('constructing', 'construct', 'VBG', 'B-VP', 'O')
('graph', 'graph', 'NN', 'B-NP', 'B-protein')
('(B)', '(B)', 'NN', 'I-NP', 'I-protein')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('optimal', 'optimal', 'JJ', 'I-NP', 'O')
('one.', 'one.', 'CD', 'I-NP', 'O')
We try to determine DEGs in each experimental condition of microarray expression data based on the template structure of pathway knowledge.
('We', 'We', 'PRP', 'B-NP', 'O')
('try', 'try', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('determine', 'determine', 'VB', 'I-VP', 'O')
('DEGs', 'DEG', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('experimental', 'experimental', 'JJ', 'I-NP', 'O')
('condition', 'condition', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-PP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('template', 'template', 'NN', 'I-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('pathway', 'pathway', 'NN', 'B-NP', 'O')
('knowledge.', 'knowledge.', 'NN', 'I-NP', 'O')
The underlying assumption of our approach is that pathway knowledgecan be conjectured from microarray data, or that microarray data reflect the biological pathway knowledge.
('The', 'The', 'DT', 'B-NP', 'O')
('underlying', 'underlie', 'VBG', 'I-NP', 'O')
('assumption', 'assumption', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('approach', 'approach', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('pathway', 'pathway', 'NN', 'B-NP', 'O')
('knowledge', 'knowledge', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('conjectured', 'conjecture', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('reflect', 'reflect', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('knowledge.', 'knowledge.', 'NN', 'I-NP', 'O')
We investigate the validity of this assumption by investigating the correlation between co-degree in microarray expression data and relations within pathways.
('We', 'We', 'PRP', 'B-NP', 'O')
('investigate', 'investigate', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('validity', 'validity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('assumption', 'assumption', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('investigating', 'investigate', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('correlation', 'correlation', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('co-degree', 'co-degree', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('relations', 'relation', 'NNS', 'I-NP', 'O')
('within', 'within', 'IN', 'B-PP', 'O')
('pathways.', 'pathways.', 'NN', 'B-NP', 'O')
The co-degree of gene pair (g,h) with parameter 3 is defined by the number of conditions satisfying that both gand h become DEGs simultaneously under the condition with respect to the threshold 9.
('The', 'The', 'DT', 'B-NP', 'O')
('co-degree', 'co-degree', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('pair', 'pair', 'NN', 'I-NP', 'O')
('(g,h)', '(g,h)', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('parameter', 'parameter', 'NN', 'B-NP', 'B-protein')
('3', '3', 'CD', 'I-NP', 'I-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('conditions', 'condition', 'NNS', 'B-NP', 'O')
('satisfying', 'satisfy', 'VBG', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('both', 'both', 'CC', 'O', 'O')
('g', 'g', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('h', 'h', 'NN', 'I-NP', 'O')
('become', 'become', 'VBP', 'B-VP', 'O')
('DEGs', 'DEG', 'NNS', 'B-NP', 'O')
('simultaneously', 'simultaneously', 'RB', 'B-ADVP', 'O')
('under', 'under', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('condition', 'condition', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('respect', 'respect', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('threshold', 'threshold', 'NN', 'I-NP', 'O')
('9.', '9.', 'CD', 'I-NP', 'O')
Based on the pathway information, however, we can categorize gene pairs into three classes: The first class comprises gene pairs in which two genes belong to the pathway and are connected by a specific biological relation.
('Based', 'Base', 'VBN', 'B-PP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('information,', 'information,', 'NN', 'I-NP', 'O')
('however,', 'however,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('categorize', 'categorize', 'VB', 'I-VP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('pairs', 'pair', 'NNS', 'I-NP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('three', 'three', 'CD', 'B-NP', 'O')
('classes:', 'classes:', 'NN', 'I-NP', 'O')
('The', 'The', 'DT', 'B-NP', 'O')
('first', 'first', 'JJ', 'I-NP', 'O')
('class', 'class', 'NN', 'I-NP', 'O')
('comprises', 'comprise', 'VBZ', 'B-VP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('pairs', 'pair', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('belong', 'belong', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('connected', 'connect', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('specific', 'specific', 'JJ', 'I-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('relation.', 'relation.', 'NN', 'I-NP', 'O')
The second class comprises gene pairs whose genes belong to the pathway but are not related by any biological relation.
('The', 'The', 'DT', 'B-NP', 'O')
('second', 'second', 'JJ', 'I-NP', 'O')
('class', 'class', 'NN', 'I-NP', 'O')
('comprises', 'comprise', 'VBZ', 'B-VP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'B-DNA')
('pairs', 'pair', 'NNS', 'I-NP', 'I-DNA')
('whose', 'whose', 'WP$', 'B-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('belong', 'belong', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('pathway', 'pathway', 'NN', 'I-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('not', 'not', 'RB', 'O', 'O')
('related', 'related', 'JJ', 'B-ADJP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('relation.', 'relation.', 'NN', 'I-NP', 'O')
The third one is comprises gene pairs whose genes are outside the pathway.
('The', 'The', 'DT', 'B-NP', 'O')
('third', 'third', 'JJ', 'I-NP', 'O')
('one', 'one', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('comprises', 'compris', 'NNS', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('pairs', 'pair', 'NNS', 'I-NP', 'O')
('whose', 'whose', 'WP$', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('outside', 'outside', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('pathway.', 'pathway.', 'NN', 'I-NP', 'O')
For these three classes, we calculate the average of co-degrees as a correlation of microarray data and pathway knowledge.
('For', 'For', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('three', 'three', 'CD', 'I-NP', 'O')
('classes,', 'classes,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('calculate', 'calculate', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
