Nomogram for Predicting Survival for Oral Squamous Cell Carcinoma.
('Nomogram', 'Nomogram', 'NN', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('tumor', 'tumor', 'NN', 'I-NP', 'B-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('were', 'be', 'VBD', 'B-VP', 'O')
('stained;', 'stained;', 'NN', 'B-NP', 'O')
('＋1,', '＋1,', 'NN', 'I-NP', 'O')
('≤25%', '≤25%', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('tumor', 'tumor', 'NN', 'I-NP', 'B-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('were', 'be', 'VBD', 'B-VP', 'O')
('stained;', 'stained;', 'NN', 'B-NP', 'O')
('＋2,', '＋2,', 'NN', 'I-NP', 'O')
('25%', '25%', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('≤50%', '≤50%', 'NN', 'B-NP', 'B-protein')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('tumor', 'tumor', 'NN', 'I-NP', 'B-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('were', 'be', 'VBD', 'B-VP', 'O')
('stained;', 'stained;', 'NN', 'B-NP', 'O')
('＋3,', '＋3,', 'NNS', 'I-NP', 'O')
('50%', '50%', 'CD', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('≤75%', '≤75%', 'CD', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('tumor', 'tumor', 'NN', 'I-NP', 'B-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('were', 'be', 'VBD', 'B-VP', 'O')
('stained;', 'stained;', 'NN', 'B-NP', 'O')
('＋4,', '＋4,', 'NN', 'I-NP', 'O')
('＞75%', '＞75%', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('tumor', 'tumor', 'NN', 'B-NP', 'B-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('were', 'be', 'VBD', 'B-VP', 'O')
('stained.', 'stained.', 'VBN', 'I-VP', 'O')
The intensity was divided into negative, weak, moderate and strong (0, ＋1, ＋2, ＋3).
('The', 'The', 'DT', 'B-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('divided', 'divide', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('negative,', 'negative,', 'NN', 'B-NP', 'O')
('weak,', 'weak,', 'NN', 'I-NP', 'O')
('moderate', 'moderate', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('strong', 'strong', 'JJ', 'I-NP', 'O')
('(0,', '(0,', 'NN', 'I-NP', 'O')
('＋1,', '＋1,', 'NN', 'I-NP', 'O')
('＋2,', '＋2,', 'NN', 'I-NP', 'O')
('＋3).', '＋3).', '.', 'O', 'O')
OSCC tissue specimens were subjected to routine hematoxylin and eosin (H & E) staining.
('OSCC', 'OSCC', 'NN', 'B-NP', 'O')
('tissue', 'tissue', 'NN', 'I-NP', 'O')
('specimens', 'specimen', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('subjected', 'subject', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('routine', 'routine', 'JJ', 'B-NP', 'O')
('hematoxylin', 'hematoxylin', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('eosin', 'eosin', 'NN', 'I-NP', 'O')
('(H', '(H', 'NNP', 'I-NP', 'O')
('&', '&', 'CC', 'I-NP', 'O')
('E)', 'E)', 'NNP', 'I-NP', 'O')
('staining.', 'staining.', 'NN', 'I-NP', 'O')
Specimens were graded into well (G1), moderately (G2) and poorly (G3) differentiated squamous cell carcinomas using the World Health Organization (WHO) grading system.
('Specimens', 'Specimen', 'NNS', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('graded', 'grade', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('well', 'well', 'RB', 'B-NP', 'O')
('(G1),', '(G1),', 'NN', 'I-NP', 'B-protein')
('moderately', 'moderately', 'RB', 'B-NP', 'O')
('(G2)', '(G2)', 'NN', 'I-NP', 'B-DNA')
('and', 'and', 'CC', 'O', 'O')
('poorly', 'poorly', 'RB', 'B-ADVP', 'O')
('(G3)', '(G3)', 'NN', 'B-NP', 'B-DNA')
('differentiated', 'differentiate', 'VBD', 'B-VP', 'O')
('squamous', 'squamous', 'JJ', 'B-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('carcinomas', 'carcinoma', 'NNS', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('World', 'World', 'NNP', 'I-NP', 'O')
('Health', 'Health', 'NNP', 'I-NP', 'O')
('Organization', 'Organization', 'NNP', 'I-NP', 'O')
('(WHO)', '(WHO)', 'NNP', 'I-NP', 'O')
('grading', 'grading', 'NN', 'I-NP', 'O')
('system.', 'system.', 'NN', 'I-NP', 'O')
Thirtyone cases were well differentiated, 49 cases were moderately differentiated, and 16 cases were poorly differentiated.
('Thirtyone', 'Thirtyone', 'NN', 'B-NP', 'O')
('cases', 'case', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('well', 'well', 'RB', 'B-ADJP', 'O')
('differentiated,', 'differentiated,', 'JJ', 'B-NP', 'O')
('49', '49', 'CD', 'I-NP', 'O')
('cases', 'case', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('moderately', 'moderately', 'RB', 'B-ADJP', 'O')
('differentiated,', 'differentiated,', 'JJ', 'I-ADJP', 'O')
('and', 'and', 'CC', 'O', 'O')
('16', '16', 'CD', 'B-NP', 'O')
('cases', 'case', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('poorly', 'poorly', 'RB', 'I-VP', 'O')
('differentiated.', 'differentiated.', 'VBN', 'I-VP', 'O')
The relationships between the clinical factors were tested using the Chisquare statistic.
('The', 'The', 'DT', 'B-NP', 'O')
('relationships', 'relationship', 'NNS', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('clinical', 'clinical', 'JJ', 'I-NP', 'O')
('factors', 'factor', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('tested', 'test', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Chisquare', 'Chisquare', 'NNP', 'I-NP', 'O')
('statistic.', 'statistic.', 'NN', 'I-NP', 'O')
Univariate and multivariate analyses were performed to assess the effects of various factors on the prediction of survival.
('Univariate', 'Univariate', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('multivariate', 'multivariate', 'JJ', 'I-NP', 'O')
('analyses', 'analysis', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('performed', 'perform', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('assess', 'assess', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('effects', 'effect', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('various', 'various', 'JJ', 'B-NP', 'O')
('factors', 'factor', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('prediction', 'prediction', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('survival.', 'survival.', 'NN', 'B-NP', 'O')
The Cox proportional hazard model was used to perform the multivariate analysis.
('The', 'The', 'DT', 'B-NP', 'O')
('Cox', 'Cox', 'NNP', 'I-NP', 'O')
('proportional', 'proportional', 'JJ', 'I-NP', 'O')
('hazard', 'hazard', 'NN', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('perform', 'perform', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('multivariate', 'multivariate', 'JJ', 'I-NP', 'O')
('analysis.', 'analysis.', 'NN', 'I-NP', 'O')
Nomogram for the prediction of survival of OSCC patients was created with the selected significant variables and evaluated by the concordance index (cindex).
('Nomogram', 'Nomogram', 'NN', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('prediction', 'prediction', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('survival', 'survival', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('OSCC', 'OSCC', 'NN', 'B-NP', 'O')
('patients', 'patient', 'NNS', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('created', 'create', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('selected', 'select', 'VBN', 'I-NP', 'O')
('significant', 'significant', 'JJ', 'I-NP', 'O')
('variables', 'variable', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('evaluated', 'evaluate', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('concordance', 'concordance', 'NN', 'I-NP', 'O')
('index', 'index', 'NN', 'I-NP', 'O')
('(cindex).', '(cindex).', '.', 'O', 'O')
Calibration was assessed by plotting the predicted versus the actual probability.
('Calibration', 'Calibration', 'NN', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('assessed', 'assess', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('plotting', 'plot', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('predicted', 'predict', 'VBN', 'I-NP', 'O')
('versus', 'versus', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('actual', 'actual', 'JJ', 'I-NP', 'O')
('probability.', 'probability.', 'NN', 'I-NP', 'O')
All statistical analyses were performed using R with the Design, eha and Hmisc libraries.
('All', 'All', 'DT', 'B-NP', 'O')
('statistical', 'statistical', 'JJ', 'I-NP', 'O')
('analyses', 'analysis', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('performed', 'perform', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('R', 'R', 'NN', 'B-NP', 'B-protein')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Design,', 'Design,', 'NNP', 'I-NP', 'O')
('eha', 'eha', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Hmisc', 'Hmisc', 'NN', 'I-NP', 'O')
('libraries.', 'libraries.', 'NN', 'I-NP', 'O')
The clinical features and p53 expression of the 96 patients used in this study are summarized in Table 1.
('The', 'The', 'DT', 'B-NP', 'O')
('clinical', 'clinical', 'JJ', 'I-NP', 'O')
('features', 'feature', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('p53', 'p53', 'NN', 'B-NP', 'B-protein')
('expression', 'expression', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('96', '96', 'CD', 'I-NP', 'O')
('patients', 'patient', 'NNS', 'I-NP', 'O')
('used', 'use', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('summarized', 'summarize', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Table', 'Table', 'JJ', 'B-NP', 'O')
('1.', '1.', 'CD', 'I-NP', 'O')
They underwent surgical resection between January 1994 and June 2003 at the Severance Hospital in Seoul, Korea.
('They', 'They', 'PRP', 'B-NP', 'O')
('underwent', 'undergo', 'VBD', 'B-VP', 'O')
('surgical', 'surgical', 'JJ', 'B-NP', 'O')
('resection', 'resection', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('January', 'January', 'NNP', 'B-NP', 'O')
('1994', '1994', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('June', 'June', 'NNP', 'B-NP', 'O')
('2003', '2003', 'CD', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Severance', 'Severance', 'NNP', 'I-NP', 'O')
('Hospital', 'Hospital', 'NNP', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Seoul,', 'Seoul,', 'NNP', 'B-NP', 'O')
('Korea.', 'Korea.', 'NNP', 'I-NP', 'O')
The association of clinical factors and pathological groups was shown using pvalues from chisquare test in Table 1.
('The', 'The', 'DT', 'B-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('clinical', 'clinical', 'JJ', 'B-NP', 'O')
('factors', 'factor', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('pathological', 'pathological', 'JJ', 'B-NP', 'O')
('groups', 'group', 'NNS', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('shown', 'show', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('pvalues', 'pvalue', 'NNS', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('chisquare', 'chisquare', 'NN', 'B-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Table', 'Table', 'JJ', 'B-NP', 'O')
('1.', '1.', 'CD', 'I-NP', 'O')
Tumor site, LN metastasis and T stage were significantly and differentially distributed between the early and advanced groups.
('Tumor', 'Tumor', 'NN', 'B-NP', 'O')
('site,', 'site,', 'NN', 'I-NP', 'O')
('LN', 'LN', 'NN', 'I-NP', 'O')
('metastasis', 'metastasis', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('T', 'T', 'NN', 'I-NP', 'O')
('stage', 'stage', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('significantly', 'significantly', 'RB', 'B-VP', 'O')
('and', 'and', 'CC', 'I-VP', 'O')
('differentially', 'differentially', 'RB', 'I-VP', 'O')
('distributed', 'distribute', 'VBN', 'I-VP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('early', 'early', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('advanced', 'advanced', 'JJ', 'I-NP', 'O')
('groups.', 'groups.', 'NNS', 'I-NP', 'O')
The outcome pattern was also significantly different.
('The', 'The', 'DT', 'B-NP', 'O')
('outcome', 'outcome', 'NN', 'I-NP', 'O')
('pattern', 'pattern', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('also', 'also', 'RB', 'I-VP', 'O')
('significantly', 'significantly', 'RB', 'I-VP', 'O')
('different.', 'different.', 'VB', 'I-VP', 'O')
This result indicated that early and advanced groups have different clinical characteristics; therefore, the predictive model should be identified for each stratified groups.
('This', 'This', 'DT', 'B-NP', 'O')
('result', 'result', 'NN', 'I-NP', 'O')
('indicated', 'indicate', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('early', 'early', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('advanced', 'advanced', 'JJ', 'I-NP', 'O')
('groups', 'group', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('different', 'different', 'JJ', 'B-NP', 'O')
('clinical', 'clinical', 'JJ', 'I-NP', 'O')
('characteristics;', 'characteristics;', 'NN', 'I-NP', 'O')
('therefore,', 'therefore,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('predictive', 'predictive', 'JJ', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('should', 'should', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('identified', 'identify', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('stratified', 'stratify', 'VBN', 'I-NP', 'O')
('groups.', 'groups.', 'NNS', 'I-NP', 'O')
In regards to tumor sites, 32.5% of gingiva was in the early stage while 77% was in the advanced group.
('In', 'In', 'IN', 'B-PP', 'O')
('regards', 'regard', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('tumor', 'tumor', 'NN', 'B-NP', 'O')
('sites,', 'sites,', 'NN', 'I-NP', 'O')
('32.5%', '32.5%', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('gingiva', 'gingiva', 'NN', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('early', 'early', 'JJ', 'I-NP', 'O')
('stage', 'stage', 'NN', 'I-NP', 'O')
('while', 'while', 'IN', 'B-SBAR', 'O')
('77%', '77%', 'NN', 'B-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('advanced', 'advance', 'VBN', 'I-NP', 'O')
('group.', 'group.', 'NN', 'I-NP', 'O')
Lymph node metastasis was not observed in the early group while over 60% was in the ad      　　　　　　　　　　　　　　　　　　　　　vanced group.
('Lymph', 'Lymph', 'NN', 'B-NP', 'O')
('node', 'node', 'NN', 'I-NP', 'O')
('metastasis', 'metastasis', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('observed', 'observe', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('early', 'early', 'JJ', 'I-NP', 'O')
('group', 'group', 'NN', 'I-NP', 'O')
('while', 'while', 'IN', 'B-SBAR', 'O')
('over', 'over', 'IN', 'B-NP', 'O')
('60%', '60%', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('ad', 'ad', 'NN', 'I-NP', 'O')
('\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000vanced', '\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000vance', 'VBD', 'B-VP', 'O')
('group.', 'group.', 'NN', 'B-NP', 'O')
The primary end point was survival time.
('The', 'The', 'DT', 'B-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('end', 'end', 'NN', 'I-NP', 'O')
('point', 'point', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('survival', 'survival', 'NN', 'B-NP', 'O')
('time.', 'time.', 'NN', 'I-NP', 'O')
The freesurvival interval was defined as the time between the date of surgery to the last visit or the date when the patient died.
('The', 'The', 'DT', 'B-NP', 'O')
('freesurvival', 'freesurvival', 'NN', 'I-NP', 'O')
('interval', 'interval', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('time', 'time', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('date', 'date', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('surgery', 'surgery', 'NN', 'B-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('last', 'last', 'JJ', 'I-NP', 'O')
('visit', 'visit', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('date', 'date', 'NN', 'I-NP', 'O')
('when', 'when', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('patient', 'patient', 'NN', 'I-NP', 'O')
('died.', 'died.', 'NN', 'I-NP', 'O')
Univariate and multivariate analyses were carried out to identify the characteristics associated with survival.
('Univariate', 'Univariate', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('multivariate', 'multivariate', 'JJ', 'I-NP', 'O')
('analyses', 'analysis', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('carried', 'carry', 'VBN', 'I-VP', 'O')
('out', 'out', 'RP', 'B-PRT', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('identify', 'identify', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('characteristics', 'characteristic', 'NNS', 'I-NP', 'O')
('associated', 'associate', 'VBN', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('survival.', 'survival.', 'NN', 'B-NP', 'O')
Table 2 shows the results of the univariate and multivariate Cox regression analysis for the whole dataset.
('Table', 'Table', 'JJ', 'B-NP', 'B-protein')
('2', '2', 'CD', 'I-NP', 'I-protein')
('shows', 'show', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('univariate', 'univariate', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('multivariate', 'multivariate', 'JJ', 'I-NP', 'O')
('Cox', 'Cox', 'NNP', 'I-NP', 'O')
('regression', 'regression', 'NN', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('whole', 'whole', 'JJ', 'I-NP', 'O')
('dataset.', 'dataset.', 'NN', 'I-NP', 'O')
P stage and LN metastasis were significant factors in the univariate analysis and no significant factors were identified in the multivariate analysis.
('P', 'P', 'NN', 'B-NP', 'O')
('stage', 'stage', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('LN', 'LN', 'NN', 'B-NP', 'O')
('metastasis', 'metastasis', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('significant', 'significant', 'JJ', 'B-NP', 'O')
('factors', 'factor', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('univariate', 'univariate', 'JJ', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('no', 'no', 'DT', 'B-NP', 'O')
('significant', 'significant', 'JJ', 'I-NP', 'O')
('factors', 'factor', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('identified', 'identify', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('multivariate', 'multivariate', 'JJ', 'I-NP', 'O')
('analysis.', 'analysis.', 'NN', 'I-NP', 'O')
Therefore, it would be desirable to construct a predictive model separately using the P stage.
('Therefore,', 'Therefore,', 'IN', 'B-SBAR', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('would', 'would', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('desirable', 'desirable', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('construct', 'construct', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('predictive', 'predictive', 'JJ', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('separately', 'separately', 'RB', 'B-VP', 'O')
('using', 'use', 'VBG', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('P', 'P', 'NN', 'I-NP', 'O')
('stage.', 'stage.', 'NN', 'I-NP', 'O')
It would also be possible to construct separate models using LN metastasis, because LN metastasis was shown to be a significant factor in the univariate analysis.
('It', 'It', 'PRP', 'B-NP', 'O')
('would', 'would', 'MD', 'B-VP', 'O')
('also', 'also', 'RB', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('possible', 'possible', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('construct', 'construct', 'VB', 'I-VP', 'O')
('separate', 'separate', 'JJ', 'B-NP', 'O')
('models', 'model', 'NNS', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('LN', 'LN', 'NN', 'B-NP', 'B-protein')
('metastasis,', 'metastasis,', 'NN', 'I-NP', 'I-protein')
('because', 'because', 'IN', 'B-SBAR', 'O')
('LN', 'LN', 'NN', 'B-NP', 'O')
('metastasis', 'metastasis', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('shown', 'show', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('significant', 'significant', 'JJ', 'I-NP', 'O')
('factor', 'factor', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('univariate', 'univariate', 'JJ', 'I-NP', 'O')
('analysis.', 'analysis.', 'NN', 'I-NP', 'O')
To explore the association of p53 expression with other clinical factors, a chisquare test was performed.
('To', 'To', 'TO', 'B-VP', 'O')
('explore', 'explore', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('p53', 'p53', 'NN', 'B-NP', 'B-protein')
('expression', 'expression', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('clinical', 'clinical', 'JJ', 'I-NP', 'O')
('factors,', 'factors,', 'NN', 'I-NP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('chisquare', 'chisquare', 'NN', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('performed.', 'performed.', 'VBN', 'I-VP', 'O')
The results were summarized in Table 3.
('The', 'The', 'DT', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('summarized', 'summarize', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Table', 'Table', 'JJ', 'B-NP', 'O')
('3.', '3.', 'LS', 'O', 'O')
