Gene Expression Analysis for Statin-induced Cytotoxicity from Rat Primary Hepatocytes.
('Gene', 'Gene', 'NN', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('purchased', 'purchase', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('Sequoia', 'Sequoia', 'NNP', 'B-NP', 'O')
('Research', 'Research', 'NNP', 'I-NP', 'O')
('Product', 'Product', 'NNP', 'I-NP', 'O')
('(Pangbourne,', '(Pangbourne,', 'NNP', 'I-NP', 'O')
('UK).', 'UK).', 'NNP', 'I-NP', 'O')
The cells were treated with the drugs at designated concentrations (EC, 1/25 of LC20, 1/5 of LC20 and LC20) for 24 hours and lysed with lysis buffer (Invitrogen).
('The', 'The', 'DT', 'B-NP', 'O')
('cells', 'cell', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('treated', 'treat', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('drugs', 'drug', 'NNS', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('designated', 'designate', 'VBN', 'B-NP', 'O')
('concentrations', 'concentration', 'NNS', 'I-NP', 'O')
('(EC,', '(EC,', 'IN', 'B-PP', 'O')
('1/25', '1/25', 'CD', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('LC20,', 'LC20,', 'NN', 'B-NP', 'B-protein')
('1/5', '1/5', 'CD', 'I-NP', 'I-protein')
('of', 'of', 'IN', 'B-PP', 'O')
('LC20', 'LC20', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('LC20)', 'LC20)', 'NN', 'I-NP', 'B-protein')
('for', 'for', 'IN', 'B-PP', 'O')
('24', '24', 'CD', 'B-NP', 'O')
('hours', 'hour', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('lysed', 'lyse', 'VBN', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('lysis', 'lysis', 'NN', 'B-NP', 'O')
('buffer', 'buffer', 'NN', 'I-NP', 'O')
('(Invitrogen).', '(Invitrogen).', 'NNP', 'B-NP', 'O')
The RNAs were extracted using easyspinTM Total RNA Extraction Kit (Invitrogen).
('The', 'The', 'DT', 'B-NP', 'O')
('RNAs', 'RNA', 'NNS', 'I-NP', 'B-RNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('extracted', 'extract', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('easyspinTM', 'easyspinTM', 'NNP', 'B-NP', 'B-RNA')
('Total', 'Total', 'NNP', 'I-NP', 'I-RNA')
('RNA', 'RNA', 'NNP', 'I-NP', 'I-RNA')
('Extraction', 'Extraction', 'NNP', 'I-NP', 'O')
('Kit', 'Kit', 'NNP', 'I-NP', 'O')
('(Invitrogen).', '(Invitrogen).', 'NNP', 'I-NP', 'O')
Extracted RNAs were quantified with spectrophotometer (NanoDrop ND1000, Rockland, DE, USA), and their purity was estimated by ratio of optical density at 230/260 nm and 260/280 nm of wavelength.
('Extracted', 'Extract', 'VBN', 'B-NP', 'B-RNA')
('RNAs', 'RNA', 'NNS', 'I-NP', 'I-RNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('quantified', 'quantify', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('spectrophotometer', 'spectrophotometer', 'NN', 'B-NP', 'O')
('(NanoDrop', '(NanoDrop', 'NNP', 'I-NP', 'O')
('ND1000,', 'ND1000,', 'NNP', 'I-NP', 'O')
('Rockland,', 'Rockland,', 'NNP', 'I-NP', 'O')
('DE,', 'DE,', 'NNP', 'I-NP', 'O')
('USA),', 'USA),', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('purity', 'purity', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('estimated', 'estimate', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('ratio', 'ratio', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('optical', 'optical', 'JJ', 'B-NP', 'O')
('density', 'density', 'NN', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('230/260', '230/260', 'CD', 'B-NP', 'O')
('nm', 'nm', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('260/280', '260/280', 'CD', 'B-NP', 'O')
('nm', 'nm', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('wavelength.', 'wavelength.', 'NN', 'B-NP', 'O')
Rat Genome 230 2.0 GeneChips (Affymetrix, USA) were used to profile gene expression modulation caused by statins in this experiment.
('Rat', 'Rat', 'NN', 'B-NP', 'O')
('Genome', 'Genome', 'NN', 'I-NP', 'O')
('230', '230', 'CD', 'I-NP', 'O')
('2.0', '2.0', 'CD', 'I-NP', 'O')
('GeneChips', 'GeneChips', 'NNP', 'I-NP', 'O')
('(Affymetrix,', '(Affymetrix,', 'NNP', 'I-NP', 'O')
('USA)', 'USA)', 'NNP', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('profile', 'profile', 'VB', 'I-VP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('modulation', 'modulation', 'NN', 'I-NP', 'O')
('caused', 'cause', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('statins', 'statin', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('experiment.', 'experiment.', 'NN', 'I-NP', 'O')
All procedures were followed by the manufacturer’s protocol described in elsewhere (Ahn et al., 2009).
('All', 'All', 'DT', 'B-NP', 'O')
('procedures', 'procedure', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('followed', 'follow', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('manufacturer’s', 'manufacturer’', 'NNS', 'I-NP', 'O')
('protocol', 'protocol', 'NN', 'I-NP', 'O')
('described', 'describe', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('elsewhere', 'elsewhere', 'RB', 'B-NP', 'O')
('(Ahn', '(Ahn', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2009).', '2009).', 'CD', 'B-NP', 'O')
In short, the first and second strand cDNAs were synthesized using OneCycle cDNA Synthesis Kit 1 and Sample Cleanup Module 1.  cRNAs were transcribed from the synthesized cDNA by In Vitro Transcription (IVT) Labeling Kit 1, and fragmented in 5X fragmentation buffer at 94oC for 35 min.
('In', 'In', 'IN', 'B-PP', 'O')
('short,', 'short,', 'NN', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('first', 'first', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('second', 'second', 'JJ', 'I-NP', 'O')
('strand', 'strand', 'NN', 'I-NP', 'O')
('cDNAs', 'cDNA', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('synthesized', 'synthesize', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('OneCycle', 'OneCycle', 'NN', 'B-NP', 'O')
('cDNA', 'cDNA', 'NN', 'I-NP', 'O')
('Synthesis', 'Synthesis', 'NN', 'I-NP', 'O')
('Kit', 'Kit', 'NN', 'I-NP', 'O')
('1', '1', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Sample', 'Sample', 'NNP', 'B-NP', 'O')
('Cleanup', 'Cleanup', 'NNP', 'I-NP', 'O')
('Module', 'Module', 'NNP', 'I-NP', 'O')
('1.', '1.', 'CD', 'I-NP', 'O')
('cRNAs', 'cRNA', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('transcribed', 'transcribe', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('synthesized', 'synthesize', 'VBN', 'I-NP', 'O')
('cDNA', 'cDNA', 'NN', 'I-NP', 'B-DNA')
('by', 'by', 'IN', 'B-PP', 'O')
('In', 'In', 'IN', 'B-PP', 'O')
('Vitro', 'Vitro', 'NNP', 'B-NP', 'O')
('Transcription', 'Transcription', 'NNP', 'I-NP', 'O')
('(IVT)', '(IVT)', 'NNP', 'I-NP', 'O')
('Labeling', 'Labeling', 'NNP', 'I-NP', 'O')
('Kit', 'Kit', 'NNP', 'I-NP', 'O')
('1,', '1,', '1,', 'B-ADJP', 'O')
('and', 'and', 'CC', 'O', 'O')
('fragmented', 'fragment', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('5X', '5X', 'NN', 'B-NP', 'O')
('fragmentation', 'fragmentation', 'NN', 'I-NP', 'O')
('buffer', 'buffer', 'NN', 'I-NP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('94oC', '94oC', 'NN', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('35', '35', 'CD', 'B-NP', 'O')
('min.', 'min.', 'NN', 'I-NP', 'O')
The fragmented cRNAs were hybridized in the gene chips using Hybridization Control Kit 1, and incubated at 45oC for 16 hours.
('The', 'The', 'DT', 'B-NP', 'O')
('fragmented', 'fragmented', 'JJ', 'I-NP', 'O')
('cRNAs', 'cRNA', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('hybridized', 'hybridize', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('chips', 'chip', 'NNS', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('Hybridization', 'Hybridization', 'NN', 'B-NP', 'O')
('Control', 'Control', 'NN', 'I-NP', 'O')
('Kit', 'Kit', 'NN', 'I-NP', 'O')
('1,', '1,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('incubated', 'incubate', 'VBN', 'B-VP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('45oC', '45oC', 'NN', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('16', '16', 'CD', 'B-NP', 'O')
('hours.', 'hours.', 'NNS', 'I-NP', 'O')
Then the chips were washed and scanned using Affymetrix GeneChip Scanner.
('Then', 'Then', 'RB', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('chips', 'chip', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('washed', 'wash', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('scanned', 'scan', 'VBN', 'B-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('Affymetrix', 'Affymetrix', 'NNP', 'B-NP', 'O')
('GeneChip', 'GeneChip', 'NNP', 'I-NP', 'O')
('Scanner.', 'Scanner.', 'NNP', 'I-NP', 'O')
The microarray data were uploaded to Genplex 3.0 program (Istech, Korea) and normalized with MAS5, Global & scale method recommended by Affymetrix.
('The', 'The', 'DT', 'B-NP', 'O')
('microarray', 'microarray', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('uploaded', 'uploade', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('Genplex', 'Genplex', 'NNP', 'B-NP', 'O')
('3.0', '3.0', 'CD', 'I-NP', 'O')
('program', 'program', 'NN', 'I-NP', 'O')
('(Istech,', '(Istech,', 'NN', 'I-NP', 'O')
('Korea)', 'Korea)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('normalized', 'normalize', 'VBD', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('MAS5,', 'MAS5,', 'NNP', 'B-NP', 'O')
('Global', 'Global', 'NNP', 'I-NP', 'O')
('&', '&', 'CC', 'I-NP', 'O')
('scale', 'scale', 'NN', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('recommended', 'recommend', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('Affymetrix.', 'Affymetrix.', 'NNP', 'B-NP', 'O')
Further statistical analyses were mainly performed using tools provided by Genplex program.
('Further', 'Further', 'JJ', 'B-NP', 'O')
('statistical', 'statistical', 'JJ', 'I-NP', 'O')
('analyses', 'analysis', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('mainly', 'mainly', 'RB', 'I-VP', 'O')
('performed', 'perform', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('tools', 'tool', 'NNS', 'B-NP', 'O')
('provided', 'provide', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('Genplex', 'Genplex', 'NN', 'B-NP', 'O')
('program.', 'program.', 'NN', 'I-NP', 'O')
20We treated rat primary hepatocytes with variety of concentration of test compounds, cerivastatin, simvastatin and lovastatin for 24 h to monitor their effects on cell viability using MTT assay.
('20We', '20We', 'PRP', 'B-NP', 'O')
('treated', 'treat', 'VBN', 'B-VP', 'O')
('rat', 'rat', 'NN', 'B-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('hepatocytes', 'hepatocyte', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('variety', 'variety', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('concentration', 'concentration', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('test', 'test', 'NN', 'B-NP', 'B-protein')
('compounds,', 'compounds,', 'NN', 'I-NP', 'I-protein')
('cerivastatin,', 'cerivastatin,', 'NN', 'I-NP', 'I-protein')
('simvastatin', 'simvastatin', 'NN', 'I-NP', 'I-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('lovastatin', 'lovastatin', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('24', '24', 'CD', 'B-NP', 'O')
('h', 'h', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('monitor', 'monitor', 'VB', 'I-VP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('effects', 'effect', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('cell', 'cell', 'NN', 'B-NP', 'O')
('viability', 'viability', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('MTT', 'MTT', 'NN', 'B-NP', 'O')
('assay.', 'assay.', 'NN', 'I-NP', 'O')
Cerivastatin, simvastatin and lovastatin showed significant cell death and revealed very typical viability curves with dosedependent manner (Fig.
('Cerivastatin,', 'Cerivastatin,', 'NN', 'B-NP', 'B-protein')
('simvastatin', 'simvastatin', 'NN', 'I-NP', 'I-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('lovastatin', 'lovastatin', 'NN', 'I-NP', 'O')
('showed', 'show', 'VBD', 'B-VP', 'O')
('significant', 'significant', 'JJ', 'B-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('death', 'death', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('revealed', 'reveal', 'VBD', 'B-VP', 'O')
('very', 'very', 'RB', 'B-NP', 'O')
('typical', 'typical', 'JJ', 'I-NP', 'O')
('viability', 'viability', 'NN', 'I-NP', 'O')
('curves', 'curve', 'NNS', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('dosedependent', 'dosedependent', 'JJ', 'B-NP', 'O')
('manner', 'manner', 'NN', 'I-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
1).
('1).', '1).', 'LS', 'B-LST', 'O')
The LC20 for each drug were determined as 160μM, 120μM and 200μM respectively.
('The', 'The', 'DT', 'B-NP', 'O')
('LC20', 'LC20', 'NN', 'I-NP', 'B-protein')
('for', 'for', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('drug', 'drug', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('determined', 'determine', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('160μM,', '160μM,', 'NN', 'B-NP', 'O')
('120μM', '120μM', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('200μM', '200μM', 'NN', 'B-NP', 'O')
('respectively.', 'respectively.', 'NN', 'I-NP', 'O')
Cell viability test revealed that simvastatin caused more cytotoxicity than cerivastatin and lovastatin in rat primary hepatocytes.
('Cell', 'Cell', 'NN', 'B-NP', 'O')
('viability', 'viability', 'NN', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('revealed', 'reveal', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('simvastatin', 'simvastatin', 'NN', 'B-NP', 'O')
('caused', 'cause', 'VBD', 'B-VP', 'O')
('more', 'more', 'JJR', 'B-NP', 'O')
('cytotoxicity', 'cytotoxicity', 'NN', 'I-NP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('cerivastatin', 'cerivastatin', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('lovastatin', 'lovastatin', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('rat', 'rat', 'NN', 'B-NP', 'O')
('primary', 'primary', 'JJ', 'I-NP', 'O')
('hepatocytes.', 'hepatocytes.', 'NN', 'I-NP', 'O')
This observation was further confirmed by other cell viability assay using HepG2 cells (data not shown)   where simvastatin also showed higher cytotoxicity than other two statins.
('This', 'This', 'DT', 'B-NP', 'O')
('observation', 'observation', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('further', 'further', 'RBR', 'I-VP', 'O')
('confirmed', 'confirm', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('viability', 'viability', 'NN', 'I-NP', 'O')
('assay', 'assay', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('HepG2', 'HepG2', 'NN', 'B-NP', 'B-cell_line')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_line')
('(data', '(data', 'VBP', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('shown)', 'shown)', 'VB', 'I-VP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('simvastatin', 'simvastatin', 'NN', 'B-NP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('showed', 'show', 'VBD', 'B-VP', 'O')
('higher', 'high', 'JJR', 'B-NP', 'O')
('cytotoxicity', 'cytotoxicity', 'NN', 'I-NP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('statins.', 'statins.', 'NNS', 'I-NP', 'O')
These in vitro observations could not explain or reflect exactly what happens in clinical use of statins but still may arouse a question concerning liver toxicity induced by high dose of statins (Bolego, et al., 2002).
('These', 'These', 'DT', 'B-NP', 'O')
('in', 'in', 'FW', 'I-NP', 'O')
('vitro', 'vitro', 'FW', 'I-NP', 'O')
('observations', 'observation', 'NNS', 'I-NP', 'O')
('could', 'could', 'MD', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('explain', 'explain', 'VB', 'I-VP', 'O')
('or', 'or', 'CC', 'I-VP', 'O')
('reflect', 'reflect', 'VB', 'I-VP', 'O')
('exactly', 'exactly', 'RB', 'B-NP', 'O')
('what', 'what', 'WP', 'I-NP', 'O')
('happens', 'happen', 'VBZ', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('clinical', 'clinical', 'JJ', 'B-NP', 'O')
('use', 'use', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('statins', 'statin', 'NNS', 'B-NP', 'O')
('but', 'but', 'CC', 'O', 'O')
('still', 'still', 'RB', 'B-VP', 'O')
('may', 'may', 'MD', 'I-VP', 'O')
('arouse', 'arouse', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('question', 'question', 'NN', 'I-NP', 'O')
('concerning', 'concerning', 'NN', 'I-NP', 'O')
('liver', 'liver', 'NN', 'I-NP', 'O')
('toxicity', 'toxicity', 'NN', 'I-NP', 'O')
('induced', 'induce', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('high', 'high', 'JJ', 'B-NP', 'O')
('dose', 'dose', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('statins', 'statin', 'NNS', 'B-NP', 'O')
('(Bolego,', '(Bolego,', 'NNP', 'I-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2002).', '2002).', 'CD', 'B-NP', 'O')
Based on the cell viability test and bibliographical searches, the concentrations of drugs for the experiment were set at 1/25 fold of LC20, 1/5 fold of LC20 and LC20.
('Based', 'Base', 'VBN', 'B-PP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('viability', 'viability', 'NN', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('bibliographical', 'bibliographical', 'JJ', 'B-NP', 'O')
('searches,', 'searches,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('concentrations', 'concentration', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('drugs', 'drug', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('experiment', 'experiment', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('set', 'set', 'VBN', 'I-VP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('1/25', '1/25', 'CD', 'B-NP', 'O')
('fold', 'fold', 'RB', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('LC20,', 'LC20,', 'NN', 'B-NP', 'B-protein')
('1/5', '1/5', 'CD', 'I-NP', 'I-protein')
('fold', 'fold', 'RB', 'B-ADVP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('LC20', 'LC20', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('LC20.', 'LC20.', 'NN', 'I-NP', 'B-protein')
An additional concentration (0.5 μM) was added to the experiment to monitor the expression of genes which are related to the drug efficacy.
('An', 'An', 'DT', 'B-NP', 'O')
('additional', 'additional', 'JJ', 'I-NP', 'O')
('concentration', 'concentration', 'NN', 'I-NP', 'O')
('(0.5', '(0.5', 'CD', 'I-NP', 'O')
('μM)', 'μM)', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('added', 'add', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('experiment', 'experiment', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('monitor', 'monitor', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('related', 'relate', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('drug', 'drug', 'NN', 'I-NP', 'O')
('efficacy.', 'efficacy.', 'NN', 'I-NP', 'O')
Using four different drug concentrations and an untreated control, the effect of statins on gene expression in rat primary hepatocytes was assessed by microarray experiments.
('Using', 'Use', 'VBG', 'B-VP', 'O')
('four', 'four', 'CD', 'B-NP', 'O')
('different', 'different', 'JJ', 'I-NP', 'O')
('drug', 'drug', 'NN', 'I-NP', 'O')
('concentrations', 'concentration', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('untreated', 'untreated', 'JJ', 'I-NP', 'O')
('control,', 'control,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('effect', 'effect', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('statins', 'statin', 'NNS', 'B-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('rat', 'rat', 'NN', 'B-NP', 'B-cell_type')
('primary', 'primary', 'JJ', 'I-NP', 'I-cell_type')
('hepatocytes', 'hepatocyte', 'NNS', 'I-NP', 'I-cell_type')
('was', 'be', 'VBD', 'B-VP', 'O')
('assessed', 'assess', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('experiments.', 'experiments.', 'NNS', 'I-NP', 'O')
Gene expression pattern of each drug was analyzed by Oneway ANOVA (p value ＜0.05) with multiple test correction (BenjaminiHochberg FDR) and showed 6,923, 2,688 and 4,383 genes significantly modulated at least one dose point of cerivastatin, lovastatin and simvastatin treatment, respectively.
('Gene', 'Gene', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('pattern', 'pattern', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('drug', 'drug', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('analyzed', 'analyze', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('Oneway', 'Oneway', 'NNP', 'B-NP', 'O')
('ANOVA', 'ANOVA', 'NNP', 'I-NP', 'O')
('(p', '(p', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('＜0.05)', '＜0.05)', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('multiple', 'multiple', 'JJ', 'B-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('correction', 'correction', 'NN', 'I-NP', 'O')
('(BenjaminiHochberg', '(BenjaminiHochberg', 'NN', 'I-NP', 'O')
('FDR)', 'FDR)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('showed', 'show', 'VBD', 'B-VP', 'O')
('6,923,', '6,923,', 'CD', 'B-NP', 'O')
('2,688', '2,688', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('4,383', '4,383', 'CD', 'I-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('significantly', 'significantly', 'RB', 'B-ADVP', 'O')
