ORF Miner: a Web-based ORF Search Tool.
('ORF', 'ORF', 'NN', 'B-NP', 'B-DNA')
c.  Use foreach loop to scan the DNA sequence for start and stop codons in each of the six reading frames on both strands using pattern matching (regular expressions).
('c.', 'c.', 'LS', 'B-NP', 'O')
('Use', 'Use', 'NNP', 'I-NP', 'O')
('foreach', 'foreach', 'NN', 'I-NP', 'O')
('loop', 'loop', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('scan', 'scan', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('DNA', 'DNA', 'NN', 'I-NP', 'B-DNA')
('sequence', 'sequence', 'NN', 'I-NP', 'I-DNA')
('for', 'for', 'IN', 'B-PP', 'O')
('start', 'start', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('stop', 'stop', 'VB', 'B-VP', 'O')
('codons', 'codon', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('six', 'six', 'CD', 'I-NP', 'O')
('reading', 'reading', 'NN', 'I-NP', 'O')
('frames', 'frame', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('both', 'both', 'DT', 'B-NP', 'O')
('strands', 'strand', 'NNS', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('pattern', 'pattern', 'NN', 'B-NP', 'O')
('matching', 'match', 'VBG', 'B-VP', 'O')
('(regular', '(regular', 'JJ', 'B-NP', 'O')
('expressions).', 'expressions).', 'NN', 'I-NP', 'O')
Start and stops codons are defined by the genetic code specified by the user.
('Start', 'Start', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('stops', 'stop', 'NNS', 'I-NP', 'O')
('codons', 'codon', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('code', 'code', 'NN', 'I-NP', 'O')
('specified', 'specify', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('user.', 'user.', 'NN', 'I-NP', 'O')
d.  Store the coordinate, nucleotide sequence and translated protein sequence of the detected ORF of length higher than or equal to “minimum OFR length” value into a hashing table (an associative array) for corresponding reading frame.
('d.', 'd.', 'LS', 'B-LST', 'O')
('Store', 'Store', 'NNP', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('coordinate,', 'coordinate,', 'NN', 'I-NP', 'B-DNA')
('nucleotide', 'nucleotide', 'NN', 'I-NP', 'I-DNA')
('sequence', 'sequence', 'NN', 'I-NP', 'I-DNA')
('and', 'and', 'CC', 'O', 'O')
('translated', 'translate', 'VBN', 'B-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('detected', 'detect', 'VBN', 'I-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'B-DNA')
('of', 'of', 'IN', 'B-PP', 'O')
('length', 'length', 'NN', 'B-NP', 'O')
('higher', 'high', 'JJR', 'B-ADJP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('or', 'or', 'CC', 'O', 'O')
('equal', 'equal', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('“minimum', '“minimum', 'JJ', 'B-NP', 'O')
('OFR', 'OFR', 'NN', 'I-NP', 'O')
('length”', 'length”', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('hashing', 'hash', 'VBG', 'I-NP', 'O')
('table', 'table', 'NN', 'I-NP', 'O')
('(an', '(an', 'NN', 'I-NP', 'O')
('associative', 'associative', 'JJ', 'I-NP', 'O')
('array)', 'array)', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('corresponding', 'correspond', 'VBG', 'B-VP', 'O')
('reading', 'reading', 'NN', 'B-NP', 'O')
('frame.', 'frame.', 'NN', 'I-NP', 'O')
e.  Draw a figure with GD library, which displays the relative positions of all detected ORFs and report a list of ORFs.
('e.', 'e.', 'LS', 'B-LST', 'O')
('Draw', 'Draw', ':', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('figure', 'figure', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('GD', 'GD', 'NN', 'B-NP', 'O')
('library,', 'library,', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('displays', 'display', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('relative', 'relative', 'JJ', 'I-NP', 'O')
('positions', 'position', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('detected', 'detect', 'VBN', 'I-NP', 'O')
('ORFs', 'ORF', 'NNS', 'I-NP', 'B-DNA')
('and', 'and', 'CC', 'O', 'O')
('report', 'report', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('list', 'list', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('ORFs.', 'ORFs.', 'NN', 'B-NP', 'B-DNA')
The analysis output looks like the one in Fig.
('The', 'The', 'DT', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('output', 'output', 'NN', 'I-NP', 'O')
('looks', 'look', 'VBZ', 'B-VP', 'O')
('like', 'like', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('one', 'one', 'CD', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('Fig.', 'Fig.', 'NNP', 'B-NP', 'O')
3.
('3.', '3.', 'LS', 'B-LST', 'O')
The upper part of the analysis output contains the figure drawn up with GD library.
('The', 'The', 'DT', 'B-NP', 'O')
('upper', 'upper', 'JJ', 'I-NP', 'O')
('part', 'part', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('output', 'output', 'NN', 'I-NP', 'O')
('contains', 'contain', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('figure', 'figure', 'NN', 'I-NP', 'O')
('drawn', 'draw', 'VBN', 'B-VP', 'O')
('up', 'up', 'RP', 'B-PRT', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('GD', 'GD', 'NN', 'B-NP', 'O')
('library.', 'library.', 'NN', 'I-NP', 'O')
It has both shaded and unshaded portions.
('It', 'It', 'PRP', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('both', 'both', 'CC', 'I-VP', 'O')
('shaded', 'shade', 'VBN', 'I-VP', 'O')
('and', 'and', 'CC', 'O', 'O')
('unshaded', 'unshaded', 'JJ', 'B-NP', 'O')
('portions.', 'portions.', 'NN', 'I-NP', 'O')
The shaded portions correspond to ORFs.
('The', 'The', 'DT', 'B-NP', 'O')
('shaded', 'shaded', 'JJ', 'I-NP', 'O')
('portions', 'portion', 'NNS', 'I-NP', 'O')
('correspond', 'correspond', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('ORFs.', 'ORFs.', 'VB', 'I-VP', 'O')
A list of all detected ORFs is displayed as a FASTA format under the output figure.
('A', 'A', 'DT', 'B-NP', 'O')
('list', 'list', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('detected', 'detect', 'VBN', 'I-NP', 'O')
('ORFs', 'ORF', 'NNS', 'I-NP', 'B-DNA')
('is', 'be', 'VBZ', 'B-VP', 'O')
('displayed', 'display', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('FASTA', 'FASTA', 'NN', 'I-NP', 'O')
('format', 'format', 'NN', 'I-NP', 'O')
('under', 'under', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('output', 'output', 'NN', 'I-NP', 'O')
('figure.', 'figure.', 'NN', 'I-NP', 'O')
In the analysis output, (1), (2), and (3) refer to the first, the second, and the third reading frame of the forward strand respectively and (1), (2), and (3) refer to corresponding reading frame of the reverse strand.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('output,', 'output,', 'NN', 'I-NP', 'O')
('(1),', '(1),', 'NN', 'I-NP', 'O')
('(2),', '(2),', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('(3)', '(3)', 'LS', 'B-NP', 'O')
('refer', 'refer', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('first,', 'first,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('second,', 'second,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('third', 'third', 'JJ', 'I-NP', 'O')
('reading', 'reading', 'NN', 'I-NP', 'O')
('frame', 'frame', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('forward', 'forward', 'JJ', 'I-NP', 'O')
('strand', 'strand', 'NN', 'I-NP', 'O')
('respectively', 'respectively', 'RB', 'B-ADVP', 'O')
('and', 'and', 'CC', 'O', 'O')
('(1),', '(1),', 'LS', 'B-LST', 'O')
('(2),', '(2),', 'LS', 'B-LST', 'O')
('and', 'and', 'CC', 'O', 'O')
('(3)', '(3)', 'LS', 'B-NP', 'O')
('refer', 'refer', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('corresponding', 'correspond', 'VBG', 'B-VP', 'O')
('reading', 'read', 'VBG', 'B-NP', 'O')
('frame', 'frame', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('reverse', 'reverse', 'NN', 'I-NP', 'O')
('strand.', 'strand.', 'NN', 'I-NP', 'O')
The symbols (+) and () indicate forward strand and the reverse strand respectively.
('The', 'The', 'DT', 'B-NP', 'O')
('symbols', 'symbol', 'NNS', 'I-NP', 'O')
('(+)', '(+)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('()', '()', 'LS', 'B-NP', 'O')
('indicate', 'indicate', 'VBP', 'B-VP', 'O')
('forward', 'forward', 'JJ', 'B-NP', 'O')
('strand', 'strand', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('reverse', 'reverse', 'JJ', 'I-NP', 'O')
('strand', 'strand', 'NN', 'I-NP', 'O')
('respectively.', 'respectively.', 'NN', 'I-NP', 'O')
The ORFs less than “minimum ORF length” value will not be shown in the analysis output.
('The', 'The', 'DT', 'B-NP', 'O')
('ORFs', 'ORF', 'NNS', 'I-NP', 'B-DNA')
('less', 'less', 'JJR', 'B-ADJP', 'O')
('than', 'than', 'IN', 'B-PP', 'O')
('“minimum', '“minimum', 'JJ', 'B-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'O')
('length”', 'length”', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('shown', 'show', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('output.', 'output.', 'NN', 'I-NP', 'O')
The comment line in a FASTA format in a list of ORFs provides useful information on each ORF, including reading frame, strand, coordinate (start, end), and length.
('The', 'The', 'DT', 'B-NP', 'O')
('comment', 'comment', 'NN', 'I-NP', 'O')
('line', 'line', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('FASTA', 'FASTA', 'NN', 'I-NP', 'O')
('format', 'format', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('list', 'list', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('ORFs', 'ORF', 'NNS', 'B-NP', 'B-DNA')
('provides', 'provide', 'VBZ', 'B-VP', 'O')
('useful', 'useful', 'JJ', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('ORF,', 'ORF,', 'NN', 'I-NP', 'B-DNA')
('including', 'include', 'VBG', 'B-PP', 'O')
('reading', 'read', 'VBG', 'B-VP', 'O')
('frame,', 'frame,', 'NN', 'B-NP', 'O')
('strand,', 'strand,', 'NN', 'I-NP', 'O')
('coordinate', 'coordinate', 'NN', 'I-NP', 'O')
('(start,', '(start,', 'VBD', 'B-VP', 'O')
('end),', 'end),', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('length.', 'length.', 'NN', 'I-NP', 'O')
The ORF Miner is a graphical analysis utility which de  termines all possible open reading frames of a selectable minimum size in an input sequence.
('The', 'The', 'DT', 'B-NP', 'O')
('ORF', 'ORF', 'NNP', 'I-NP', 'B-DNA')
('Miner', 'Miner', 'NNP', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('graphical', 'graphical', 'JJ', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('utility', 'utility', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('de', 'de', 'VBP', 'B-VP', 'O')
('termines', 'termine', 'VBZ', 'B-VP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('possible', 'possible', 'JJ', 'I-NP', 'O')
('open', 'open', 'JJ', 'I-NP', 'B-DNA')
('reading', 'reading', 'NN', 'I-NP', 'I-DNA')
('frames', 'frame', 'NNS', 'I-NP', 'I-DNA')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('selectable', 'selectable', 'JJ', 'I-NP', 'O')
('minimum', 'minimum', 'JJ', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('input', 'input', 'NN', 'I-NP', 'O')
('sequence.', 'sequence.', 'NN', 'I-NP', 'O')
This tool identifies all open reading frames using alternative genetic codes as well as the standard one and reports a list of ORFs with corresponding deduced amino acid sequences.
('This', 'This', 'DT', 'B-NP', 'O')
('tool', 'tool', 'NN', 'I-NP', 'O')
('identifies', 'identify', 'VBZ', 'B-VP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('open', 'open', 'JJ', 'I-NP', 'B-DNA')
('reading', 'reading', 'NN', 'I-NP', 'I-DNA')
('frames', 'frame', 'NNS', 'I-NP', 'I-DNA')
('using', 'use', 'VBG', 'B-VP', 'O')
('alternative', 'alternative', 'JJ', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('codes', 'code', 'NNS', 'I-NP', 'O')
('as', 'as', 'RB', 'B-CONJP', 'O')
('well', 'well', 'RB', 'I-CONJP', 'O')
('as', 'as', 'IN', 'I-CONJP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('standard', 'standard', 'JJ', 'I-NP', 'O')
('one', 'one', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('reports', 'report', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('list', 'list', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('ORFs', 'ORF', 'NNS', 'B-NP', 'B-DNA')
('with', 'with', 'IN', 'B-PP', 'O')
('corresponding', 'correspond', 'VBG', 'B-NP', 'O')
('deduced', 'deduce', 'VBN', 'B-VP', 'O')
('amino', 'amino', 'JJ', 'B-NP', 'O')
('acid', 'acid', 'NN', 'I-NP', 'O')
('sequences.', 'sequences.', 'NNS', 'I-NP', 'O')
Having a list of ORFs provided by this tool, the end-user or the curator can contribute to rejecting unlikely ORFs and including likely ORFs for the purpose of sequence annotation and further experimental design.
('Having', 'Have', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('list', 'list', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('ORFs', 'ORF', 'NNS', 'B-NP', 'B-DNA')
('provided', 'provide', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('tool,', 'tool,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('end-user', 'end-user', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('curator', 'curator', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('contribute', 'contribute', 'VB', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('rejecting', 'reject', 'VBG', 'B-VP', 'O')
('unlikely', 'unlikely', 'JJ', 'B-NP', 'O')
('ORFs', 'ORF', 'NNS', 'I-NP', 'B-DNA')
('and', 'and', 'CC', 'O', 'O')
('including', 'include', 'VBG', 'B-PP', 'O')
('likely', 'likely', 'JJ', 'B-NP', 'O')
('ORFs', 'ORF', 'NNS', 'I-NP', 'B-DNA')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('purpose', 'purpose', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('sequence', 'sequence', 'NN', 'B-NP', 'O')
('annotation', 'annotation', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('further', 'further', 'JJ', 'B-NP', 'O')
('experimental', 'experimental', 'JJ', 'I-NP', 'O')
('design.', 'design.', 'NN', 'I-NP', 'O')
As mentioned in the introduction, this work concentrates on identifying literal ORFs based on genetic codes, not detecting which ORFs actually encode proteins.
('As', 'As', 'IN', 'B-SBAR', 'O')
('mentioned', 'mention', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('introduction,', 'introduction,', 'NN', 'I-NP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('work', 'work', 'NN', 'I-NP', 'O')
('concentrates', 'concentrate', 'VBZ', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('identifying', 'identify', 'VBG', 'B-VP', 'O')
('literal', 'literal', 'JJ', 'B-NP', 'O')
('ORFs', 'ORF', 'NNS', 'I-NP', 'B-DNA')
('based', 'base', 'VBN', 'B-PP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('genetic', 'genetic', 'JJ', 'B-NP', 'O')
('codes,', 'codes,', 'NN', 'I-NP', 'O')
('not', 'not', 'RB', 'B-VP', 'O')
('detecting', 'detect', 'VBG', 'I-VP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('ORFs', 'ORF', 'NNS', 'I-NP', 'B-DNA')
('actually', 'actually', 'RB', 'B-ADVP', 'O')
('encode', 'encode', 'VBP', 'B-VP', 'O')
('proteins.', 'proteins.', 'NNS', 'B-NP', 'O')
The latter is another work.
('The', 'The', 'DT', 'B-NP', 'O')
('latter', 'latter', 'JJ', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('another', 'another', 'DT', 'B-NP', 'O')
('work.', 'work.', 'NN', 'I-NP', 'O')
There are a number of difficulties in determining if an ORF is actually used by the organism to code for protein.
('There', 'There', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('difficulties', 'difficulty', 'NNS', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('determining', 'determine', 'VBG', 'B-VP', 'O')
('if', 'if', 'IN', 'B-SBAR', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'B-DNA')
('is', 'be', 'VBZ', 'B-VP', 'O')
('actually', 'actually', 'RB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('organism', 'organism', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('code', 'code', 'VB', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('protein.', 'protein.', 'NN', 'B-NP', 'O')
A powerful, but not often available, indication is conservation across related species.
('A', 'A', 'DT', 'B-NP', 'O')
('powerful,', 'powerful,', 'NN', 'I-NP', 'O')
('but', 'but', 'CC', 'B-PP', 'O')
('not', 'not', 'RB', 'B-ADVP', 'O')
('often', 'often', 'RB', 'I-ADVP', 'O')
('available,', 'available,', 'IN', 'B-PP', 'O')
('indication', 'indication', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('conservation', 'conservation', 'NN', 'B-NP', 'O')
('across', 'across', 'IN', 'B-PP', 'O')
('related', 'related', 'JJ', 'B-NP', 'O')
('species.', 'species.', 'NNS', 'I-NP', 'O')
In addition, some of these problems can be resolved if all the available sequence information is combined, including sequence homology, possible promoters, initiation, translation signals and transcription terminators.
('In', 'In', 'IN', 'B-PP', 'O')
('addition,', 'addition,', 'NN', 'B-NP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('problems', 'problem', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('resolved', 'resolve', 'VBN', 'I-VP', 'O')
('if', 'if', 'IN', 'B-SBAR', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('available', 'available', 'JJ', 'I-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('combined,', 'combined,', 'JJ', 'B-ADJP', 'O')
('including', 'include', 'VBG', 'B-PP', 'O')
('sequence', 'sequence', 'NN', 'B-NP', 'O')
('homology,', 'homology,', 'NN', 'I-NP', 'O')
('possible', 'possible', 'JJ', 'I-NP', 'O')
('promoters,', 'promoters,', 'NN', 'I-NP', 'O')
('initiation,', 'initiation,', 'NN', 'I-NP', 'O')
('translation', 'translation', 'NN', 'I-NP', 'O')
('signals', 'signal', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('transcription', 'transcription', 'NN', 'B-NP', 'O')
('terminators.', 'terminators.', 'NN', 'I-NP', 'O')
In this context, through further work, we will incorporate some of sequence information to facilitate users to identify which of the six frames actually encodes the protein or actual ORF among a list of ORFs.
('In', 'In', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('context,', 'context,', 'NN', 'I-NP', 'O')
('through', 'through', 'IN', 'B-PP', 'O')
('further', 'further', 'JJ', 'B-NP', 'O')
('work,', 'work,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('will', 'will', 'MD', 'B-VP', 'O')
('incorporate', 'incorporate', 'VB', 'I-VP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('sequence', 'sequence', 'NN', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('facilitate', 'facilitate', 'VB', 'I-VP', 'O')
('users', 'user', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('identify', 'identify', 'VB', 'I-VP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('six', 'six', 'CD', 'I-NP', 'O')
('frames', 'frame', 'NNS', 'I-NP', 'O')
('actually', 'actually', 'RB', 'B-ADVP', 'O')
('encodes', 'encode', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('actual', 'actual', 'JJ', 'B-NP', 'O')
('ORF', 'ORF', 'NN', 'I-NP', 'B-DNA')
('among', 'among', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('list', 'list', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('ORFs.', 'ORFs.', 'NN', 'B-NP', 'B-DNA')
