Recovery of Genes Epigenetically Altered by the Histone Deacetylase Inhibitor Scriptaid and Demethylating Agent 5-Azacytidine in Human Leukemia Cells.
('Recovery', 'Recovery', 'NN', 'B-NP', 'O')
('4,', '4,', 'CD', 'B-NP', 'O')
('Table', 'Table', 'NNP', 'I-NP', 'O')
('2).', '2).', '.', 'O', 'O')
Two hundred seventy newly developed genes were expressed (Fig.
('Two', 'Two', 'CD', 'B-NP', 'O')
('hundred', 'hundred', 'CD', 'I-NP', 'O')
('seventy', 'seventy', 'CD', 'I-NP', 'O')
('newly', 'newly', 'RB', 'B-NP', 'O')
('developed', 'develop', 'VBN', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('expressed', 'express', 'VBN', 'I-VP', 'O')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
2, Table 2).
('2,', '2,', 'CD', 'B-NP', 'O')
('Table', 'Table', 'NNP', 'I-NP', 'O')
('2).', '2).', '.', 'O', 'O')
The gene ontology biological process profile shows that of these 270 genes, 94 genes were associated with signal transduction (34.81%), 68 genes were associated with immunity and defense (25.19%), and 35 genes were associated with developmental processes (12.96%) (Fig.
('The', 'The', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('ontology', 'ontology', 'NN', 'I-NP', 'O')
('biological', 'biological', 'JJ', 'I-NP', 'O')
('process', 'process', 'NN', 'I-NP', 'O')
('profile', 'profile', 'NN', 'I-NP', 'O')
('shows', 'show', 'VBZ', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('270', '270', 'CD', 'I-NP', 'B-DNA')
('genes,', 'genes,', 'NN', 'I-NP', 'I-DNA')
('94', '94', 'CD', 'B-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('associated', 'associate', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('signal', 'signal', 'NN', 'B-NP', 'B-DNA')
('transduction', 'transduction', 'NN', 'I-NP', 'I-DNA')
('(34.81%),', '(34.81%),', 'VBD', 'B-VP', 'I-DNA')
('68', '68', 'CD', 'B-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('associated', 'associate', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('immunity', 'immunity', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('defense', 'defense', 'NN', 'I-NP', 'O')
('(25.19%),', '(25.19%),', 'CD', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('35', '35', 'CD', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('associated', 'associate', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('developmental', 'developmental', 'JJ', 'B-NP', 'O')
('processes', 'process', 'NNS', 'I-NP', 'O')
('(12.96%)', '(12.96%)', 'LS', 'B-LST', 'O')
('(Fig.', '(Fig.', '.', 'O', 'B-protein')
4, Table 2).
('4,', '4,', 'CD', 'B-NP', 'O')
('Table', 'Table', 'NNP', 'I-NP', 'O')
('2).', '2).', '.', 'O', 'O')
The gene ontology molecular function profile shows that 32 genes were associated with receptors (11.85%), 23 genes were associated with signaling molecules (8.52%), and 19 genes were associated with select regulatory molecules (7.04%) (Fig.
('The', 'The', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('ontology', 'ontology', 'NN', 'I-NP', 'O')
('molecular', 'molecular', 'JJ', 'I-NP', 'O')
('function', 'function', 'NN', 'I-NP', 'O')
('profile', 'profile', 'NN', 'I-NP', 'O')
('shows', 'show', 'VBZ', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('32', '32', 'CD', 'B-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('associated', 'associate', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('receptors', 'receptor', 'NNS', 'B-NP', 'O')
('(11.85%),', '(11.85%),', 'VBD', 'B-VP', 'B-DNA')
('23', '23', 'CD', 'B-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('associated', 'associate', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('signaling', 'signal', 'VBG', 'B-VP', 'B-protein')
('molecules', 'molecule', 'NNS', 'B-NP', 'I-protein')
('(8.52%),', '(8.52%),', 'NN', 'I-NP', 'B-DNA')
('and', 'and', 'CC', 'O', 'I-DNA')
('19', '19', 'CD', 'B-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('associated', 'associate', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('select', 'select', 'JJ', 'B-NP', 'B-protein')
('regulatory', 'regulatory', 'JJ', 'I-NP', 'I-protein')
('molecules', 'molecule', 'NNS', 'I-NP', 'I-protein')
('(7.04%)', '(7.04%)', 'LS', 'B-LST', 'O')
('(Fig.', '(Fig.', '.', 'O', 'B-protein')
5, Table 2).
('5,', '5,', 'LS', 'B-LST', 'O')
('Table', 'Table', 'NNP', 'B-NP', 'O')
('2).', '2).', '.', 'O', 'O')
We selected 13 genes that showed higher fold changes after treatment with combination therapy with 5-azacytudune and scriptaid.
('We', 'We', 'PRP', 'B-NP', 'O')
('selected', 'select', 'VBD', 'B-VP', 'O')
('13', '13', 'CD', 'B-NP', 'B-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('that', 'that', 'WDT', 'B-NP', 'O')
('showed', 'show', 'VBD', 'B-VP', 'O')
('higher', 'high', 'JJR', 'B-NP', 'O')
('fold', 'fold', 'JJ', 'I-NP', 'O')
('changes', 'change', 'NNS', 'I-NP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('treatment', 'treatment', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('combination', 'combination', 'NN', 'B-NP', 'O')
('therapy', 'therapy', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('5-azacytudune', '5-azacytudune', 'JJ', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('scriptaid.', 'scriptaid.', 'NN', 'I-NP', 'O')
HPGD, CPA3, CEACAM6, LOC653907, ETS1, RAB37, PMP22, FST, FOXC1, and CCL2 were up-regulated, and IGLL3, IGLL1, and ASS1 were down-regulated (Table 3).
('HPGD,', 'HPGD,', 'NN', 'B-NP', 'O')
('CPA3,', 'CPA3,', 'NN', 'I-NP', 'O')
('CEACAM6,', 'CEACAM6,', 'NN', 'I-NP', 'O')
('LOC653907,', 'LOC653907,', 'NN', 'I-NP', 'O')
('ETS1,', 'ETS1,', 'NN', 'I-NP', 'O')
('RAB37,', 'RAB37,', 'NN', 'I-NP', 'O')
('PMP22,', 'PMP22,', 'NN', 'I-NP', 'O')
('FST,', 'FST,', 'NN', 'I-NP', 'O')
('FOXC1,', 'FOXC1,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('CCL2', 'CCL2', 'NN', 'I-NP', 'B-protein')
('were', 'be', 'VBD', 'B-VP', 'O')
('up-regulated,', 'up-regulated,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('IGLL3,', 'IGLL3,', 'NN', 'I-NP', 'B-protein')
('IGLL1,', 'IGLL1,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('ASS1', 'ASS1', 'NN', 'I-NP', 'B-protein')
('were', 'be', 'VBD', 'B-VP', 'O')
('down-regulated', 'down-regulate', 'VBN', 'I-VP', 'O')
('(Table', '(Table', 'JJ', 'B-NP', 'O')
('3).', '3).', 'CD', 'I-NP', 'O')
Of the 270 genes, 11 genes were involved in oncogenesis: ETS1, ASCL2, BTG2, BTG1, SLAMF6, CDKN2D, RRAS, RET, GIPC1, MAGEB, and RGL4 (Fig.
('Of', 'Of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('270', '270', 'CD', 'I-NP', 'B-DNA')
('genes,', 'genes,', 'NN', 'I-NP', 'I-DNA')
('11', '11', 'CD', 'B-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('were', 'be', 'VBD', 'B-VP', 'O')
('involved', 'involve', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('oncogenesis:', 'oncogenesis:', 'NN', 'B-NP', 'O')
('ETS1,', 'ETS1,', 'NNP', 'I-NP', 'O')
('ASCL2,', 'ASCL2,', 'NNP', 'I-NP', 'O')
('BTG2,', 'BTG2,', 'NNP', 'I-NP', 'O')
('BTG1,', 'BTG1,', 'NNP', 'I-NP', 'O')
('SLAMF6,', 'SLAMF6,', 'NNP', 'I-NP', 'O')
('CDKN2D,', 'CDKN2D,', 'NNP', 'I-NP', 'O')
('RRAS,', 'RRAS,', 'NNP', 'I-NP', 'O')
('RET,', 'RET,', 'NNP', 'I-NP', 'O')
('GIPC1,', 'GIPC1,', 'NNP', 'I-NP', 'O')
('MAGEB,', 'MAGEB,', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('RGL4', 'RGL4', 'NN', 'B-NP', 'B-protein')
('(Fig.', '(Fig.', 'NN', 'I-NP', 'O')
2, Table 4).
('2,', '2,', 'CD', 'B-NP', 'O')
('Table', 'Table', 'NNP', 'I-NP', 'O')
('4).', '4).', '.', 'O', 'O')
Twenty-nine genes remained unchanged after combination treatment with 5-azacytidine and scriptaid (Fig.
('Twenty-nine', 'Twenty-nine', 'CD', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('remained', 'remain', 'VBD', 'B-VP', 'O')
('unchanged', 'unchanged', 'JJ', 'B-ADJP', 'O')
('after', 'after', 'IN', 'B-SBAR', 'O')
('combination', 'combination', 'NN', 'B-NP', 'O')
('treatment', 'treatment', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('5-azacytidine', '5-azacytidine', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('scriptaid', 'scriptaid', 'VBD', 'B-VP', 'O')
('(Fig.', '(Fig.', 'NNP', 'B-NP', 'O')
2, Table 5).
('2,', '2,', 'CD', 'B-NP', 'O')
('Table', 'Table', 'NNP', 'I-NP', 'O')
('5).', '5).', '.', 'O', 'O')
Two genes were involved in oncogenesis: CCNA1 and JUN (Fig.
('Two', 'Two', 'CD', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('involved', 'involve', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('oncogenesis:', 'oncogenesis:', 'JJ', 'B-NP', 'O')
('CCNA1', 'CCNA1', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('JUN', 'JUN', 'NNP', 'B-NP', 'O')
('(Fig.', '(Fig.', 'NNP', 'I-NP', 'O')
2, Table 5).
('2,', '2,', 'CD', 'B-NP', 'O')
('Table', 'Table', 'NNP', 'I-NP', 'O')
('5).', '5).', '.', 'O', 'O')
Demethylating agents, such as 5-azacytidine and decitabine, are actively implicated in clinical practice to improve survival and quality of life in myelodysplastic syndrome.
('Demethylating', 'Demethylate', 'VBG', 'B-VP', 'O')
('agents,', 'agents,', 'NN', 'B-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('5-azacytidine', '5-azacytidine', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('decitabine,', 'decitabine,', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('actively', 'actively', 'RB', 'I-VP', 'O')
('implicated', 'implicate', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('clinical', 'clinical', 'JJ', 'B-NP', 'O')
('practice', 'practice', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('improve', 'improve', 'VB', 'I-VP', 'O')
('survival', 'survival', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('quality', 'quality', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('life', 'life', 'NN', 'B-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('myelodysplastic', 'myelodysplastic', 'JJ', 'B-NP', 'O')
('syndrome.', 'syndrome.', 'NN', 'I-NP', 'O')
Their potential action on acute leukemia is also being studied.
('Their', 'Their', 'PRP$', 'B-NP', 'O')
('potential', 'potential', 'JJ', 'I-NP', 'O')
('action', 'action', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('acute', 'acute', 'JJ', 'B-NP', 'O')
('leukemia', 'leukemia', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('also', 'also', 'RB', 'I-VP', 'O')
('being', 'be', 'VBG', 'I-VP', 'O')
('studied.', 'studied.', 'VBN', 'I-VP', 'O')
HDACis, such as scriptaid and valproic acid, are also useful in decreasing leukemia cells (Chavez-Blanco et al., 2006).
('HDACis,', 'HDACis,', 'NN', 'B-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('scriptaid', 'scriptaid', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('valproic', 'valproic', 'JJ', 'B-NP', 'O')
('acid,', 'acid,', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('also', 'also', 'RB', 'B-ADVP', 'O')
('useful', 'useful', 'JJ', 'B-ADJP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('decreasing', 'decrease', 'VBG', 'B-VP', 'B-cell_type')
('leukemia', 'leukemia', 'NN', 'B-NP', 'I-cell_type')
('cells', 'cell', 'NNS', 'I-NP', 'I-cell_type')
('(Chavez-Blanco', '(Chavez-Blanco', 'NNP', 'B-NP', 'O')
('et', 'et', 'NN', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2006).', '2006).', 'CD', 'B-NP', 'O')
But, neither of these single agent makes clinicians satisfied as a cure for acute leukemia.
('But,', 'But,', 'CC', 'O', 'O')
('neither', 'neither', 'DT', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('single', 'single', 'JJ', 'I-NP', 'O')
('agent', 'agent', 'NN', 'I-NP', 'O')
('makes', 'make', 'VBZ', 'B-VP', 'O')
('clinicians', 'clinician', 'NNS', 'B-NP', 'O')
('satisfied', 'satisfy', 'VBN', 'B-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('cure', 'cure', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('acute', 'acute', 'JJ', 'B-NP', 'O')
('leukemia.', 'leukemia.', 'NN', 'I-NP', 'O')
There are a few studies that have combined these two epigenetic therapies to reveal silenced tumor suppressor genes.
('There', 'There', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('few', 'few', 'JJ', 'I-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('combined', 'combine', 'VBN', 'I-VP', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('epigenetic', 'epigenetic', 'JJ', 'I-NP', 'O')
('therapies', 'therapy', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('reveal', 'reveal', 'VB', 'I-VP', 'O')
('silenced', 'silenced', 'JJ', 'B-NP', 'O')
('tumor', 'tumor', 'NN', 'I-NP', 'O')
('suppressor', 'suppressor', 'NN', 'I-NP', 'O')
('genes.', 'genes.', 'NNS', 'I-NP', 'O')
The dual epigenetic therapy may induce positive or negative genetic alterations in leukemia cells, and the gene expression profile may change a lot after combining the two epigenetic therapiesa demethylating agent and an HDACi.
('The', 'The', 'DT', 'B-NP', 'O')
('dual', 'dual', 'JJ', 'I-NP', 'O')
('epigenetic', 'epigenetic', 'JJ', 'I-NP', 'O')
('therapy', 'therapy', 'NN', 'I-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('induce', 'induce', 'VB', 'I-VP', 'O')
('positive', 'positive', 'JJ', 'B-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('negative', 'negative', 'JJ', 'I-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('alterations', 'alteration', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('leukemia', 'leukemia', 'NN', 'B-NP', 'O')
('cells,', 'cells,', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('profile', 'profile', 'NN', 'I-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('change', 'change', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('lot', 'lot', 'NN', 'I-NP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('combining', 'combine', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('epigenetic', 'epigenetic', 'JJ', 'I-NP', 'O')
('therapiesa', 'therapiesa', 'NN', 'I-NP', 'O')
('demethylating', 'demethylate', 'VBG', 'B-VP', 'O')
('agent', 'agent', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('HDACi.', 'HDACi.', 'NN', 'I-NP', 'B-DNA')
There are little data on the gene expression profiles of dual epigenetic therapy so far.
('There', 'There', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('little', 'little', 'JJ', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('profiles', 'profile', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('dual', 'dual', 'JJ', 'B-NP', 'O')
('epigenetic', 'epigenetic', 'JJ', 'I-NP', 'O')
('therapy', 'therapy', 'NN', 'I-NP', 'O')
('so', 'so', 'RB', 'B-ADVP', 'O')
('far.', 'far.', 'RB', 'I-ADVP', 'O')
It is notable that over two times as many genes were newly expressed after treatment with both the demethylating agent and HDACi.
('It', 'It', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('notable', 'notable', 'JJ', 'B-ADJP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('over', 'over', 'IN', 'B-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('times', 'time', 'NNS', 'I-NP', 'O')
('as', 'as', 'IN', 'I-NP', 'O')
('many', 'many', 'JJ', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('newly', 'newly', 'RB', 'I-VP', 'O')
('expressed', 'express', 'VBN', 'I-VP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('treatment', 'treatment', 'NN', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('both', 'both', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('demethylating', 'demethylate', 'VBG', 'I-NP', 'O')
('agent', 'agent', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('HDACi.', 'HDACi.', 'NN', 'I-NP', 'O')
The newly expressed genes could work positively or negatively on leukemia cells.
('The', 'The', 'DT', 'B-NP', 'O')
('newly', 'newly', 'RB', 'I-NP', 'B-DNA')
('expressed', 'express', 'VBN', 'I-NP', 'I-DNA')
('genes', 'gene', 'NNS', 'I-NP', 'I-DNA')
('could', 'could', 'MD', 'B-VP', 'O')
('work', 'work', 'VB', 'I-VP', 'O')
('positively', 'positively', 'RB', 'B-ADVP', 'O')
('or', 'or', 'CC', 'I-ADVP', 'O')
('negatively', 'negatively', 'RB', 'I-ADVP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('leukemia', 'leukemia', 'NN', 'B-NP', 'O')
('cells.', 'cells.', 'NNS', 'I-NP', 'O')
So, before applying dual epigenetic therapy to the clinical setting, target gene information may help clinicians to understand the mechanisms of leukemogenesis and epigenetic therapy.
('So,', 'So,', 'NN', 'B-NP', 'O')
('before', 'before', 'IN', 'B-PP', 'O')
('applying', 'apply', 'VBG', 'B-VP', 'O')
('dual', 'dual', 'JJ', 'B-NP', 'O')
('epigenetic', 'epigenetic', 'JJ', 'I-NP', 'O')
('therapy', 'therapy', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('clinical', 'clinical', 'JJ', 'I-NP', 'O')
('setting,', 'setting,', 'NN', 'I-NP', 'O')
('target', 'target', 'NN', 'I-NP', 'O')
('gene', 'gene', 'NN', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('help', 'help', 'VB', 'I-VP', 'O')
('clinicians', 'clinician', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('understand', 'understand', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('mechanisms', 'mechanism', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('leukemogenesis', 'leukemogenesis', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('epigenetic', 'epigenetic', 'JJ', 'B-NP', 'O')
('therapy.', 'therapy.', 'NN', 'I-NP', 'O')
Our results show that the major portion of newly expressed genes after combination treatment with 5azacytidine and scriptaid are associated with signal transduction and immunity.
('Our', 'Our', 'PRP$', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('show', 'show', 'VBP', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('major', 'major', 'JJ', 'I-NP', 'O')
('portion', 'portion', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('newly', 'newly', 'RB', 'B-NP', 'O')
('expressed', 'express', 'VBN', 'I-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('after', 'after', 'IN', 'B-PP', 'O')
('combination', 'combination', 'NN', 'B-NP', 'O')
('treatment', 'treatment', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('5azacytidine', '5azacytidine', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('scriptaid', 'scriptaid', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('associated', 'associate', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('signal', 'signal', 'NN', 'B-NP', 'O')
('transduction', 'transduction', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('immunity.', 'immunity.', 'NN', 'B-NP', 'O')
The associated signal trans                                   duction pathways may be the key to leukemogenesis and a cure for leukemia.
('The', 'The', 'DT', 'B-NP', 'O')
('associated', 'associate', 'VBN', 'I-NP', 'O')
('signal', 'signal', 'NN', 'I-NP', 'O')
('trans', 'trans', 'NN', 'I-NP', 'O')
('duction', 'duction', 'NN', 'I-NP', 'O')
('pathways', 'pathway', 'NNS', 'I-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('key', 'key', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('leukemogenesis', 'leukemogenesis', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('cure', 'cure', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('leukemia.', 'leukemia.', 'NN', 'B-NP', 'O')
But, due to the limitations of cell line data, our results can not generate an answer yet.
('But,', 'But,', 'NN', 'B-NP', 'B-protein')
('due', 'due', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('limitations', 'limitation', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('cell', 'cell', 'NN', 'B-NP', 'B-cell_line')
('line', 'line', 'NN', 'I-NP', 'I-cell_line')
('data,', 'data,', 'VBD', 'B-VP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('generate', 'generate', 'VB', 'I-VP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('answer', 'answer', 'NN', 'I-NP', 'O')
('yet.', 'yet.', 'NN', 'I-NP', 'O')
Further clinical confirmation is needed.
('Further', 'Further', 'JJ', 'B-NP', 'O')
('clinical', 'clinical', 'JJ', 'I-NP', 'O')
('confirmation', 'confirmation', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('needed.', 'needed.', 'RB', 'B-ADVP', 'O')
HPGD, hydroxyprostaglandin dehydrogenase 15, encodes a member of the short-chain nonmetalloenzyme alcohol dehydrogenase protein family.
('HPGD,', 'HPGD,', 'NN', 'B-NP', 'B-protein')
('hydroxyprostaglandin', 'hydroxyprostaglandin', 'NN', 'I-NP', 'I-protein')
('dehydrogenase', 'dehydrogenase', 'NN', 'I-NP', 'I-protein')
('15,', '15,', 'NN', 'I-NP', 'I-protein')
('encodes', 'encode', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('member', 'member', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('short-chain', 'short-chain', 'JJ', 'I-NP', 'B-protein')
('nonmetalloenzyme', 'nonmetalloenzyme', 'NN', 'I-NP', 'I-protein')
('alcohol', 'alcohol', 'NN', 'I-NP', 'I-protein')
('dehydrogenase', 'dehydrogenase', 'NN', 'I-NP', 'I-protein')
('protein', 'protein', 'NN', 'I-NP', 'I-protein')
('family.', 'family.', 'NN', 'I-NP', 'O')
The encoded enzyme is responsible for the metabolism of prostaglandins, which function in a variety of physiological and cellular processes, such as inflammation.
('The', 'The', 'DT', 'B-NP', 'O')
('encoded', 'encode', 'VBN', 'I-NP', 'O')
('enzyme', 'enzyme', 'NN', 'I-NP', 'O')
