Finding Interesting Genes Using Reliability in Various Gene Expression Models.
('Finding', 'Find', 'VBG', 'B-VP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('analysis', 'analysis', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('associated', 'associate', 'VBN', 'B-NP', 'O')
('variance', 'variance', 'NN', 'I-NP', 'O')
('modifications,', 'modifications,', 'NN', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('SAM', 'SAM', 'NNP', 'B-NP', 'O')
('(Tusher', '(Tusher', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2001)', '2001)', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('eBayes', 'eBayes', 'NNP', 'B-NP', 'O')
('(Smyth,', '(Smyth,', 'NNP', 'I-NP', 'O')
('2004).', '2004).', '.', 'O', 'O')
Reliability quantifies the uncertainty in gene expression measurements that can assist in filtering out genes with too much variability in favor of genes that have consistent measurements and significant expression.
('Reliability', 'Reliability', 'NN', 'B-NP', 'O')
('quantifies', 'quantify', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('uncertainty', 'uncertainty', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('gene', 'gene', 'NN', 'B-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('measurements', 'measurement', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('assist', 'assist', 'VB', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('filtering', 'filter', 'VBG', 'B-VP', 'O')
('out', 'out', 'RP', 'B-PRT', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('too', 'too', 'RB', 'B-NP', 'O')
('much', 'much', 'JJ', 'I-NP', 'O')
('variability', 'variability', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('favor', 'favor', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genes', 'gene', 'NNS', 'B-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('consistent', 'consistent', 'JJ', 'B-NP', 'O')
('measurements', 'measurement', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('significant', 'significant', 'JJ', 'B-NP', 'O')
('expression.', 'expression.', 'NN', 'I-NP', 'O')
We start from the 2-level hierarchical linear model (HLM) for one gene.
('We', 'We', 'PRP', 'B-NP', 'O')
('start', 'start', 'VBP', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('2-level', '2-level', 'JJ', 'I-NP', 'O')
('hierarchical', 'hierarchical', 'JJ', 'I-NP', 'O')
('linear', 'linear', 'JJ', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('(HLM)', '(HLM)', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('one', 'one', 'CD', 'B-NP', 'O')
('gene.', 'gene.', 'NN', 'I-NP', 'O')
Let be Plk the log2-transformed probe level intensity value of the l-th chip and the kth oligonucleotide probe, l =1, 2, …, L, and k =1, 2,… , K (usually between 11-20).
('Let', 'Let', 'VB', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('Plk', 'Plk', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('log2-transformed', 'log2-transformed', 'JJ', 'I-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('l-th', 'l-th', 'JJ', 'I-NP', 'O')
('chip', 'chip', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('kth', 'kth', 'JJ', 'I-NP', 'O')
('oligonucleotide', 'oligonucleotide', 'NN', 'I-NP', 'O')
('probe,', 'probe,', 'NN', 'I-NP', 'O')
('l', 'l', 'NN', 'I-NP', 'O')
('=1,', '=1,', 'NN', 'I-NP', 'O')
('2,', '2,', 'VBD', 'B-VP', 'O')
('…,', '…,', 'NNP', 'B-NP', 'O')
('L,', 'L,', 'NNP', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('k', 'k', 'VB', 'B-VP', 'O')
('=1,', '=1,', 'JJ', 'B-NP', 'O')
('2,…', '2,…', 'NN', 'I-NP', 'O')
(',', ',', ',', 'O', 'O')
('K', 'K', 'NN', 'B-NP', 'O')
('(usually', '(usually', 'RB', 'B-ADVP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('11-20).', '11-20).', 'CD', 'B-NP', 'O')
The chip-to-chip variability is usually controlled by normalizing the log2-transformed probe intensity values using the quantile method.
('The', 'The', 'DT', 'B-NP', 'O')
('chip-to-chip', 'chip-to-chip', 'JJ', 'I-NP', 'O')
('variability', 'variability', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('usually', 'usually', 'RB', 'I-VP', 'O')
('controlled', 'control', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('normalizing', 'normalize', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('log2-transformed', 'log2-transformed', 'JJ', 'I-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('quantile', 'quantile', 'JJ', 'I-NP', 'O')
('method.', 'method.', 'NN', 'I-NP', 'O')
Then, the probe level model is   where Ml represents the summary expression value of the l-th chip and γlk is the normally distributed random error with a mean of 0 and a probe level variance σ2.
('Then,', 'Then,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('Ml', 'Ml', 'NN', 'B-NP', 'O')
('represents', 'represent', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('l-th', 'l-th', 'JJ', 'I-NP', 'O')
('chip', 'chip', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('γlk', 'γlk', 'NN', 'I-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('normally', 'normally', 'RB', 'I-NP', 'O')
('distributed', 'distribute', 'VBN', 'I-NP', 'O')
('random', 'random', 'JJ', 'I-NP', 'O')
('error', 'error', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('mean', 'mean', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('0', '0', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('variance', 'variance', 'NN', 'I-NP', 'O')
('σ2.', 'σ2.', '.', 'O', 'O')
We assume the common probe level variance for each chip.
('We', 'We', 'PRP', 'B-NP', 'O')
('assume', 'assume', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('common', 'common', 'JJ', 'I-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('variance', 'variance', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('chip.', 'chip.', 'NN', 'I-NP', 'O')
Because we do not know the true value for Ml, we set the level-2 (summary value level) model as follows:   where μ is the overall mean, and εl is the random effect associated with the l-th chip, assumed to be normally distributed with a mean of 0 and a variance τ2.
('Because', 'Because', 'IN', 'B-SBAR', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('do', 'do', 'VBP', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('know', 'know', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('true', 'true', 'JJ', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Ml,', 'Ml,', 'NN', 'B-NP', 'B-DNA')
('we', 'we', 'PRP', 'B-NP', 'O')
('set', 'set', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('level-2', 'level-2', 'NN', 'I-NP', 'O')
('(summary', '(summary', 'JJ', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('level)', 'level)', 'NN', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('follows:', 'follows:', 'NN', 'B-NP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('μ', 'μ', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('overall', 'overall', 'JJ', 'I-NP', 'O')
('mean,', 'mean,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('εl', 'εl', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('random', 'random', 'JJ', 'I-NP', 'O')
('effect', 'effect', 'NN', 'I-NP', 'O')
('associated', 'associate', 'VBN', 'B-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('l-th', 'l-th', 'JJ', 'I-NP', 'O')
('chip,', 'chip,', 'NN', 'I-NP', 'O')
('assumed', 'assume', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('normally', 'normally', 'RB', 'I-VP', 'O')
('distributed', 'distribute', 'VBN', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('mean', 'mean', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('0', '0', 'CD', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('variance', 'variance', 'NN', 'I-NP', 'O')
('τ2.', 'τ2.', '.', 'O', 'O')
We assume that εl and γlk are independent.
('We', 'We', 'PRP', 'B-NP', 'O')
('assume', 'assume', 'VBP', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('εl', 'εl', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('γlk', 'γlk', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('independent.', 'independent.', 'JJ', 'B-ADJP', 'O')
Combining (1) and (2) yields the model   which is a oneway ANOVA model with a random effect, where μ is the overall mean, εl is a summary value level random effect, and γlk is a probe level random effect.
('Combining', 'Combine', 'VBG', 'B-VP', 'O')
('(1)', '(1)', 'LS', 'B-LST', 'O')
('and', 'and', 'CC', 'O', 'O')
('(2)', '(2)', 'LS', 'B-NP', 'O')
('yields', 'yield', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('oneway', 'oneway', 'JJ', 'I-NP', 'O')
('ANOVA', 'ANOVA', 'NN', 'I-NP', 'O')
('model', 'model', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('random', 'random', 'JJ', 'I-NP', 'O')
('effect,', 'effect,', 'NN', 'I-NP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('μ', 'μ', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('overall', 'overall', 'JJ', 'I-NP', 'O')
('mean,', 'mean,', 'NN', 'I-NP', 'O')
('εl', 'εl', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('summary', 'summary', 'JJ', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('random', 'random', 'JJ', 'I-NP', 'O')
('effect,', 'effect,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('γlk', 'γlk', 'NN', 'I-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('random', 'random', 'JJ', 'I-NP', 'O')
('effect.', 'effect.', 'NN', 'I-NP', 'O')
Then, the variance of log2 probe intensities is  The σ2 parameter represents the probe level variability, and τ2 captures the variability of the summary values.
('Then,', 'Then,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('variance', 'variance', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('log2', 'log2', 'NN', 'B-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('intensities', 'intensity', 'NNS', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('The', 'The', 'DT', 'B-NP', 'O')
('σ2', 'σ2', 'CD', 'I-NP', 'O')
('parameter', 'parameter', 'NN', 'I-NP', 'O')
('represents', 'represent', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('variability,', 'variability,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('τ2', 'τ2', 'NN', 'I-NP', 'O')
('captures', 'capture', 'NNS', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('variability', 'variability', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('values.', 'values.', 'NN', 'I-NP', 'O')
Most models for finding significant genes start from the summary value level model, using the summary values and ignoring the probe level variability.
('Most', 'Most', 'JJS', 'B-NP', 'O')
('models', 'model', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('finding', 'find', 'VBG', 'B-VP', 'O')
('significant', 'significant', 'JJ', 'B-NP', 'O')
('genes', 'gene', 'NNS', 'I-NP', 'O')
('start', 'start', 'VBP', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('model,', 'model,', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('ignoring', 'ignore', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('level', 'level', 'NN', 'I-NP', 'O')
('variability.', 'variability.', 'NN', 'I-NP', 'O')
Our interest focuses not only on τ2 but also on σ2.
('Our', 'Our', 'PRP$', 'B-NP', 'O')
('interest', 'interest', 'NN', 'I-NP', 'O')
('focuses', 'focus', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'B-CONJP', 'O')
('only', 'only', 'RB', 'I-CONJP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('τ2', 'τ2', 'NN', 'B-NP', 'O')
('but', 'but', 'CC', 'B-CONJP', 'O')
('also', 'also', 'RB', 'I-CONJP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('σ2.', 'σ2.', 'NN', 'B-NP', 'O')
If σ2 is large relative to τ2, the summary values of the chips might be less reliable.
('If', 'If', 'IN', 'B-SBAR', 'O')
('σ2', 'σ2', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('large', 'large', 'JJ', 'B-ADJP', 'O')
('relative', 'relative', 'JJ', 'B-ADVP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('τ2,', 'τ2,', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('chips', 'chip', 'NNS', 'I-NP', 'O')
('might', 'might', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('less', 'less', 'RBR', 'I-VP', 'O')
('reliable.', 'reliable.', 'VB', 'I-VP', 'O')
In the 2level HLM, the reliability ρ of the estimated value  is defined as follows (Raudenbush and Bryk, 2002):  where τ2 represents the variation of the summary value Ml, and σ2 represents the variation of log2 probe intensity values PMlm.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('2level', '2level', 'JJ', 'I-NP', 'O')
('HLM,', 'HLM,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('reliability', 'reliability', 'NN', 'I-NP', 'O')
('ρ', 'ρ', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('estimated', 'estimate', 'VBN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-SBAR', 'O')
('follows', 'follow', 'VBZ', 'B-VP', 'O')
('(Raudenbush', '(Raudenbush', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Bryk,', 'Bryk,', 'NNP', 'I-NP', 'O')
('2002):', '2002):', ':', 'O', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('τ2', 'τ2', 'NN', 'B-NP', 'O')
('represents', 'represent', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('variation', 'variation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('Ml,', 'Ml,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('σ2', 'σ2', 'NN', 'B-NP', 'O')
('represents', 'represent', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('variation', 'variation', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('log2', 'log2', 'NN', 'B-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('PMlm.', 'PMlm.', 'NN', 'I-NP', 'O')
Therefore, this reliability can be written as:  This measure is defined from the structure of HLM and represents the reliability of the summary expression values of the specific gene.
('Therefore,', 'Therefore,', 'RB', 'B-ADVP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('reliability', 'reliability', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('written', 'write', 'VBN', 'I-VP', 'O')
('as:', 'as:', ':', 'O', 'O')
('This', 'This', 'DT', 'B-NP', 'O')
('measure', 'measure', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('structure', 'structure', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('HLM', 'HLM', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'O', 'O')
('represents', 'represent', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('reliability', 'reliability', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('expression', 'expression', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('specific', 'specific', 'JJ', 'I-NP', 'O')
('gene.', 'gene.', 'NN', 'I-NP', 'O')
This population version of the reliability is usually estimated by fitting the hierarchical model, where a simple mean of the log2transformed probe intensity values is used as the summary value.
('This', 'This', 'DT', 'B-NP', 'O')
('population', 'population', 'NN', 'I-NP', 'O')
('version', 'version', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('reliability', 'reliability', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('usually', 'usually', 'RB', 'I-VP', 'O')
('estimated', 'estimate', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('fitting', 'fit', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('hierarchical', 'hierarchical', 'JJ', 'I-NP', 'O')
('model,', 'model,', 'NN', 'I-NP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('simple', 'simple', 'JJ', 'I-NP', 'O')
('mean', 'mean', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('log2transformed', 'log2transformed', 'JJ', 'I-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('intensity', 'intensity', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('value.', 'value.', 'NN', 'I-NP', 'O')
However, a simple mean of the log2 probe intensities is rarely used for the summary value in microarray data analysis.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('simple', 'simple', 'JJ', 'I-NP', 'O')
('mean', 'mean', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('log2', 'log2', 'NN', 'I-NP', 'O')
('probe', 'probe', 'NN', 'I-NP', 'O')
('intensities', 'intensity', 'NNS', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('rarely', 'rarely', 'RB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('summary', 'summary', 'NN', 'I-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('microarray', 'microarray', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('analysis.', 'analysis.', 'NN', 'I-NP', 'O')
There are a lot of methods to calculate summary values in robust way (Bolstad et al., 2003), including RMA.
('There', 'There', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('lot', 'lot', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('methods', 'method', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('calculate', 'calculate', 'VB', 'I-VP', 'O')
('summary', 'summary', 'JJ', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('robust', 'robust', 'JJ', 'B-NP', 'O')
('way', 'way', 'NN', 'I-NP', 'O')
('(Bolstad', '(Bolstad', 'NN', 'I-NP', 'O')
('et', 'et', 'FW', 'B-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2003),', '2003),', 'CD', 'I-NP', 'O')
('including', 'include', 'VBG', 'B-PP', 'O')
('RMA.', 'RMA.', 'NNP', 'B-NP', 'O')
Recently, (Millenaar et al., 2003) compared several calculation methods for summary values.
('Recently,', 'Recently,', 'NNP', 'B-NP', 'O')
('(Millenaar', '(Millenaar', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('2003)', '2003)', 'CD', 'B-NP', 'O')
('compared', 'compare', 'VBN', 'B-PP', 'O')
('several', 'several', 'JJ', 'B-NP', 'O')
('calculation', 'calculation', 'NN', 'I-NP', 'O')
('methods', 'method', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('summary', 'summary', 'NN', 'B-NP', 'O')
('values.', 'values.', 'NN', 'I-NP', 'O')
They concluded that the user needs to try several different methods.
('They', 'They', 'PRP', 'B-NP', 'O')
('concluded', 'conclude', 'VBD', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('needs', 'need', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('try', 'try', 'VB', 'I-VP', 'O')
('several', 'several', 'JJ', 'B-NP', 'O')
('different', 'different', 'JJ', 'I-NP', 'O')
('methods.', 'methods.', 'NN', 'I-NP', 'O')
However, it is usually not easy.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('it', 'it', 'PRP', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('usually', 'usually', 'RB', 'I-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('easy.', 'easy.', 'VB', 'I-VP', 'O')
We extend the approach by estimating reliability for any type of summary value method.
('We', 'We', 'PRP', 'B-NP', 'O')
('extend', 'extend', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('approach', 'approach', 'NN', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
