AKAPDB: A-Kinase Anchoring Proteins Database.
('AKAPs', 'AKAP', 'NNS', 'B-NP', 'B-protein')
('are', 'be', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('group', 'group', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('structurally', 'structurally', 'RB', 'B-NP', 'B-protein')
('diverse', 'diverse', 'JJ', 'I-NP', 'I-protein')
('proteins', 'protein', 'NNS', 'I-NP', 'I-protein')
('with', 'with', 'IN', 'B-PP', 'O')
('similar', 'similar', 'JJ', 'B-NP', 'O')
('function', 'function', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('binding', 'bind', 'VBG', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('regulatory', 'regulatory', 'JJ', 'I-NP', 'B-protein')
('subunit', 'subunit', 'NN', 'I-NP', 'I-protein')
('of', 'of', 'IN', 'B-PP', 'O')
('PKA', 'PKA', 'NN', 'B-NP', 'B-protein')
('within', 'within', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('cell', 'cell', 'NN', 'I-NP', 'O')
('(Michel', '(Michel', 'NNP', 'I-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'IN', 'B-PP', 'O')
('2002).', '2002).', 'CD', 'B-NP', 'O')
There are many AKAPs for the reason that many species have AKAPs with diverse forms.
('There', 'There', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('AKAPs', 'AKAP', 'NNS', 'I-NP', 'B-protein')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('reason', 'reason', 'NN', 'I-NP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('many', 'many', 'JJ', 'B-NP', 'O')
('species', 'specie', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('AKAPs', 'AKAP', 'NNS', 'B-NP', 'B-protein')
('with', 'with', 'IN', 'B-PP', 'O')
('diverse', 'diverse', 'JJ', 'B-NP', 'O')
('forms.', 'forms.', 'NNS', 'I-NP', 'O')
Regardless of the importance, our understanding of the AKAPs is restricted due to difficulty of searching on other databases.
('Regardless', 'Regardless', 'RB', 'B-ADVP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('importance,', 'importance,', 'NN', 'I-NP', 'O')
('our', 'our', 'PRP$', 'B-NP', 'O')
('understanding', 'understanding', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('AKAPs', 'AKAP', 'NNS', 'I-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('restricted', 'restrict', 'VBN', 'I-VP', 'O')
('due', 'due', 'IN', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('difficulty', 'difficulty', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('searching', 'search', 'VBG', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('other', 'other', 'JJ', 'B-NP', 'O')
('databases.', 'databases.', 'NNS', 'I-NP', 'O')
Therefore, the purpose of AKAPDB is to provide integrated understanding of AKAPs and efficient research tools to biologists.
('Therefore,', 'Therefore,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('purpose', 'purpose', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('AKAPDB', 'AKAPDB', 'NN', 'B-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('provide', 'provide', 'VB', 'I-VP', 'O')
('integrated', 'integrated', 'JJ', 'B-NP', 'O')
('understanding', 'understanding', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('AKAPs', 'AKAP', 'NNS', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'O', 'O')
('efficient', 'efficient', 'JJ', 'B-NP', 'O')
('research', 'research', 'NN', 'I-NP', 'O')
('tools', 'tool', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('biologists.', 'biologists.', 'VB', 'I-VP', 'O')
AKAPDB can be accessed by http://plaza3.
('AKAPDB', 'AKAPDB', 'NN', 'B-NP', 'B-protein')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('accessed', 'access', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('http://plaza3.', 'http://plaza3.', 'NN', 'B-NP', 'O')
snu.
('snu.', 'snu.', 'LS', 'B-LST', 'O')
ac.
('ac.', 'ac.', 'LS', 'B-LST', 'O')
kr/ akapdb/ Doubts and request about AKAPDB should be mailed to waterdrop@snu.
('kr/', 'kr/', 'NN', 'B-NP', 'O')
('akapdb/', 'akapdb/', 'NN', 'I-NP', 'O')
('Doubts', 'Doubt', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('request', 'request', 'NN', 'B-NP', 'O')
('about', 'about', 'IN', 'B-PP', 'O')
('AKAPDB', 'AKAPDB', 'NN', 'B-NP', 'B-protein')
('should', 'should', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('mailed', 'mail', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('waterdrop@snu.', 'waterdrop@snu.', 'NN', 'B-NP', 'O')
ac.
('ac.', 'ac.', 'LS', 'B-LST', 'O')
kr.
('kr.', 'kr.', 'LS', 'B-LST', 'O')
