Application of Decision Tree for the Classification of Antimicrobial PeptideThe purpose of this study was to investigate the use of decision tree for the classification of antimicrobial peptides.
('Application', 'Application', 'NN', 'B-NP', 'O')
('subtended', 'subtend', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('positively', 'positively', 'RB', 'B-VP', 'O')
('charged', 'charge', 'VBN', 'I-VP', 'O')
('face', 'face', 'VBP', 'B-VP', 'O')
('(A),', '(A),', 'NNP', 'B-NP', 'O')
('net', 'net', 'NN', 'I-NP', 'O')
('charges', 'charge', 'VBZ', 'B-VP', 'O')
('(netC),', '(netC),', 'NNP', 'B-NP', 'O')
('sum', 'sum', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('positive', 'positive', 'JJ', 'B-NP', 'O')
('charges', 'charge', 'NNS', 'I-NP', 'O')
('(pC)', '(pC)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('sum', 'sum', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('negative', 'negative', 'JJ', 'B-NP', 'O')
('charges', 'charge', 'NNS', 'I-NP', 'O')
('(nC).', '(nC).', 'NNP', 'B-NP', 'O')
Furthermore, additional attributes confined to the helical portion of the peptides (i.e.
('Furthermore,', 'Furthermore,', 'IN', 'B-PP', 'O')
('additional', 'additional', 'JJ', 'B-NP', 'O')
('attributes', 'attribute', 'NNS', 'I-NP', 'O')
('confined', 'confine', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('helical', 'helical', 'JJ', 'I-NP', 'O')
('portion', 'portion', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('(i.e.', '(i.e.', 'FW', 'B-NP', 'O')
spatial arrangement of each amino acid) were selected to increase the accuracy of classification; they include hydrophobicity (H/h), net charges (netC/h), positive charges (pC/h), hydrophobic moment (Hm/h), angle subtended by positively charged face (A/h) and negative charges (nC/h) in helical region.
('spatial', 'spatial', 'JJ', 'B-NP', 'O')
('arrangement', 'arrangement', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('amino', 'amino', 'NN', 'I-NP', 'O')
('acid)', 'acid)', 'NN', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('selected', 'select', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('increase', 'increase', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('accuracy', 'accuracy', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('classification;', 'classification;', 'NN', 'B-NP', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('include', 'include', 'VBP', 'B-VP', 'O')
('hydrophobicity', 'hydrophobicity', 'NN', 'B-NP', 'O')
('(H/h),', '(H/h),', 'NN', 'I-NP', 'O')
('net', 'net', 'JJ', 'I-NP', 'O')
('charges', 'charge', 'NNS', 'I-NP', 'O')
('(netC/h),', '(netC/h),', 'IN', 'B-PP', 'O')
('positive', 'positive', 'JJ', 'B-NP', 'O')
('charges', 'charge', 'NNS', 'I-NP', 'O')
('(pC/h),', '(pC/h),', 'IN', 'B-PP', 'O')
('hydrophobic', 'hydrophobic', 'JJ', 'B-NP', 'O')
('moment', 'moment', 'NN', 'I-NP', 'O')
('(Hm/h),', '(Hm/h),', 'NN', 'I-NP', 'O')
('angle', 'angle', 'NN', 'I-NP', 'O')
('subtended', 'subtend', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('positively', 'positively', 'RB', 'B-NP', 'O')
('charged', 'charge', 'VBN', 'I-NP', 'O')
('face', 'face', 'NN', 'I-NP', 'O')
('(A/h)', '(A/h)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('negative', 'negative', 'JJ', 'B-NP', 'O')
('charges', 'charge', 'NNS', 'I-NP', 'O')
('(nC/h)', '(nC/h)', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('helical', 'helical', 'JJ', 'B-NP', 'O')
('region.', 'region.', 'NN', 'I-NP', 'O')
In this study, the decision was implemented by C4.5.
('In', 'In', 'IN', 'B-PP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('study,', 'study,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('implemented', 'implement', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('C4.5.', 'C4.5.', 'NN', 'B-NP', 'B-protein')
C4.5 is a software extension of the basic ID3 algorithm designed by Quinlan (Quinlan etal., 1993).
('C4.5', 'C4.5', 'NN', 'B-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('software', 'software', 'NN', 'I-NP', 'O')
('extension', 'extension', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('basic', 'basic', 'JJ', 'I-NP', 'O')
('ID3', 'ID3', 'NN', 'I-NP', 'B-protein')
('algorithm', 'algorithm', 'NN', 'I-NP', 'O')
('designed', 'design', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('Quinlan', 'Quinlan', 'NNP', 'B-NP', 'O')
('(Quinlan', '(Quinlan', 'NNP', 'I-NP', 'O')
('etal.,', 'etal.,', 'VBD', 'B-VP', 'O')
('1993).', '1993).', 'CD', 'B-NP', 'O')
This program classifies antimicrobial peptides based on selected attributes which are treated as statistical property called information gain that measures how well a given attribute separates the training examples according to their target classification (Mitchell etal., 1997).
('This', 'This', 'DT', 'B-NP', 'O')
('program', 'program', 'NN', 'I-NP', 'O')
('classifies', 'classify', 'VBZ', 'B-VP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'B-NP', 'O')
('peptides', 'peptide', 'NNS', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('selected', 'select', 'VBN', 'B-NP', 'O')
('attributes', 'attribute', 'NNS', 'I-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('treated', 'treat', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('statistical', 'statistical', 'JJ', 'B-NP', 'B-protein')
('property', 'property', 'NN', 'I-NP', 'I-protein')
('called', 'call', 'VBN', 'B-VP', 'I-protein')
('information', 'information', 'NN', 'B-NP', 'I-protein')
('gain', 'gain', 'NN', 'I-NP', 'I-protein')
('that', 'that', 'WDT', 'B-NP', 'O')
('measures', 'measure', 'VBZ', 'B-VP', 'O')
('how', 'how', 'WRB', 'B-ADVP', 'O')
('well', 'well', 'RB', 'I-ADVP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('given', 'give', 'VBN', 'I-NP', 'O')
('attribute', 'attribute', 'NN', 'I-NP', 'O')
('separates', 'separate', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('training', 'training', 'NN', 'I-NP', 'O')
('examples', 'example', 'NNS', 'I-NP', 'O')
('according', 'accord', 'VBG', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('target', 'target', 'NN', 'I-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('(Mitchell', '(Mitchell', 'NNP', 'I-NP', 'O')
('etal.,', 'etal.,', 'VBD', 'B-VP', 'O')
('1997).', '1997).', 'CD', 'B-NP', 'O')
Information gain can be further described by entropy that characterizes the purity and/or complexity of an arbitrary collection of data.
('Information', 'Information', 'NN', 'B-NP', 'O')
('gain', 'gain', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('further', 'further', 'RBR', 'B-ADJP', 'O')
('described', 'describe', 'VBN', 'I-ADJP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('entropy', 'entropy', 'NN', 'B-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('characterizes', 'characterize', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('purity', 'purity', 'NN', 'I-NP', 'O')
('and/or', 'and/or', 'CC', 'I-NP', 'O')
('complexity', 'complexity', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('arbitrary', 'arbitrary', 'JJ', 'I-NP', 'O')
('collection', 'collection', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('data.', 'data.', 'NN', 'B-NP', 'O')
In the case of peptide data set (S), the entropy of set S relative to binary classification is defined aswhere p is the proportion of positive data (strong anti­microbial activity) in S and p „ is the proportion ofnegative data (weak antimicrobial activity) in S. (In this study, any entropy with OlogO is defined to be 0.)
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('case', 'case', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('peptide', 'peptide', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set', 'set', 'VBP', 'B-VP', 'O')
('(S),', '(S),', 'IN', 'B-SBAR', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('entropy', 'entropy', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('set', 'set', 'NN', 'B-NP', 'O')
('S', 'S', 'NN', 'I-NP', 'O')
('relative', 'relative', 'JJ', 'B-ADVP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('binary', 'binary', 'JJ', 'B-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('p', 'p', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('proportion', 'proportion', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('positive', 'positive', 'JJ', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('(strong', '(strong', 'VBP', 'B-VP', 'O')
('anti\xad', 'anti\xad', 'JJ', 'B-NP', 'O')
('microbial', 'microbial', 'JJ', 'I-NP', 'O')
('activity)', 'activity)', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('S', 'S', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('p', 'p', 'NN', 'I-NP', 'O')
('„', '„', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('proportion', 'proportion', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('negative', 'negative', 'JJ', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('(weak', '(weak', 'VBP', 'B-VP', 'O')
('antimicrobial', 'antimicrobial', 'JJ', 'B-NP', 'O')
('activity)', 'activity)', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('S.', 'S.', 'NNP', 'B-NP', 'O')
('(In', '(In', 'NNP', 'I-NP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('study,', 'study,', 'NN', 'I-NP', 'O')
('any', 'any', 'DT', 'B-NP', 'O')
('entropy', 'entropy', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('OlogO', 'OlogO', 'NN', 'B-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('0.)', '0.)', 'CD', 'B-NP', 'O')
Therefore, information gain can be expressed by the expected reduction in entropy caused by partitioning the data set according to selected attributes.
('Therefore,', 'Therefore,', 'NN', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('gain', 'gain', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('expressed', 'express', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('expected', 'expect', 'VBN', 'I-NP', 'O')
('reduction', 'reduction', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('entropy', 'entropy', 'NN', 'B-NP', 'O')
('caused', 'cause', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('partitioning', 'partition', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set', 'set', 'VBD', 'B-VP', 'O')
('according', 'accord', 'VBG', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('selected', 'select', 'VBN', 'B-NP', 'O')
('attributes.', 'attributes.', 'NN', 'I-NP', 'O')
More precisely, the information gain, Gain (S, A) of attribute A, relative to a collection of data set S is defined aswhere l/(A) is the set of all possible values for attribute A, and Sv is the subset of Sfor which attribute A has value v. Gain(S, A) is, therefore, the expected reduction in entropy caused by the knowledge of the value of attribute A (Mitchell etal., 1997).
('More', 'More', 'RBR', 'B-ADVP', 'O')
('precisely,', 'precisely,', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('gain,', 'gain,', 'NN', 'I-NP', 'O')
('Gain', 'Gain', 'NNP', 'I-NP', 'O')
('(S,', '(S,', 'NNP', 'I-NP', 'O')
('A)', 'A)', 'NNP', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('attribute', 'attribute', 'NN', 'B-NP', 'O')
('A,', 'A,', 'NN', 'I-NP', 'O')
('relative', 'relative', 'JJ', 'B-ADVP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('collection', 'collection', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('data', 'datum', 'NNS', 'B-NP', 'O')
('set', 'set', 'VBP', 'B-VP', 'O')
('S', 'S', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('defined', 'define', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('l/(A)', 'l/(A)', 'NN', 'B-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('all', 'all', 'DT', 'B-NP', 'O')
('possible', 'possible', 'JJ', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('attribute', 'attribute', 'NN', 'B-NP', 'O')
('A,', 'A,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Sv', 'Sv', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('subset', 'subset', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Sfor', 'Sfor', 'NNP', 'B-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('attribute', 'attribute', 'VBP', 'B-VP', 'O')
('A', 'A', 'NN', 'B-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('value', 'value', 'NN', 'B-NP', 'O')
('v.', 'v.', 'NN', 'I-NP', 'O')
('Gain(S,', 'Gain(S,', 'NNP', 'I-NP', 'O')
('A)', 'A)', 'NNP', 'I-NP', 'O')
('is,', 'is,', 'NN', 'I-NP', 'O')
('therefore,', 'therefore,', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('expected', 'expect', 'VBN', 'I-NP', 'O')
('reduction', 'reduction', 'NN', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('entropy', 'entropy', 'NN', 'B-NP', 'O')
('caused', 'cause', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('knowledge', 'knowledge', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('value', 'value', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('attribute', 'attribute', 'NN', 'B-NP', 'O')
('A', 'A', 'NNP', 'I-NP', 'O')
('(Mitchell', '(Mitchell', 'NNP', 'I-NP', 'O')
('etal.,', 'etal.,', 'VBD', 'B-VP', 'O')
('1997).', '1997).', 'CD', 'B-NP', 'O')
All combinations of 14 features (2 14 = 16384) were tested.
('All', 'All', 'DT', 'B-NP', 'O')
('combinations', 'combination', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('14', '14', 'CD', 'B-NP', 'O')
('features', 'feature', 'NNS', 'I-NP', 'O')
('(2', '(2', 'CD', 'B-NP', 'O')
('14', '14', 'CD', 'I-NP', 'O')
('=', '=', 'SYM', 'B-VP', 'O')
('16384)', '16384)', 'CD', 'B-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('tested.', 'tested.', 'VBN', 'I-VP', 'O')
We obtained the results of optimal subset of features which the training error was smallest in each data set.
('We', 'We', 'PRP', 'B-NP', 'O')
('obtained', 'obtain', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('optimal', 'optimal', 'JJ', 'B-NP', 'O')
('subset', 'subset', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('features', 'feature', 'NNS', 'B-NP', 'O')
('which', 'which', 'WDT', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('training', 'training', 'NN', 'I-NP', 'O')
('error', 'error', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('smallest', 'small', 'JJS', 'B-ADJP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set.', 'set.', 'NN', 'I-NP', 'O')
The binary classification produced by the decision treewas evaluated by using a stratified 5-fold cross-validation (Stone etal., 1974; Weiss etal., 1991).
('The', 'The', 'DT', 'B-NP', 'O')
('binary', 'binary', 'JJ', 'I-NP', 'O')
('classification', 'classification', 'NN', 'I-NP', 'O')
('produced', 'produce', 'VBN', 'B-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('evaluated', 'evaluate', 'VBN', 'I-VP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('stratified', 'stratified', 'JJ', 'I-NP', 'O')
('5-fold', '5-fold', 'JJ', 'I-NP', 'O')
('cross-validation', 'cross-validation', 'NN', 'I-NP', 'O')
('(Stone', '(Stone', 'NN', 'I-NP', 'O')
('etal.,', 'etal.,', 'NN', 'I-NP', 'O')
('1974;', '1974;', 'CD', 'I-NP', 'O')
('Weiss', 'Weiss', 'NNP', 'I-NP', 'O')
('etal.,', 'etal.,', 'VBD', 'B-VP', 'O')
('1991).', '1991).', 'CD', 'B-NP', 'O')
The training set is divided into 5 equal-sized subsets such that each example appears in exactly one test set.
('The', 'The', 'DT', 'B-NP', 'O')
('training', 'training', 'NN', 'I-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('divided', 'divide', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('5', '5', 'CD', 'B-NP', 'O')
('equal-sized', 'equal-sized', 'JJ', 'I-NP', 'O')
('subsets', 'subset', 'NNS', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-ADJP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('example', 'example', 'NN', 'I-NP', 'O')
('appears', 'appear', 'VBZ', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('exactly', 'exactly', 'RB', 'B-NP', 'O')
('one', 'one', 'CD', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('set.', 'set.', 'NN', 'I-NP', 'O')
The folds were stratified so that they would contain the same proportions of classes as the original data set.
('The', 'The', 'DT', 'B-NP', 'O')
('folds', 'fold', 'NNS', 'I-NP', 'O')
('were', 'be', 'VBD', 'B-VP', 'O')
('stratified', 'stratify', 'VBN', 'I-VP', 'O')
('so', 'so', 'RB', 'B-SBAR', 'O')
('that', 'that', 'IN', 'I-SBAR', 'O')
('they', 'they', 'PRP', 'B-NP', 'O')
('would', 'would', 'MD', 'B-VP', 'O')
('contain', 'contain', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('same', 'same', 'JJ', 'I-NP', 'O')
('proportions', 'proportion', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('classes', 'class', 'NNS', 'B-NP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('original', 'original', 'JJ', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('set.', 'set.', 'NN', 'I-NP', 'O')
For each subset, a decision tree is constructed from examples of the 4 other subsets and tested on examples from the excluded set.
('For', 'For', 'IN', 'B-PP', 'O')
('each', 'each', 'DT', 'B-NP', 'O')
('subset,', 'subset,', 'NN', 'I-NP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('constructed', 'construct', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('examples', 'example', 'NNS', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('4', '4', 'CD', 'I-NP', 'O')
('other', 'other', 'JJ', 'I-NP', 'O')
('subsets', 'subset', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('tested', 'test', 'VBN', 'B-VP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('examples', 'example', 'NNS', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('excluded', 'exclude', 'VBN', 'I-NP', 'O')
('set.', 'set.', 'NN', 'I-NP', 'O')
The average error rate over the 5 test sets is the error rate of a decision tree generated from all the data (Quinlan etal., 1993).
('The', 'The', 'DT', 'B-NP', 'O')
('average', 'average', 'JJ', 'I-NP', 'O')
('error', 'error', 'NN', 'I-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('over', 'over', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('5', '5', 'CD', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('sets', 'set', 'NNS', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('error', 'error', 'NN', 'I-NP', 'O')
('rate', 'rate', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('generated', 'generate', 'VBN', 'B-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('all', 'all', 'PDT', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('(Quinlan', '(Quinlan', 'NNP', 'B-NP', 'O')
('etal.,', 'etal.,', 'VBD', 'B-VP', 'O')
('1993).', '1993).', 'CD', 'B-NP', 'O')
A decision tree that is too complex may result in over­ fitting the data.
('A', 'A', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('too', 'too', 'RB', 'B-ADJP', 'O')
('complex', 'complex', 'JJ', 'I-ADJP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('result', 'result', 'VB', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('over\xad', 'over\xad', 'NN', 'B-NP', 'O')
('fitting', 'fit', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
As a result, this decision tree may classify the training data excellently but perform poorly on some test data.
('As', 'As', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('result,', 'result,', 'NN', 'I-NP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('decision', 'decision', 'NN', 'I-NP', 'O')
('tree', 'tree', 'NN', 'I-NP', 'O')
('may', 'may', 'MD', 'B-VP', 'O')
('classify', 'classify', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('training', 'training', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('excellently', 'excellently', 'RB', 'B-ADVP', 'O')
('but', 'but', 'CC', 'O', 'O')
('perform', 'perform', 'VBP', 'B-VP', 'O')
('poorly', 'poorly', 'RB', 'B-ADVP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('some', 'some', 'DT', 'B-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('data.', 'data.', 'NN', 'I-NP', 'O')
To avoid this problem, we employed a pruning method described in (Quinlan et al., 1993) to make the decision tree simpler and more reasonable.
('To', 'To', 'TO', 'B-VP', 'O')
('avoid', 'avoid', 'VB', 'I-VP', 'O')
('this', 'this', 'DT', 'B-NP', 'O')
('problem,', 'problem,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('employed', 'employ', 'VBD', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('pruning', 'prune', 'VBG', 'I-NP', 'O')
('method', 'method', 'NN', 'I-NP', 'O')
('described', 'describe', 'VBN', 'B-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('(Quinlan', '(Quinlan', 'NNP', 'B-NP', 'O')
('et', 'et', 'NNP', 'I-NP', 'O')
('al.,', 'al.,', 'VBD', 'B-VP', 'O')
('1993)', '1993)', 'CD', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
