Sample Size and Power Estimation in Case-Control Genetic Association StudiesIn planning a genetic association study, it is necessary to determine the number of samples to be collected for the study in order to achieve sufficient power to detect the hypothesized effect.
('Sample', 'Sample', 'NNP', 'B-NP', 'O')
('status', 'status', 'NN', 'I-NP', 'O')
('(case', '(case', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('control)', 'control)', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('genotype.', 'genotype.', 'NN', 'B-NP', 'O')
Table 1 shows the genotype data from case-control studies.
('Table', 'Table', 'JJ', 'B-NP', 'B-protein')
('1', '1', 'CD', 'I-NP', 'I-protein')
('shows', 'show', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genotype', 'genotype', 'NN', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('case-control', 'case-control', 'JJ', 'B-NP', 'O')
('studies.', 'studies.', 'NNS', 'I-NP', 'O')
Here, the two rows refer to disease status (cases and controls), and the 3 columns refer to the genotypes.
('Here,', 'Here,', 'RB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('two', 'two', 'CD', 'I-NP', 'O')
('rows', 'row', 'NNS', 'I-NP', 'O')
('refer', 'refer', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('disease', 'disease', 'VB', 'I-VP', 'O')
('status', 'status', 'NN', 'B-NP', 'B-protein')
('(cases', '(cas', 'NNS', 'I-NP', 'I-protein')
('and', 'and', 'CC', 'O', 'O')
('controls),', 'controls),', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('3', '3', 'CD', 'I-NP', 'O')
('columns', 'column', 'NNS', 'I-NP', 'O')
('refer', 'refer', 'VBP', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genotypes.', 'genotypes.', 'NN', 'I-NP', 'O')
Given disease status, the distribution of genotypes is multinomial with parameter vectors p=(po, Pi, P2) for cases and q=(qo, qi, q2) for controls, where the subscript corresponds to the number of high risk alleles in the genotype.
('Given', 'Give', 'VBN', 'B-NP', 'O')
('disease', 'disease', 'NN', 'I-NP', 'O')
('status,', 'status,', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('distribution', 'distribution', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('genotypes', 'genotype', 'NNS', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('multinomial', 'multinomial', 'JJ', 'B-ADJP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('parameter', 'parameter', 'NN', 'B-NP', 'O')
('vectors', 'vector', 'NNS', 'I-NP', 'O')
('p=(po,', 'p=(po,', 'VBP', 'B-VP', 'O')
('Pi,', 'Pi,', 'NNP', 'B-NP', 'O')
('P2)', 'P2)', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('cases', 'case', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('q=(qo,', 'q=(qo,', 'NN', 'B-NP', 'O')
('qi,', 'qi,', 'NN', 'I-NP', 'O')
('q2)', 'q2)', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('controls,', 'controls,', 'NN', 'B-NP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('subscript', 'subscript', 'NN', 'I-NP', 'O')
('corresponds', 'correspond', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('high', 'high', 'JJ', 'B-NP', 'O')
('risk', 'risk', 'NN', 'I-NP', 'O')
('alleles', 'allele', 'NNS', 'I-NP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('genotype.', 'genotype.', 'NN', 'I-NP', 'O')
Slager and Schaid (2001) specify the values of Pi and qi using the information on penetrances (fo, fi, f2) and the marginal genotype probabilities (go, gi, g2).
('Slager', 'Slager', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Schaid', 'Schaid', 'NNP', 'I-NP', 'O')
('(2001)', '(2001)', 'LS', 'O', 'O')
('specify', 'specify', 'VB', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('Pi', 'Pi', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('qi', 'qi', 'NN', 'B-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('penetrances', 'penetrance', 'NNS', 'B-NP', 'O')
('(fo,', '(fo,', 'VBD', 'B-VP', 'O')
('fi,', 'fi,', 'NN', 'B-NP', 'O')
('f2)', 'f2)', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('marginal', 'marginal', 'JJ', 'I-NP', 'O')
('genotype', 'genotype', 'NN', 'I-NP', 'O')
('probabilities', 'probability', 'NNS', 'I-NP', 'O')
('(go,', '(go,', 'VBD', 'B-VP', 'O')
('gi,', 'gi,', 'NN', 'B-NP', 'O')
('g2).', 'g2).', 'NN', 'I-NP', 'O')
Here, the penetrance fj is the conditional probability P(affected| j copies of disease allele), where j=0,1, or 2 for a di-allelic disease locus.
('Here,', 'Here,', 'RB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('penetrance', 'penetrance', 'NN', 'I-NP', 'O')
('fj', 'fj', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('conditional', 'conditional', 'JJ', 'I-NP', 'O')
('probability', 'probability', 'NN', 'I-NP', 'O')
('P(affected|', 'P(affected|', 'NN', 'I-NP', 'O')
('j', 'j', 'NN', 'I-NP', 'O')
('copies', 'copy', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('disease', 'disease', 'NN', 'B-NP', 'O')
('allele),', 'allele),', 'NN', 'I-NP', 'O')
('where', 'where', 'WRB', 'B-ADVP', 'O')
('j=0,1,', 'j=0,1,', 'NN', 'B-NP', 'B-protein')
('or', 'or', 'CC', 'O', 'O')
('2', '2', 'CD', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('di-allelic', 'di-allelic', 'JJ', 'I-NP', 'O')
('disease', 'disease', 'NN', 'I-NP', 'O')
('locus.', 'locus.', 'NN', 'I-NP', 'O')
The information on penetrance and the marginal genotype probabilities can be obtained from the prior data based on the literature or pilot study or an assumed genetic model.
('The', 'The', 'DT', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('penetrance', 'penetrance', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('marginal', 'marginal', 'JJ', 'I-NP', 'O')
('genotype', 'genotype', 'NN', 'I-NP', 'O')
('probabilities', 'probability', 'NNS', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('obtained', 'obtain', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('prior', 'prior', 'JJ', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-PP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('literature', 'literature', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('pilot', 'pilot', 'NN', 'I-NP', 'O')
('study', 'study', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('assumed', 'assume', 'VBN', 'I-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('model.', 'model.', 'NN', 'I-NP', 'O')
The values of p, and qi can be calculated from the following equations.
('The', 'The', 'DT', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('p,', 'p,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('qi', 'qi', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('calculated', 'calculate', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('following', 'follow', 'VBG', 'I-NP', 'O')
('equations.', 'equations.', 'NN', 'I-NP', 'O')
Once pi and q, are computed from fi and gi, sample size software for Cochran-Armitage trend test can be used to estimate the sample size or power needed for the association between genotypes and disease status.
('Once', 'Once', 'IN', 'B-SBAR', 'O')
('pi', 'pi', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('q,', 'q,', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('computed', 'compute', 'VBN', 'I-VP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('fi', 'fi', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('gi,', 'gi,', 'NN', 'I-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('software', 'software', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Cochran-Armitage', 'Cochran-Armitage', 'NN', 'B-NP', 'O')
('trend', 'trend', 'NN', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('estimate', 'estimate', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'I-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('needed', 'need', 'VBN', 'B-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('genotypes', 'genotype', 'NNS', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('disease', 'disease', 'NN', 'B-NP', 'O')
('status.', 'status.', 'NNS', 'I-NP', 'O')
Slager and Schaid (2001) provide a sample size formulafor Cochran-Armitage trend test, and evaluate the performances of their sample size formula under different disease prevalence, genotypic relative risks and allelic effects such as multiplicative, additive, dominant and recessive models based on high-risk allele frequencies.
('Slager', 'Slager', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Schaid', 'Schaid', 'NNP', 'I-NP', 'O')
('(2001)', '(2001)', 'LS', 'O', 'O')
('provide', 'provide', 'VBP', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('formula', 'formula', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('Cochran-Armitage', 'Cochran-Armitage', 'NN', 'B-NP', 'O')
('trend', 'trend', 'NN', 'I-NP', 'O')
('test,', 'test,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('evaluate', 'evaluate', 'VB', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('performances', 'performance', 'NNS', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('formula', 'formula', 'NN', 'I-NP', 'O')
('under', 'under', 'IN', 'B-PP', 'O')
('different', 'different', 'JJ', 'B-NP', 'O')
('disease', 'disease', 'NN', 'I-NP', 'O')
('prevalence,', 'prevalence,', 'VBD', 'B-VP', 'O')
('genotypic', 'genotypic', 'JJ', 'B-NP', 'O')
('relative', 'relative', 'JJ', 'I-NP', 'O')
('risks', 'risk', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('allelic', 'allelic', 'JJ', 'B-NP', 'O')
('effects', 'effect', 'NNS', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('multiplicative,', 'multiplicative,', 'JJ', 'B-NP', 'O')
('additive,', 'additive,', 'NN', 'I-NP', 'O')
('dominant', 'dominant', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('recessive', 'recessive', 'JJ', 'I-NP', 'O')
('models', 'model', 'NNS', 'I-NP', 'O')
('based', 'base', 'VBN', 'B-PP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('high-risk', 'high-risk', 'JJ', 'B-NP', 'O')
('allele', 'allele', 'NN', 'I-NP', 'O')
('frequencies.', 'frequencies.', 'NNS', 'I-NP', 'O')
Cochran-Armitage trend test can be obtained as the score test using the logistic regression with a single covariate depending on the individual’s genotype.
('Cochran-Armitage', 'Cochran-Armitage', 'NN', 'B-NP', 'O')
('trend', 'trend', 'NN', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('obtained', 'obtain', 'VBN', 'I-VP', 'O')
('as', 'as', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('score', 'score', 'NN', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('using', 'use', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('logistic', 'logistic', 'JJ', 'I-NP', 'O')
('regression', 'regression', 'NN', 'I-NP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('single', 'single', 'JJ', 'I-NP', 'O')
('covariate', 'covariate', 'NN', 'I-NP', 'O')
('depending', 'depend', 'VBG', 'B-PP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('individual’s', 'individual’', 'NNS', 'I-NP', 'O')
('genotype.', 'genotype.', 'NN', 'I-NP', 'O')
Cochran-Armitage trend test is a locally optimal test for the given set of scores.
('Cochran-Armitage', 'Cochran-Armitage', 'NN', 'B-NP', 'O')
('trend', 'trend', 'NN', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('locally', 'locally', 'RB', 'I-NP', 'O')
('optimal', 'optimal', 'JJ', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('given', 'give', 'VBN', 'I-NP', 'O')
('set', 'set', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('scores.', 'scores.', 'NN', 'B-NP', 'O')
Slager and Schaid (2001) demonstrate    that their sample size formula is generally quite accurate by showing that their empirical powers are close to the expected powers through simulation.
('Slager', 'Slager', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Schaid', 'Schaid', 'NNP', 'I-NP', 'O')
('(2001)', '(2001)', 'LS', 'B-NP', 'O')
('demonstrate', 'demonstrate', 'VBP', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('formula', 'formula', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('generally', 'generally', 'RB', 'B-ADVP', 'O')
('quite', 'quite', 'RB', 'B-ADJP', 'O')
('accurate', 'accurate', 'JJ', 'I-ADJP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('showing', 'show', 'VBG', 'B-VP', 'O')
('that', 'that', 'IN', 'B-SBAR', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('empirical', 'empirical', 'JJ', 'I-NP', 'O')
('powers', 'power', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('close', 'close', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('expected', 'expect', 'VBN', 'I-NP', 'O')
('powers', 'power', 'NNS', 'I-NP', 'O')
('through', 'through', 'IN', 'B-PP', 'O')
('simulation.', 'simulation.', 'NN', 'B-NP', 'O')
When    the    variance    of    the    Cochran-Armitage    trend test statistic is known, the formulas for sample size and power are readily obtained.
('When', 'When', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('variance', 'variance', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Cochran-Armitage', 'Cochran-Armitage', 'NN', 'I-NP', 'O')
('trend', 'trend', 'NN', 'I-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('statistic', 'statistic', 'JJ', 'B-ADJP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('known,', 'known,', 'VBN', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('formulas', 'formula', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('sample', 'sample', 'NN', 'B-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('readily', 'readily', 'RB', 'I-VP', 'O')
('obtained.', 'obtained.', 'VBN', 'I-VP', 'O')
In practice, the variance of the test statistics is unknown, and needs to be estimated.
('In', 'In', 'IN', 'B-PP', 'O')
('practice,', 'practice,', 'NN', 'B-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('variance', 'variance', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('statistics', 'statistic', 'NNS', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('unknown,', 'unknown,', 'JJ', 'B-ADJP', 'O')
('and', 'and', 'CC', 'O', 'O')
('needs', 'need', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('be', 'be', 'VB', 'I-VP', 'O')
('estimated.', 'estimated.', 'NN', 'B-NP', 'O')
Freidlin et al.
('Freidlin', 'Freidlin', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.', 'al.', 'FW', 'I-NP', 'O')
(2002) present formulas for the sample sizeneeded    for    case-control    genetic    association    studies pre-specified power when the variance of the test statistic is unknown.
('(2002)', '(2002)', 'LS', 'B-NP', 'O')
('present', 'present', 'JJ', 'I-NP', 'O')
('formulas', 'formula', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('needed', 'need', 'VBN', 'B-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('case-control', 'case-control', 'JJ', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('association', 'association', 'NN', 'I-NP', 'O')
('studies', 'study', 'NNS', 'I-NP', 'O')
('pre-specified', 'pre-specified', 'JJ', 'B-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('when', 'when', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('variance', 'variance', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('test', 'test', 'NN', 'I-NP', 'O')
('statistic', 'statistic', 'JJ', 'B-ADJP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('unknown.', 'unknown.', 'JJ', 'B-ADJP', 'O')
Since these values are typically unknown for complex diseases such as diabetes, cancer,    and    cardiovascular    disease,    one    considers    a range of values for parameters to deal with such uncertainty.
('Since', 'Since', 'IN', 'B-SBAR', 'O')
('these', 'these', 'DT', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('typically', 'typically', 'RB', 'B-ADVP', 'O')
('unknown', 'unknown', 'JJ', 'B-ADJP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('complex', 'complex', 'JJ', 'B-NP', 'O')
('diseases', 'disease', 'NNS', 'I-NP', 'O')
('such', 'such', 'JJ', 'B-PP', 'O')
('as', 'as', 'IN', 'I-PP', 'O')
('diabetes,', 'diabetes,', 'NN', 'B-NP', 'O')
('cancer,', 'cancer,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('cardiovascular', 'cardiovascular', 'JJ', 'B-NP', 'O')
('disease,', 'disease,', 'NN', 'I-NP', 'O')
('one', 'one', 'CD', 'I-NP', 'O')
('considers', 'consider', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('range', 'range', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('values', 'value', 'NNS', 'B-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('parameters', 'parameter', 'NNS', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('deal', 'deal', 'VB', 'I-VP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('such', 'such', 'JJ', 'B-NP', 'O')
('uncertainty.', 'uncertainty.', 'NN', 'I-NP', 'O')
Cox and Hinkley (1974) suggest reporting median sample size and/or power values or worst-case scenarios that yield the largest sample size needed or the smallest power.
('Cox', 'Cox', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('Hinkley', 'Hinkley', 'NNP', 'I-NP', 'O')
('(1974)', '(1974)', 'LS', 'O', 'O')
('suggest', 'suggest', 'VBP', 'B-VP', 'O')
('reporting', 'report', 'VBG', 'I-VP', 'O')
('median', 'median', 'JJ', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('and/or', 'and/or', 'CC', 'I-NP', 'O')
('power', 'power', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('worst-case', 'worst-case', 'JJ', 'B-NP', 'O')
('scenarios', 'scenario', 'NNS', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('yield', 'yield', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('largest', 'large', 'JJS', 'I-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('needed', 'need', 'VBD', 'B-VP', 'O')
('or', 'or', 'CC', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('smallest', 'small', 'JJS', 'I-NP', 'O')
('power.', 'power.', 'NN', 'I-NP', 'O')
This suggestion has been used in several genetic applications (Cousin et al., 2003; Gordon et al., 2005; Zheng and Tian, 2005).
('This', 'This', 'DT', 'B-NP', 'O')
('suggestion', 'suggestion', 'NN', 'I-NP', 'O')
('has', 'have', 'VBZ', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('in', 'in', 'IN', 'B-PP', 'O')
('several', 'several', 'JJ', 'B-NP', 'O')
('genetic', 'genetic', 'JJ', 'I-NP', 'O')
('applications', 'application', 'NNS', 'I-NP', 'O')
('(Cousin', '(Cousin', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2003;', '2003;', ':', 'O', 'O')
('Gordon', 'Gordon', 'NNP', 'B-NP', 'O')
('et', 'et', 'FW', 'I-NP', 'O')
('al.,', 'al.,', 'FW', 'I-NP', 'O')
('2005;', '2005;', ':', 'O', 'O')
('Zheng', 'Zheng', 'NNP', 'B-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('Tian,', 'Tian,', 'NNP', 'B-NP', 'O')
('2005).', '2005).', 'CD', 'I-NP', 'O')
This suggestion leads us to observe a distribution of sample size (or power) values for the range of parameter values considered, including minimum, maximum, median, and average sample size (or power) values.
('This', 'This', 'DT', 'B-NP', 'O')
('suggestion', 'suggestion', 'NN', 'I-NP', 'O')
('leads', 'lead', 'VBZ', 'B-VP', 'O')
('us', 'us', 'PRP', 'B-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('observe', 'observe', 'VB', 'I-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('distribution', 'distribution', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('sample', 'sample', 'NN', 'B-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('(or', '(or', 'NN', 'I-NP', 'O')
('power)', 'power)', 'NN', 'I-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('range', 'range', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('parameter', 'parameter', 'NN', 'B-NP', 'O')
('values', 'value', 'NNS', 'I-NP', 'O')
('considered,', 'considered,', 'VBP', 'B-VP', 'O')
('including', 'include', 'VBG', 'I-VP', 'O')
('minimum,', 'minimum,', 'NN', 'B-NP', 'O')
('maximum,', 'maximum,', 'NN', 'I-NP', 'O')
('median,', 'median,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('average', 'average', 'JJ', 'B-NP', 'O')
('sample', 'sample', 'NN', 'I-NP', 'O')
('size', 'size', 'NN', 'I-NP', 'O')
('(or', '(or', 'NN', 'I-NP', 'O')
('power)', 'power)', 'NN', 'I-NP', 'O')
('values.', 'values.', 'NN', 'I-NP', 'O')
Association    between    disease    status    and    genotype    is tested    using    the    chi-square    test    statistic    on    2><3 contingency    tables.
('Association', 'Association', 'NN', 'B-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('disease', 'disease', 'NN', 'B-NP', 'O')
('status', 'status', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('genotype', 'genotype', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('tested', 'test', 'VBN', 'I-VP', 'O')
('using', 'use', 'VBG', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
