Patome: Database of Patented Bio-sequences.
('and', 'and', 'CC', 'O', 'O')
('BLAST', 'BLAST', 'NN', 'B-NP', 'B-cell_type')
('similarity', 'similarity', 'NN', 'I-NP', 'O')
('(Fig.', '(Fig.', 'NN', 'I-NP', 'O')
2).
('2).', '2).', 'LS', 'B-LST', 'O')
In the keyword search, there are two search modes: quick and advanced.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('keyword', 'keyword', 'NN', 'I-NP', 'O')
('search,', 'search,', 'NN', 'I-NP', 'O')
('there', 'there', 'EX', 'B-NP', 'O')
('are', 'be', 'VBP', 'B-VP', 'O')
('two', 'two', 'CD', 'B-NP', 'O')
('search', 'search', 'JJ', 'I-NP', 'O')
('modes:', 'modes:', 'NN', 'I-NP', 'O')
('quick', 'quick', 'JJ', 'B-ADJP', 'O')
('and', 'and', 'CC', 'I-ADJP', 'O')
('advanced.', 'advanced.', 'JJ', 'I-ADJP', 'O')
If a user wants to query multiple keywords simultaneously, the advanced search is appropriate.
('If', 'If', 'IN', 'B-SBAR', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('wants', 'want', 'VBZ', 'B-VP', 'O')
('to', 'to', 'TO', 'I-VP', 'O')
('query', 'query', 'VB', 'I-VP', 'O')
('multiple', 'multiple', 'JJ', 'B-NP', 'O')
('keywords', 'keyword', 'NNS', 'I-NP', 'O')
('simultaneously,', 'simultaneously,', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('advanced', 'advanced', 'JJ', 'I-NP', 'O')
('search', 'search', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('appropriate.', 'appropriate.', 'RB', 'B-ADVP', 'O')
In the advanced mode, the user can also limit the results by specifying a date range or by applying the Boolean operations AND, OR, and NOT.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('advanced', 'advance', 'VBN', 'I-NP', 'O')
('mode,', 'mode,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('also', 'also', 'RB', 'I-VP', 'O')
('limit', 'limit', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('results', 'result', 'NNS', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('specifying', 'specify', 'VBG', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('date', 'date', 'NN', 'I-NP', 'O')
('range', 'range', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'B-PP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('applying', 'apply', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Boolean', 'Boolean', 'NNP', 'I-NP', 'O')
('operations', 'operation', 'NNS', 'I-NP', 'O')
('AND,', 'AND,', 'CC', 'O', 'O')
('OR,', 'OR,', 'NN', 'B-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('NOT.', 'NOT.', 'NN', 'I-NP', 'O')
The quick search mode was designed for those not familiar with advanced syntax.
('The', 'The', 'DT', 'B-NP', 'O')
('quick', 'quick', 'JJ', 'I-NP', 'O')
('search', 'search', 'NN', 'I-NP', 'O')
('mode', 'mode', 'NN', 'I-NP', 'O')
('was', 'be', 'VBD', 'B-VP', 'O')
('designed', 'design', 'VBN', 'I-VP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('those', 'those', 'DT', 'B-NP', 'O')
('not', 'not', 'RB', 'O', 'O')
('familiar', 'familiar', 'JJ', 'B-ADJP', 'O')
('with', 'with', 'IN', 'B-PP', 'O')
('advanced', 'advance', 'VBN', 'B-NP', 'O')
('syntax.', 'syntax.', 'NN', 'I-NP', 'O')
In the quick mode, if a search field is not fixed, the target of search is all the fields.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('quick', 'quick', 'JJ', 'I-NP', 'O')
('mode,', 'mode,', 'NN', 'I-NP', 'O')
('if', 'if', 'IN', 'B-SBAR', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('search', 'search', 'NN', 'I-NP', 'O')
('field', 'field', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'I-VP', 'O')
('fixed,', 'fixed,', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('target', 'target', 'NN', 'I-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('search', 'search', 'NN', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('all', 'all', 'PDT', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('fields.', 'fields.', 'NN', 'I-NP', 'O')
In both modes, the user can query keywords against the following fields: applicant name, application number, species, index word, priority rights number, English title, and summary.
('In', 'In', 'IN', 'B-PP', 'O')
('both', 'both', 'DT', 'B-NP', 'O')
('modes,', 'modes,', 'NN', 'I-NP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('query', 'query', 'VB', 'I-VP', 'O')
('keywords', 'keyword', 'NNS', 'B-NP', 'O')
('against', 'against', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('following', 'follow', 'VBG', 'I-NP', 'O')
('fields:', 'fields:', 'NN', 'I-NP', 'O')
('applicant', 'applicant', 'JJ', 'I-NP', 'O')
('name,', 'name,', 'NN', 'I-NP', 'O')
('application', 'application', 'NN', 'I-NP', 'O')
('number,', 'number,', 'NN', 'I-NP', 'O')
('species,', 'species,', 'NN', 'I-NP', 'O')
('index', 'index', 'NN', 'I-NP', 'O')
('word,', 'word,', 'NN', 'I-NP', 'O')
('priority', 'priority', 'NN', 'I-NP', 'O')
('rights', 'right', 'NNS', 'I-NP', 'O')
('number,', 'number,', 'NN', 'I-NP', 'O')
('English', 'English', 'JJ', 'I-NP', 'O')
('title,', 'title,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('summary.', 'summary.', 'NN', 'I-NP', 'O')
In the accession number search, we provide the searching service on the annotated biosequences.
('In', 'In', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('accession', 'accession', 'NN', 'I-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('search,', 'search,', 'NN', 'I-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('provide', 'provide', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('searching', 'search', 'VBG', 'I-NP', 'O')
('service', 'service', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('annotated', 'annotate', 'VBN', 'I-NP', 'O')
('biosequences.', 'biosequences.', 'NN', 'I-NP', 'O')
When the user queries a accession number or a Gl number (NCBI Seq.
('When', 'When', 'WRB', 'B-ADVP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('queries', 'query', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('accession', 'accession', 'NN', 'I-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('or', 'or', 'CC', 'O', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('Gl', 'Gl', 'NN', 'I-NP', 'O')
('number', 'number', 'NN', 'I-NP', 'O')
('(NCBI', '(NCBI', 'NNP', 'I-NP', 'O')
('Seq.', 'Seq.', 'NNP', 'I-NP', 'O')
UID), the system displays patented biosequences and information related to an input number.
('UID),', 'UID),', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('system', 'system', 'NN', 'I-NP', 'O')
('displays', 'display', 'VBZ', 'B-VP', 'O')
('patented', 'patented', 'JJ', 'B-NP', 'O')
('biosequences', 'biosequence', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('related', 'relate', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('an', 'an', 'DT', 'B-NP', 'O')
('input', 'input', 'NN', 'I-NP', 'O')
('number.', 'number.', 'NN', 'I-NP', 'O')
From the search results, the user can obtain the information on whether their sequence is related to Korean patents.
('From', 'From', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('search', 'search', 'NN', 'I-NP', 'O')
('results,', 'results,', 'VBD', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('obtain', 'obtain', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('information', 'information', 'NN', 'I-NP', 'O')
('on', 'on', 'IN', 'B-PP', 'O')
('whether', 'whether', 'IN', 'B-SBAR', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('sequence', 'sequence', 'NN', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('related', 'related', 'JJ', 'B-ADJP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('Korean', 'Korean', 'JJ', 'B-NP', 'O')
('patents.', 'patents.', 'NNS', 'I-NP', 'O')
To construct BLAST searching system, we installed WWW BLAST server (http://www.
('To', 'To', 'TO', 'B-VP', 'O')
('construct', 'construct', 'VB', 'I-VP', 'O')
('BLAST', 'BLAST', 'NN', 'B-NP', 'B-cell_type')
('searching', 'search', 'VBG', 'B-VP', 'O')
('system,', 'system,', 'NN', 'B-NP', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('installed', 'instal', 'VBD', 'B-VP', 'O')
('WWW', 'WWW', 'NNP', 'B-NP', 'O')
('BLAST', 'BLAST', 'NNP', 'I-NP', 'B-cell_type')
('server', 'server', 'NNP', 'I-NP', 'O')
('(http://www.', '(http://www.', 'NNP', 'I-NP', 'O')
ncbi.
('ncbi.', 'ncbi.', 'LS', 'B-LST', 'O')
nlm.
('nlm.', 'nlm.', 'LS', 'B-LST', 'O')
nih.
('nih.', 'nih.', 'LS', 'B-LST', 'O')
gov/BLAST/ download.
('gov/BLAST/', 'gov/BLAST/', 'NN', 'B-NP', 'O')
('download.', 'download.', 'NN', 'I-NP', 'O')
html) and formatted patent biosequences by NCBI’s formatdb program.
('html)', 'html)', 'LS', 'B-LST', 'O')
('and', 'and', 'CC', 'O', 'O')
('formatted', 'format', 'VBN', 'B-NP', 'O')
('patent', 'patent', 'NN', 'I-NP', 'O')
('biosequences', 'biosequence', 'NNS', 'I-NP', 'O')
('by', 'by', 'IN', 'B-PP', 'O')
('NCBI’s', 'NCBI’', 'NNS', 'B-NP', 'B-protein')
('formatdb', 'formatdb', 'NN', 'I-NP', 'O')
('program.', 'program.', 'NN', 'I-NP', 'O')
Users can compare their sequences against Korean patent biosequences.
('Users', 'User', 'NNS', 'B-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('compare', 'compare', 'VB', 'I-VP', 'O')
('their', 'their', 'PRP$', 'B-NP', 'O')
('sequences', 'sequence', 'NNS', 'I-NP', 'O')
('against', 'against', 'IN', 'B-PP', 'O')
('Korean', 'Korean', 'JJ', 'B-NP', 'O')
('patent', 'patent', 'NN', 'I-NP', 'O')
('biosequences.', 'biosequences.', 'NN', 'I-NP', 'O')
Korean patent biosequences and related data have been incorporated into Sequence Retrieval System (SRS) (http://srs.
('Korean', 'Korean', 'JJ', 'B-NP', 'O')
('patent', 'patent', 'NN', 'I-NP', 'O')
('biosequences', 'biosequence', 'NNS', 'I-NP', 'O')
('and', 'and', 'CC', 'O', 'O')
('related', 'related', 'JJ', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('have', 'have', 'VBP', 'B-VP', 'O')
('been', 'be', 'VBN', 'I-VP', 'O')
('incorporated', 'incorporate', 'VBN', 'I-VP', 'O')
('into', 'into', 'IN', 'B-PP', 'O')
('Sequence', 'Sequence', 'NNP', 'B-NP', 'O')
('Retrieval', 'Retrieval', 'NNP', 'I-NP', 'O')
('System', 'System', 'NNP', 'I-NP', 'O')
('(SRS)', '(SRS)', 'NNP', 'I-NP', 'O')
('(http://srs.', '(http://srs.', 'NNS', 'I-NP', 'O')
ngic.
('ngic.', 'ngic.', 'LS', 'B-LST', 'O')
re.
('re.', 're.', 'LS', 'B-LST', 'O')
kr/srs/) at NGIC.
('kr/srs/)', 'kr/srs/)', 'LS', 'B-LST', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('NGIC.', 'NGIC.', 'NNP', 'B-NP', 'O')
SRS is a scalable data integration platform that is used at over 300 commercial and academic sites.
('SRS', 'SRS', 'NN', 'B-NP', 'B-protein')
('is', 'be', 'VBZ', 'B-VP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('scalable', 'scalable', 'JJ', 'I-NP', 'O')
('data', 'data', 'NN', 'I-NP', 'O')
('integration', 'integration', 'NN', 'I-NP', 'O')
('platform', 'platform', 'NN', 'I-NP', 'O')
('that', 'that', 'WDT', 'B-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('used', 'use', 'VBN', 'I-VP', 'O')
('at', 'at', 'IN', 'B-PP', 'O')
('over', 'over', 'IN', 'B-NP', 'O')
('300', '300', 'CD', 'I-NP', 'O')
('commercial', 'commercial', 'JJ', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('academic', 'academic', 'JJ', 'I-NP', 'O')
('sites.', 'sites.', 'NNS', 'I-NP', 'O')
The user can utilize the SRS system to find the answers to complicated questions related to patented biosequences, for example, finding the protein motifs of a selected patent protein sequenceThrough the Patome website, we offer the following services: the latest patented biosequences downloading, keyword search, similarity search, and tab delimited annotation data downloading.
('The', 'The', 'DT', 'B-NP', 'O')
('user', 'user', 'NN', 'I-NP', 'O')
('can', 'can', 'MD', 'B-VP', 'O')
('utilize', 'utilize', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('SRS', 'SRS', 'NN', 'I-NP', 'O')
('system', 'system', 'NN', 'I-NP', 'O')
('to', 'to', 'TO', 'B-VP', 'O')
('find', 'find', 'VB', 'I-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('answers', 'answer', 'NNS', 'I-NP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('complicated', 'complicated', 'JJ', 'B-NP', 'O')
('questions', 'question', 'NNS', 'I-NP', 'O')
('related', 'relate', 'VBN', 'B-VP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('patented', 'patent', 'VBN', 'B-NP', 'O')
('biosequences,', 'biosequences,', 'NN', 'I-NP', 'O')
('for', 'for', 'IN', 'B-PP', 'O')
('example,', 'example,', 'NN', 'B-NP', 'O')
('finding', 'find', 'VBG', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'B-protein')
('motifs', 'motif', 'NNS', 'I-NP', 'I-protein')
('of', 'of', 'IN', 'B-PP', 'O')
('a', 'a', 'DT', 'B-NP', 'O')
('selected', 'select', 'VBN', 'I-NP', 'O')
('patent', 'patent', 'NN', 'I-NP', 'O')
('protein', 'protein', 'NN', 'I-NP', 'O')
('sequenceThrough', 'sequenceThrough', 'IN', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('Patome', 'Patome', 'NNP', 'I-NP', 'O')
('website,', 'website,', ',', 'O', 'O')
('we', 'we', 'PRP', 'B-NP', 'O')
('offer', 'offer', 'VBP', 'B-VP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('following', 'follow', 'VBG', 'I-NP', 'O')
('services:', 'services:', ':', 'O', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('latest', 'late', 'JJS', 'I-NP', 'O')
('patented', 'patented', 'JJ', 'I-NP', 'O')
('biosequences', 'biosequence', 'NNS', 'I-NP', 'O')
('downloading,', 'downloading,', 'VBD', 'B-VP', 'O')
('keyword', 'keyword', 'NN', 'B-NP', 'O')
('search,', 'search,', 'NN', 'I-NP', 'O')
('similarity', 'similarity', 'NN', 'I-NP', 'O')
('search,', 'search,', 'NN', 'I-NP', 'O')
('and', 'and', 'CC', 'I-NP', 'O')
('tab', 'tab', 'NN', 'I-NP', 'B-protein')
('delimited', 'delimit', 'VBD', 'B-VP', 'O')
('annotation', 'annotation', 'NN', 'B-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('downloading.', 'downloading.', 'VBP', 'B-VP', 'O')
However, downloading of all the patented biosequences data is not allowable due to the agreement between KIPO and KRIBB.
('However,', 'However,', 'WRB', 'B-ADVP', 'O')
('downloading', 'downloading', 'NN', 'B-NP', 'O')
('of', 'of', 'IN', 'B-PP', 'O')
('all', 'all', 'PDT', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('patented', 'patent', 'VBN', 'I-NP', 'O')
('biosequences', 'biosequence', 'NNS', 'I-NP', 'O')
('data', 'datum', 'NNS', 'I-NP', 'O')
('is', 'be', 'VBZ', 'B-VP', 'O')
('not', 'not', 'RB', 'O', 'O')
('allowable', 'allowable', 'JJ', 'B-ADJP', 'O')
('due', 'due', 'IN', 'B-PP', 'O')
('to', 'to', 'TO', 'B-PP', 'O')
('the', 'the', 'DT', 'B-NP', 'O')
('agreement', 'agreement', 'NN', 'I-NP', 'O')
('between', 'between', 'IN', 'B-PP', 'O')
('KIPO', 'KIPO', 'NN', 'B-NP', 'B-protein')
('and', 'and', 'CC', 'I-NP', 'O')
('KRIBB.', 'KRIBB.', 'NN', 'I-NP', 'O')
To download all the data, users must obtain permission from KIPO.
('To', 'To', 'TO', 'B-VP', 'O')
('download', 'download', 'VB', 'I-VP', 'O')
('all', 'all', 'PDT', 'B-NP', 'O')
('the', 'the', 'DT', 'I-NP', 'O')
('data,', 'data,', 'NN', 'I-NP', 'O')
('users', 'user', 'NNS', 'I-NP', 'O')
('must', 'must', 'MD', 'B-VP', 'O')
('obtain', 'obtain', 'VB', 'I-VP', 'O')
('permission', 'permission', 'NN', 'B-NP', 'O')
('from', 'from', 'IN', 'B-PP', 'O')
('KIPO.', 'KIPO.', 'NNP', 'B-NP', 'O')
